row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	420	16.0	0.0	9.0	0.0	1.0	1.0
0	0	380	15.0	0.0	9.0	0.0	1.0	1.0
0	0	340	14.1	0.316	9.0	0.0	1.0	1.0
0	0	300	13.0	0.0	9.0	0.0	1.0	1.0
0	0	260	12.0	0.0	9.1	0.316	1.0	1.0
0	0	220	10.7	0.483	9.4	0.516	1.0	1.0
0	0	180	8.9	0.316	10.0	0.0	1.0	1.0
0	0	140	7.0	0.0	10.0	0.0	1.0	1.0
0	0	100	4.9	0.316	11.0	0.0	1.0	1.0
0	0	57	3.0	0.0	15.1	0.568	1.0	1.0
0	0	54	2.9	0.316	16.3	0.675	1.0	1.0
0	0	51	2.1	0.316	17.4	0.843	1.0	1.0
0	0	48	1.1	0.316	21.0	1.944	1.0	1.0
0	0	45	1.0	0.0	23.2	1.033	1.0	1.0
0	0	42	0.1	0.316	28.0	0.0	0.1	0.1
0	0	39	0.0	0.0	nan	nan	0.0	0.0
0	0	36	0.0	0.0	nan	nan	0.0	0.0
0	0	33	0.0	0.0	nan	nan	0.0	0.0
0	0	30	0.0	0.0	nan	nan	0.0	0.0
1	0	420	12.9	0.316	10.0	0.0	1.0	1.0
1	0	380	12.0	0.0	10.0	0.0	1.0	1.0
1	0	340	11.1	0.316	10.0	0.0	1.0	1.0
1	0	300	10.4	0.516	10.0	0.0	1.0	1.0
1	0	260	9.1	0.316	10.0	0.0	1.0	1.0
1	0	220	8.0	0.0	10.0	0.0	1.0	1.0
1	0	180	6.8	0.422	10.4	0.516	1.0	1.0
1	0	140	5.0	0.0	11.0	0.0	1.0	1.0
1	0	100	3.1	0.316	12.0	0.0	1.0	1.0
1	0	57	0.714	0.488	22.0	2.673	0.5	0.8
1	0	54	0.0	0.0	25.0	0.0	0.0	0.2
1	0	51	0.0	0.0	nan	nan	0.0	0.0
1	0	48	0.0	0.0	nan	nan	0.0	0.0
1	0	45	0.0	0.0	nan	nan	0.0	0.0
1	0	42	0.0	0.0	nan	nan	0.0	0.0
1	0	39	0.0	0.0	nan	nan	0.0	0.0
1	0	36	0.0	0.0	nan	nan	0.0	0.0
1	0	33	0.0	0.0	nan	nan	0.0	0.0
1	0	30	0.0	0.0	nan	nan	0.0	0.0
0	1	420	17.0	0.0	10.1	0.316	1.0	1.0
0	1	380	16.2	0.422	10.1	0.316	1.0	1.0
0	1	340	15.0	0.0	10.0	0.0	1.0	1.0
0	1	300	13.9	0.316	10.1	0.316	1.0	1.0
0	1	260	12.1	0.316	10.7	0.483	1.0	1.0
0	1	220	10.1	0.316	11.0	0.0	1.0	1.0
0	1	180	8.3	0.483	11.0	0.0	1.0	1.0
0	1	140	6.0	0.0	11.4	0.516	1.0	1.0
0	1	100	4.1	0.316	13.0	0.0	1.0	1.0
0	1	57	0.0	0.0	24.0	0.0	0.0	0.1
0	1	54	0.0	0.0	nan	nan	0.0	0.0
0	1	51	0.0	0.0	nan	nan	0.0	0.0
0	1	48	0.0	0.0	nan	nan	0.0	0.0
0	1	45	0.0	0.0	nan	nan	0.0	0.0
0	1	42	0.0	0.0	nan	nan	0.0	0.0
0	1	39	0.0	0.0	nan	nan	0.0	0.0
0	1	36	0.0	0.0	nan	nan	0.0	0.0
0	1	33	0.0	0.0	nan	nan	0.0	0.0
0	1	30	0.0	0.0	nan	nan	0.0	0.0
1	1	420	17.8	0.422	10.0	0.0	1.0	1.0
1	1	380	17.0	0.0	10.0	0.0	1.0	1.0
1	1	340	16.0	0.0	10.0	0.0	1.0	1.0
1	1	300	14.9	0.316	10.0	0.0	1.0	1.0
1	1	260	13.1	0.316	10.0	0.0	1.0	1.0
1	1	220	11.4	0.516	10.0	0.0	1.0	1.0
1	1	180	9.6	0.516	10.0	0.0	1.0	1.0
1	1	140	7.1	0.316	10.7	0.483	1.0	1.0
1	1	100	5.0	0.0	11.9	0.316	1.0	1.0
1	1	57	2.4	0.699	17.6	1.174	1.0	1.0
1	1	54	2.2	0.789	18.0	1.155	1.0	1.0
1	1	51	1.0	0.0	22.3	2.003	1.0	1.0
1	1	48	0.7	0.483	24.429	2.225	0.7	0.7
1	1	45	0.0	0.0	nan	nan	0.0	0.0
1	1	42	0.0	0.0	nan	nan	0.0	0.0
1	1	39	0.0	0.0	nan	nan	0.0	0.0
1	1	36	0.0	0.0	nan	nan	0.0	0.0
1	1	33	0.0	0.0	nan	nan	0.0	0.0
1	1	30	0.0	0.0	nan	nan	0.0	0.0
