row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	420	18.0	0.0	10.0	0.0	1.0	1.0
0	0	380	16.9	0.316	10.0	0.0	1.0	1.0
0	0	340	15.7	0.483	10.0	0.0	1.0	1.0
0	0	300	14.0	0.0	10.7	0.483	1.0	1.0
0	0	260	12.8	0.422	11.0	0.0	1.0	1.0
0	0	220	11.0	0.0	11.1	0.316	1.0	1.0
0	0	180	8.9	0.316	12.0	0.0	1.0	1.0
0	0	140	7.0	0.0	13.0	0.0	1.0	1.0
0	0	100	5.0	0.0	15.2	0.422	1.0	1.0
0	0	57	1.9	0.316	30.0	2.944	1.0	1.0
0	0	54	1.125	0.835	36.875	3.907	0.6	0.8
0	0	51	0.0	0.0	45.0	0.0	0.0	0.1
0	0	48	0.0	0.0	nan	nan	0.0	0.0
0	0	45	0.0	0.0	nan	nan	0.0	0.0
0	0	42	0.0	0.0	nan	nan	0.0	0.0
0	0	39	0.0	0.0	nan	nan	0.0	0.0
0	0	36	0.0	0.0	nan	nan	0.0	0.0
0	0	33	0.0	0.0	nan	nan	0.0	0.0
0	0	30	0.0	0.0	nan	nan	0.0	0.0
1	0	420	15.0	0.0	10.0	0.0	1.0	1.0
1	0	380	14.0	0.0	10.0	0.0	1.0	1.0
1	0	340	12.9	0.316	10.7	0.483	1.0	1.0
1	0	300	11.8	0.422	10.9	0.316	1.0	1.0
1	0	260	10.1	0.316	11.0	0.0	1.0	1.0
1	0	220	9.0	0.0	11.2	0.422	1.0	1.0
1	0	180	7.1	0.316	12.0	0.0	1.0	1.0
1	0	140	5.8	0.422	13.1	0.316	1.0	1.0
1	0	100	4.0	0.0	15.6	0.516	1.0	1.0
1	0	57	0.4	0.516	28.25	4.646	0.4	0.4
1	0	54	0.0	0.0	nan	nan	0.0	0.0
1	0	51	0.0	0.0	nan	nan	0.0	0.0
1	0	48	0.0	0.0	nan	nan	0.0	0.0
1	0	45	0.0	0.0	nan	nan	0.0	0.0
1	0	42	0.0	0.0	nan	nan	0.0	0.0
1	0	39	0.0	0.0	nan	nan	0.0	0.0
1	0	36	0.0	0.0	nan	nan	0.0	0.0
1	0	33	0.0	0.0	nan	nan	0.0	0.0
1	0	30	0.0	0.0	nan	nan	0.0	0.0
0	1	420	20.3	0.483	10.1	0.316	1.0	1.0
0	1	380	19.0	0.0	10.7	0.483	1.0	1.0
0	1	340	17.1	0.316	11.0	0.0	1.0	1.0
0	1	300	15.3	0.483	11.0	0.0	1.0	1.0
0	1	260	13.8	0.422	11.0	0.0	1.0	1.0
0	1	220	11.2	2.201	11.6	0.516	1.0	1.0
0	1	180	9.4	0.516	12.0	0.0	1.0	1.0
0	1	140	7.1	0.316	13.2	0.422	1.0	1.0
0	1	100	5.0	0.0	15.8	0.422	1.0	1.0
0	1	57	0.333	0.5	29.0	4.082	0.3	0.4
0	1	54	0.375	0.518	32.0	4.0	0.3	0.5
0	1	51	0.0	0.0	nan	nan	0.0	0.0
0	1	48	0.0	0.0	nan	nan	0.0	0.0
0	1	45	0.0	0.0	nan	nan	0.0	0.0
0	1	42	0.0	0.0	nan	nan	0.0	0.0
0	1	39	0.0	0.0	nan	nan	0.0	0.0
0	1	36	0.0	0.0	nan	nan	0.0	0.0
0	1	33	0.0	0.0	nan	nan	0.0	0.0
0	1	30	0.0	0.0	nan	nan	0.0	0.0
1	1	420	20.0	0.0	10.6	0.516	1.0	1.0
1	1	380	18.8	0.422	11.0	0.0	1.0	1.0
1	1	340	17.0	0.0	11.0	0.0	1.0	1.0
1	1	300	15.2	0.422	11.0	0.0	1.0	1.0
1	1	260	13.8	0.422	11.0	0.0	1.0	1.0
1	1	220	11.7	0.483	12.0	0.0	1.0	1.0
1	1	180	9.8	0.422	12.3	0.483	1.0	1.0
1	1	140	7.2	0.422	13.8	0.422	1.0	1.0
1	1	100	5.0	0.0	16.5	0.527	1.0	1.0
1	1	57	0.222	0.667	33.5	6.364	0.1	0.2
1	1	54	0.1	0.316	42.0	0.0	0.1	0.1
1	1	51	0.0	0.0	nan	nan	0.0	0.0
1	1	48	0.0	0.0	nan	nan	0.0	0.0
1	1	45	0.0	0.0	nan	nan	0.0	0.0
1	1	42	0.0	0.0	nan	nan	0.0	0.0
1	1	39	0.0	0.0	nan	nan	0.0	0.0
1	1	36	0.0	0.0	nan	nan	0.0	0.0
1	1	33	0.0	0.0	nan	nan	0.0	0.0
1	1	30	0.0	0.0	nan	nan	0.0	0.0
