row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	420	18.355	0.486	9.0	0.0	1.0	1.0
0	0	380	17.226	0.425	9.0	0.0	1.0	1.0
0	0	340	16.065	0.25	9.0	0.0	1.0	1.0
0	0	300	14.839	0.374	9.0	0.0	1.0	1.0
0	0	260	13.065	0.25	9.0	0.0	1.0	1.0
0	0	220	11.29	0.461	9.0	0.0	1.0	1.0
0	0	180	9.613	0.495	9.032	0.18	1.0	1.0
0	0	140	7.355	0.486	10.0	0.0	1.0	1.0
0	0	100	5.097	0.301	11.0	0.0	1.0	1.0
0	0	77	4.0	0.0	12.258	0.445	1.0	1.0
0	0	74	4.0	0.0	12.903	0.301	1.0	1.0
0	0	71	3.871	0.341	13.161	0.374	1.0	1.0
0	0	68	3.419	0.502	13.677	0.541	1.0	1.0
0	0	65	3.0	0.0	14.129	0.341	1.0	1.0
0	0	62	3.0	0.0	14.839	0.523	1.0	1.0
0	0	59	3.0	0.0	15.839	0.638	1.0	1.0
0	0	56	2.839	0.374	16.839	0.86	1.0	1.0
0	0	53	2.097	0.79	18.968	1.888	1.0	1.0
0	0	50	1.194	0.402	22.581	2.79	1.0	1.0
0	0	47	0.643	0.559	27.2	4.086	0.548	0.645
0	0	44	0.0	0.0	nan	nan	0.0	0.0
1	0	420	15.0	0.0	10.0	0.0	1.0	1.0
1	0	380	14.0	0.0	10.0	0.0	1.0	1.0
1	0	340	12.935	0.25	10.0	0.0	1.0	1.0
1	0	300	11.71	0.461	10.0	0.0	1.0	1.0
1	0	260	10.0	0.0	10.0	0.0	1.0	1.0
1	0	220	9.0	0.0	10.0	0.0	1.0	1.0
1	0	180	7.0	0.0	10.0	0.0	1.0	1.0
1	0	140	5.194	0.402	11.0	0.0	1.0	1.0
1	0	100	3.323	0.475	12.032	0.18	1.0	1.0
1	0	77	2.129	0.341	14.452	0.568	1.0	1.0
1	0	74	2.032	0.18	15.032	0.482	1.0	1.0
1	0	71	2.0	0.0	15.903	0.7	1.0	1.0
1	0	68	2.0	0.0	16.452	0.675	1.0	1.0
1	0	65	1.63	0.492	18.226	1.499	0.871	1.0
1	0	62	1.0	0.674	20.115	1.986	0.581	0.839
1	0	59	0.273	0.456	22.067	1.624	0.194	0.484
1	0	56	0.0	0.0	26.0	0.0	0.0	0.032
1	0	53	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	47	0.0	0.0	nan	nan	0.0	0.0
1	0	44	0.0	0.0	nan	nan	0.0	0.0
2	0	420	18.323	0.475	9.0	0.0	1.0	1.0
2	0	380	17.258	0.445	9.0	0.0	1.0	1.0
2	0	340	16.0	0.0	9.0	0.0	1.0	1.0
2	0	300	14.871	0.341	9.0	0.0	1.0	1.0
2	0	260	13.129	0.341	9.0	0.0	1.0	1.0
2	0	220	11.548	0.506	9.0	0.0	1.0	1.0
2	0	180	9.806	0.402	9.0	0.0	1.0	1.0
2	0	140	7.677	0.475	10.0	0.0	1.0	1.0
2	0	100	5.161	0.374	10.839	0.374	1.0	1.0
2	0	77	4.032	0.18	12.032	0.18	1.0	1.0
2	0	74	4.0	0.0	12.581	0.502	1.0	1.0
2	0	71	4.0	0.0	12.935	0.25	1.0	1.0
2	0	68	3.839	0.374	13.323	0.475	1.0	1.0
2	0	65	3.226	0.425	13.935	0.442	1.0	1.0
2	0	62	3.032	0.18	14.645	0.608	1.0	1.0
2	0	59	3.0	0.0	15.323	0.702	1.0	1.0
2	0	56	3.0	0.0	16.323	0.871	1.0	1.0
2	0	53	2.452	0.568	18.484	1.71	1.0	1.0
2	0	50	1.548	0.568	21.677	2.197	1.0	1.0
2	0	47	1.097	0.473	25.276	3.595	0.935	0.935
2	0	44	0.129	0.341	29.75	3.304	0.129	0.129
3	0	420	16.226	0.425	9.613	0.495	1.0	1.0
3	0	380	15.29	0.461	9.742	0.445	1.0	1.0
3	0	340	14.065	0.25	9.903	0.301	1.0	1.0
3	0	300	13.0	0.0	9.968	0.18	1.0	1.0
3	0	260	11.452	0.506	10.0	0.0	1.0	1.0
3	0	220	9.968	0.18	10.0	0.0	1.0	1.0
3	0	180	7.968	0.18	10.0	0.0	1.0	1.0
3	0	140	6.032	0.18	10.129	0.341	1.0	1.0
3	0	100	4.0	0.0	11.839	0.374	1.0	1.0
3	0	77	2.968	0.18	13.548	0.506	1.0	1.0
3	0	74	2.871	0.341	13.968	0.407	1.0	1.0
3	0	71	2.613	0.495	14.613	0.615	1.0	1.0
3	0	68	2.226	0.425	15.258	0.514	1.0	1.0
3	0	65	2.032	0.18	16.0	0.775	1.0	1.0
3	0	62	1.839	0.374	17.548	0.85	1.0	1.0
3	0	59	1.323	0.475	19.452	2.095	1.0	1.0
3	0	56	1.0	0.263	21.267	1.617	0.935	0.968
3	0	53	0.207	0.412	24.625	2.134	0.194	0.258
3	0	50	0.0	0.0	nan	nan	0.0	0.0
3	0	47	0.0	0.0	nan	nan	0.0	0.0
3	0	44	0.0	0.0	nan	nan	0.0	0.0
4	0	420	15.161	0.374	9.0	0.0	1.0	1.0
4	0	380	14.161	0.374	9.0	0.0	1.0	1.0
4	0	340	13.129	0.341	9.0	0.0	1.0	1.0
4	0	300	12.0	0.0	9.0	0.0	1.0	1.0
4	0	260	11.0	0.0	9.194	0.402	1.0	1.0
4	0	220	9.032	0.18	9.806	0.402	1.0	1.0
4	0	180	7.613	0.495	10.0	0.0	1.0	1.0
4	0	140	5.935	0.25	10.0	0.0	1.0	1.0
4	0	100	4.0	0.0	11.129	0.341	1.0	1.0
