voltage,toa_mean_ns,toa_std_ns
30,,
33,,
36,,
39,,
42,43.75,
45,36.25,
48,35.491406250000004,3.7885455510760475
51,31.015625000000004,5.413786293459507
54,30.885416666666664,7.205028445178639
57,30.7421875,6.337120663778753
100,18.7109375,1.2781657491466694
140,16.835937499999996,0.9232863490227
180,16.171875,0.7384086916019701
220,15.78125,1.0364452469860623
260,15.546874999999998,1.0245997694221873
300,15.2734375,0.8106449175142385
340,15.234375,0.78125
380,15.2734375,0.8106449175142385
420,15.2734375,0.8106449175142385
