voltage,tot_mean_ns,tot_std_ns
30,0.0,0.0
33,0.0,0.0
36,0.0,0.0
39,0.0,0.0
42,0.625,1.2500000000000002
45,6.25,12.5
48,11.25,13.616778865306827
51,19.375,25.03123049312598
54,31.874999999999996,37.49305491243234
57,38.2125,35.13233019598899
100,106.87500000000001,22.020350436206357
140,156.875,24.611565709370595
180,210.0,29.79093821953246
220,251.24999999999997,36.65719574653795
260,289.375,43.078175061934395
300,326.25,48.23985212802101
340,351.25,52.85593627966494
380,376.25,54.82928049865327
420,398.125,53.67242463934965
