voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
500	14.353	7.582	65.769	107.878	0.567	0.433
495	13.933	7.421	84.692	118.175	0.5	0.433
490	13.375	7.5	53.818	99.467	0.533	0.367
485	14.786	7.084	36.556	81.918	0.467	0.3
480	15.556	6.635	37.941	81.698	0.6	0.567
475	18.1	3.339	9.05	0.224	0.667	0.667
470	14.062	7.019	111.583	126.599	0.533	0.4
465	16.5	5.106	44.143	89.332	0.733	0.467
460	16.471	4.9	39.75	84.025	0.567	0.533
455	15.167	5.858	36.333	79.552	0.8	0.6
450	17.0	3.926	22.105	56.399	0.833	0.633
445	15.444	5.563	9.176	0.393	0.9	0.567
440	16.524	5.98	9.0	0.0	0.7	0.567
435	17.19	3.043	34.895	77.564	0.7	0.633
430	14.56	6.063	32.524	73.964	0.833	0.7
425	15.238	5.594	63.722	105.207	0.7	0.6
420	15.375	5.215	20.227	52.438	0.8	0.733
415	15.739	4.673	20.714	53.682	0.767	0.7
410	15.435	4.409	21.3	55.007	0.767	0.667
405	14.45	5.236	41.933	86.506	0.667	0.5
400	15.0	4.91	66.882	107.56	0.633	0.567
395	13.905	5.674	23.471	59.664	0.7	0.567
390	15.261	4.464	22.667	57.983	0.767	0.6
385	14.0	5.323	55.125	99.166	0.633	0.533
380	13.636	5.368	9.056	0.236	0.733	0.6
375	13.043	5.506	44.143	88.208	0.767	0.7
370	12.87	5.496	44.19	88.188	0.767	0.7
365	15.421	2.775	50.0	94.337	0.633	0.6
360	14.0	4.583	35.053	77.509	0.767	0.633
355	11.579	5.947	50.0	95.755	0.633	0.4
350	14.714	3.58	34.895	77.564	0.7	0.633
345	12.65	5.143	60.842	103.01	0.667	0.633
340	14.682	2.418	20.762	53.671	0.733	0.7
335	12.5	4.718	9.0	0.0	0.733	0.5
330	13.895	3.315	37.941	81.698	0.633	0.567
325	13.64	3.639	9.0	0.0	0.833	0.6
320	10.053	5.431	29.5	71.014	0.633	0.4
315	13.5	3.285	23.471	59.664	0.667	0.567
310	12.429	4.214	47.0	92.314	0.7	0.433
305	12.6	3.719	23.471	59.664	0.667	0.567
300	12.143	4.053	9.0	0.0	0.7	0.6
295	11.917	4.149	9.0	0.0	0.8	0.7
290	11.769	3.798	30.391	70.874	0.867	0.767
285	12.185	3.509	9.0	0.0	0.9	0.667
280	12.625	1.837	31.364	72.384	0.8	0.733
275	11.826	3.243	52.412	96.666	0.767	0.567
270	10.545	4.103	39.875	83.978	0.733	0.533
265	11.238	3.604	50.167	94.261	0.7	0.6
260	9.957	4.062	25.4	63.517	0.767	0.5
255	9.0	4.316	9.1	0.316	0.667	0.333
250	11.467	2.066	58.2	101.854	0.5	0.5
245	10.286	3.407	58.2	103.723	0.467	0.333
240	10.0	3.445	70.583	111.208	0.533	0.4
235	9.0	3.684	74.733	112.521	0.5	0.5
230	10.368	2.266	38.059	81.655	0.633	0.567
225	10.0	2.542	76.091	114.906	0.467	0.367
220	9.842	2.609	38.059	81.655	0.633	0.567
215	9.95	2.564	50.0	94.337	0.667	0.6
210	9.857	2.007	21.4	54.986	0.7	0.667
205	9.524	1.861	47.842	92.16	0.7	0.633
200	9.136	2.1	47.842	92.16	0.733	0.633
195	8.286	2.686	23.824	59.578	0.7	0.567
190	7.476	2.822	26.714	65.707	0.7	0.467
185	8.75	1.511	20.762	53.671	0.8	0.7
180	8.615	1.359	9.125	0.612	0.867	0.8
175	8.815	0.962	9.071	0.262	0.9	0.933
170	8.759	0.435	17.517	45.675	0.967	0.967
165	8.233	0.43	9.0	0.0	1.0	0.967
160	7.897	0.772	9.185	0.396	0.967	0.9
155	7.714	1.049	18.538	48.23	0.933	0.867
150	7.731	0.452	38.68	81.53	0.867	0.833
145	7.25	0.799	27.593	65.548	0.933	0.9
140	7.067	0.254	9.667	0.479	1.0	1.0
135	6.933	0.583	9.966	0.186	1.0	0.967
130	6.967	0.183	9.967	0.183	1.0	1.0
125	6.533	0.507	10.0	0.0	1.0	1.0
120	6.103	0.31	18.448	45.495	0.967	0.967
115	6.0	0.0	10.0	0.0	1.0	1.0
110	6.0	0.0	10.0	0.0	1.0	0.967
105	5.5	0.572	10.0	0.0	1.0	0.967
100	5.103	0.31	18.483	45.489	0.967	0.967
95	5.0	0.0	10.367	0.49	1.0	1.0
90	4.967	0.183	10.793	0.412	1.0	0.967
85	4.533	0.507	11.0	0.0	1.0	0.967
80	3.966	0.325	11.0	0.0	0.967	0.967
75	4.0	0.0	23.095	53.138	0.8	0.7
70	3.929	0.262	11.966	0.186	0.933	0.967
65	3.3	0.466	12.767	0.43	1.0	1.0
60	3.0	0.0	13.333	0.661	1.0	1.0
55	3.0	0.0	15.033	0.809	1.0	1.0
50	2.7	0.651	16.967	1.129	1.0	1.0
45	1.3	0.535	21.633	2.632	1.0	1.0
40	1.0	0.0	179.667	113.054	0.2	0.3
35	nan	nan	nan	nan	0.0	0.0
30	nan	nan	nan	nan	0.0	0.0
25	nan	nan	nan	nan	0.0	0.0
20	nan	nan	nan	nan	0.0	0.0
15	nan	nan	nan	nan	0.0	0.0
10	4.0	0.0	255.0	0.0	0.033	0.033
5	nan	nan	nan	nan	0.0	0.0
0	nan	nan	nan	nan	0.0	0.0
