voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
60	3.011	0.181	16.348	25.171	0.92	0.92
58	2.99	0.1	14.22	0.927	1.0	1.0
56	3.0	0.142	15.02	0.778	1.0	1.0
54	2.97	0.171	15.55	1.067	1.0	1.0
52	2.89	0.345	16.42	1.216	1.0	1.0
50	2.55	0.609	17.46	0.947	1.0	1.0
48	1.98	0.765	18.41	1.164	1.0	1.0
46	1.23	0.468	20.1	1.453	1.0	1.0
44	1.163	0.398	23.798	23.607	0.98	0.99
42	1.042	0.203	54.862	76.748	0.71	0.87
40	1.062	0.25	158.25	112.35	0.16	0.44
38	nan	nan	255.0	0.0	0.0	0.08
36	nan	nan	255.0	0.0	0.0	0.01
34	nan	nan	nan	nan	0.0	0.0
32	nan	nan	255.0	0.0	0.0	0.02
30	nan	nan	nan	nan	0.0	0.0
