row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	454	18.065	0.25	10.0	0.0	1.0	1.0
0	0	448	18.0	0.258	10.0	0.0	1.0	1.0
0	0	442	18.0	0.0	10.0	0.0	1.0	1.0
0	0	436	17.871	0.341	10.0	0.0	1.0	1.0
0	0	430	17.806	0.402	10.0	0.0	1.0	1.0
0	0	424	17.677	0.475	10.0	0.0	1.0	1.0
0	0	418	17.355	0.486	10.0	0.0	1.0	1.0
0	0	412	17.065	0.25	10.0	0.0	1.0	1.0
0	0	406	17.0	0.0	10.0	0.0	1.0	1.0
0	0	400	17.0	0.0	10.0	0.0	1.0	1.0
0	0	394	16.935	0.25	10.0	0.0	1.0	1.0
0	0	388	16.645	0.486	10.0	0.0	1.0	1.0
0	0	382	16.355	0.486	10.0	0.0	1.0	1.0
0	0	376	16.097	0.301	10.0	0.0	1.0	1.0
0	0	370	16.097	0.301	10.0	0.0	1.0	1.0
0	0	364	16.0	0.0	10.0	0.0	1.0	1.0
0	0	358	15.968	0.18	10.0	0.0	1.0	1.0
0	0	352	15.613	0.495	10.0	0.0	1.0	1.0
0	0	346	15.258	0.445	10.032	0.18	1.0	1.0
0	0	340	15.065	0.25	10.0	0.0	1.0	1.0
0	0	334	15.0	0.0	10.032	0.18	1.0	1.0
0	0	328	14.935	0.25	10.0	0.0	1.0	1.0
0	0	322	14.613	0.495	10.0	0.0	1.0	1.0
0	0	316	14.032	0.18	10.0	0.0	1.0	1.0
0	0	310	14.032	0.18	10.0	0.0	1.0	1.0
0	0	304	14.0	0.0	10.0	0.0	1.0	1.0
0	0	298	13.806	0.402	10.0	0.0	1.0	1.0
0	0	292	13.516	0.508	10.0	0.0	1.0	1.0
0	0	286	13.065	0.25	10.032	0.18	1.0	1.0
0	0	280	13.0	0.0	10.097	0.301	1.0	1.0
0	0	274	12.968	0.18	10.161	0.374	1.0	1.0
0	0	268	12.548	0.506	10.484	0.508	1.0	1.0
0	0	262	12.161	0.374	10.548	0.506	1.0	1.0
0	0	256	12.032	0.18	10.806	0.402	1.0	1.0
0	0	250	12.0	0.0	10.806	0.402	1.0	1.0
0	0	244	11.677	0.475	10.968	0.18	1.0	1.0
0	0	238	11.387	0.495	11.0	0.0	1.0	1.0
0	0	232	11.0	0.0	11.0	0.0	1.0	1.0
0	0	226	11.0	0.0	11.0	0.0	1.0	1.0
