row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	420	19.419	0.502	9.0	0.0	1.0	1.0
0	0	380	18.032	0.18	9.0	0.0	1.0	1.0
0	0	340	16.645	0.486	9.032	0.18	1.0	1.0
0	0	300	15.032	0.18	9.419	0.502	1.0	1.0
0	0	260	13.226	0.425	10.0	0.0	1.0	1.0
0	0	220	11.419	0.502	10.0	0.0	1.0	1.0
0	0	180	9.419	0.502	10.065	0.25	1.0	1.0
0	0	140	7.645	0.486	11.0	0.0	1.0	1.0
0	0	100	5.0	0.0	13.065	0.359	1.0	1.0
0	0	77	4.0	0.0	15.484	0.626	1.0	1.0
0	0	74	3.968	0.18	16.0	0.516	1.0	1.0
0	0	71	3.903	0.396	16.774	0.717	1.0	1.0
0	0	68	3.355	0.661	17.419	0.807	1.0	1.0
0	0	65	2.323	0.541	18.839	1.098	1.0	1.0
0	0	62	2.032	0.18	20.161	1.319	1.0	1.0
0	0	59	2.0	0.0	22.677	1.739	1.0	1.0
0	0	56	1.967	0.183	25.903	2.856	0.968	1.0
0	0	53	1.393	0.737	31.741	4.662	0.774	0.871
0	0	50	0.133	0.507	35.333	5.859	0.065	0.097
0	0	47	0.0	0.0	nan	nan	0.0	0.0
0	0	44	0.0	0.0	nan	nan	0.0	0.0
1	0	420	15.452	0.506	10.0	0.0	1.0	1.0
1	0	380	14.129	0.341	10.0	0.0	1.0	1.0
1	0	340	13.0	0.0	10.0	0.0	1.0	1.0
1	0	300	11.774	0.425	10.0	0.0	1.0	1.0
1	0	260	10.065	0.25	10.387	0.495	1.0	1.0
1	0	220	8.935	0.25	11.0	0.0	1.0	1.0
1	0	180	7.0	0.258	11.0	0.0	1.0	1.0
1	0	140	5.161	0.374	12.29	0.461	1.0	1.0
1	0	100	3.484	0.508	14.903	0.396	1.0	1.0
1	0	77	1.355	0.486	19.129	0.922	1.0	1.0
1	0	74	1.097	0.301	20.581	1.361	1.0	1.0
1	0	71	0.968	0.18	22.2	2.219	0.968	0.968
1	0	68	0.833	0.379	23.846	3.133	0.806	0.839
1	0	65	0.267	0.45	25.444	2.833	0.258	0.29
1	0	62	0.0	0.0	nan	nan	0.0	0.0
1	0	59	0.0	0.0	nan	nan	0.0	0.0
1	0	56	0.0	0.0	nan	nan	0.0	0.0
1	0	53	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	47	0.0	0.0	nan	nan	0.0	0.0
1	0	44	0.0	0.0	nan	nan	0.0	0.0
2	0	420	18.968	0.18	9.0	0.0	1.0	1.0
2	0	380	17.839	0.374	9.0	0.0	1.0	1.0
2	0	340	16.161	0.374	9.0	0.0	1.0	1.0
2	0	300	14.871	0.341	9.0	0.0	1.0	1.0
2	0	260	13.097	0.301	9.419	0.502	1.0	1.0
2	0	220	11.29	0.461	9.968	0.18	1.0	1.0
2	0	180	9.323	0.475	10.0	0.0	1.0	1.0
2	0	140	7.355	0.486	11.0	0.0	1.0	1.0
2	0	100	5.226	0.425	12.806	0.402	1.0	1.0
2	0	77	4.0	0.0	15.355	0.486	1.0	1.0
2	0	74	4.0	0.0	16.032	0.605	1.0	1.0
2	0	71	3.871	0.341	16.516	0.626	1.0	1.0
2	0	68	3.516	0.626	17.516	0.851	1.0	1.0
2	0	65	2.806	0.792	18.29	1.101	1.0	1.0
2	0	62	2.032	0.18	20.323	1.301	1.0	1.0
2	0	59	2.0	0.0	22.548	1.823	1.0	1.0
2	0	56	1.968	0.18	25.645	3.629	1.0	1.0
2	0	53	1.31	0.85	31.167	4.733	0.71	0.774
2	0	50	0.267	0.64	37.167	5.269	0.161	0.194
2	0	47	0.0	0.0	nan	nan	0.0	0.0
