row,col,voltage,tot_avg,tot_std,toa_avg,toa_std,efficiency_tot,efficiency_toa,tup,tdac_code
0,0,87,5.0,0.0,15.516,0.57,1.0,1.0,0,0
0,0,84,4.903,0.301,15.871,0.499,1.0,1.0,0,0
0,0,81,4.484,0.508,16.226,0.617,1.0,1.0,0,0
0,0,78,4.194,0.402,16.484,0.626,1.0,1.0,0,0
0,0,75,3.968,0.315,17.323,0.702,1.0,1.0,0,0
0,0,72,3.677,0.475,17.935,0.629,1.0,1.0,0,0
0,0,69,3.581,0.502,18.161,0.735,1.0,1.0,0,0
0,0,66,3.161,0.454,19.419,0.848,1.0,1.0,0,0
0,0,63,2.677,0.475,20.484,1.48,1.0,1.0,0,0
0,0,60,2.29,0.461,21.71,1.716,1.0,1.0,0,0
0,0,57,2.129,0.341,23.323,1.579,1.0,1.0,0,0
0,0,54,2.0,0.0,25.194,2.151,1.0,1.0,0,0
0,0,51,1.903,0.301,29.516,3.482,1.0,1.0,0,0
0,0,48,0.467,0.629,38.385,3.82,0.387,0.419,0,0
0,0,45,0.0,0.0,,,0.0,0.0,0,0
0,0,42,0.0,0.0,,,0.0,0.0,0,0
0,0,39,0.0,0.0,,,0.0,0.0,0,0
0,0,36,0.0,0.0,,,0.0,0.0,0,0
0,0,33,0.0,0.0,,,0.0,0.0,0,0
0,0,30,0.0,0.0,,,0.0,0.0,0,0
1,0,87,2.548,0.624,18.129,0.619,1.0,1.0,0,0
1,0,84,2.097,0.301,18.903,0.7,1.0,1.0,0,0
1,0,81,2.0,0.0,19.581,0.62,1.0,1.0,0,0
1,0,78,1.968,0.18,20.387,0.955,1.0,1.0,0,0
1,0,75,1.871,0.341,21.226,1.087,1.0,1.0,0,0
1,0,72,1.581,0.502,22.161,1.44,1.0,1.0,0,0
1,0,69,1.333,0.479,24.677,2.903,0.968,1.0,0,0
1,0,66,1.033,0.32,25.733,2.815,0.935,0.968,0,0
1,0,63,0.71,0.461,27.682,2.378,0.71,0.71,0,0
1,0,60,0.032,0.18,28.0,0.0,0.032,0.032,0,0
1,0,57,0.0,0.0,,,0.0,0.0,0,0
1,0,54,0.0,0.0,,,0.0,0.0,0,0
1,0,51,0.0,0.0,,,0.0,0.0,0,0
1,0,48,0.0,0.0,,,0.0,0.0,0,0
1,0,45,0.0,0.0,,,0.0,0.0,0,0
1,0,42,0.0,0.0,,,0.0,0.0,0,0
1,0,39,0.0,0.0,,,0.0,0.0,0,0
1,0,36,0.0,0.0,,,0.0,0.0,0,0
1,0,33,0.0,0.0,,,0.0,0.0,0,0
1,0,30,0.0,0.0,,,0.0,0.0,0,0
2,0,87,4.968,0.18,15.226,0.425,1.0,1.0,0,0
2,0,84,4.871,0.341,15.645,0.551,1.0,1.0,0,0
2,0,81,4.613,0.495,16.097,0.539,1.0,1.0,0,0
2,0,78,4.323,0.541,16.258,0.855,1.0,1.0,0,0
2,0,75,3.968,0.315,16.935,0.727,1.0,1.0,0,0
2,0,72,3.871,0.341,17.645,0.709,1.0,1.0,0,0
2,0,69,3.613,0.495,18.0,0.577,1.0,1.0,0,0
2,0,66,3.161,0.374,19.258,1.032,1.0,1.0,0,0
2,0,63,2.903,0.473,20.129,1.204,1.0,1.0,0,0
2,0,60,2.484,0.508,21.613,1.542,1.0,1.0,0,0
2,0,57,2.323,0.475,22.71,1.883,1.0,1.0,0,0
2,0,54,2.032,0.315,25.613,2.848,1.0,1.0,0,0
2,0,51,1.839,0.374,29.968,3.962,1.0,1.0,0,0
2,0,48,0.966,0.865,34.2,5.116,0.581,0.645,0,0
2,0,45,0.097,0.396,32.5,3.536,0.065,0.065,0,0
2,0,42,0.0,0.0,,,0.0,0.0,0,0
2,0,39,0.0,0.0,,,0.0,0.0,0,0
2,0,36,0.0,0.0,,,0.0,0.0,0,0
2,0,33,0.0,0.0,,,0.0,0.0,0,0
2,0,30,0.0,0.0,,,0.0,0.0,0,0
3,0,87,3.839,0.374,16.903,0.597,1.0,1.0,0,0
3,0,84,3.581,0.564,17.484,0.57,1.0,1.0,0,0
3,0,81,2.903,0.746,18.29,0.693,1.0,1.0,0,0
3,0,78,2.419,0.62,18.677,0.791,1.0,1.0,0,0
3,0,75,2.065,0.25,19.452,0.925,1.0,1.0,0,0
3,0,72,2.0,0.0,20.323,0.748,1.0,1.0,0,0
3,0,69,2.0,0.0,21.29,0.864,1.0,1.0,0,0
3,0,66,1.867,0.346,23.0,3.215,0.968,1.0,0,0
3,0,63,1.484,0.508,24.065,2.048,1.0,1.0,0,0
3,0,60,1.323,0.475,26.226,2.526,1.0,1.0,0,0
3,0,57,0.444,0.577,30.467,4.155,0.355,0.484,0,0
3,0,54,0.0,0.0,,,0.0,0.0,0,0
3,0,51,0.0,0.0,,,0.0,0.0,0,0
3,0,48,0.0,0.0,,,0.0,0.0,0,0
3,0,45,0.0,0.0,,,0.0,0.0,0,0
3,0,42,0.0,0.0,,,0.0,0.0,0,0
3,0,39,0.0,0.0,,,0.0,0.0,0,0
3,0,36,0.0,0.0,,,0.0,0.0,0,0
3,0,33,0.0,0.0,,,0.0,0.0,0,0
3,0,30,0.0,0.0,,,0.0,0.0,0,0
4,0,87,3.742,0.445,16.419,0.62,1.0,1.0,0,0
4,0,84,3.516,0.508,16.71,0.643,1.0,1.0,0,0
4,0,81,3.194,0.402,17.097,0.597,1.0,1.0,0,0
4,0,78,2.677,0.541,18.097,0.746,1.0,1.0,0,0
4,0,75,2.452,0.506,18.387,0.715,1.0,1.0,0,0
4,0,72,2.226,0.425,19.032,0.836,1.0,1.0,0,0
4,0,69,2.0,0.365,19.839,1.267,1.0,1.0,0,0
4,0,66,1.839,0.374,20.581,1.089,1.0,1.0,0,0
4,0,63,1.452,0.568,22.355,1.704,1.0,1.0,0,0
4,0,60,1.129,0.341,24.452,2.014,1.0,1.0,0,0
4,0,57,0.793,0.491,27.208,3.413,0.71,0.774,0,0
4,0,54,0.167,0.379,31.167,3.312,0.161,0.194,0,0
4,0,51,0.0,0.0,,,0.0,0.0,0,0
4,0,48,0.0,0.0,,,0.0,0.0,0,0
4,0,45,0.0,0.0,,,0.0,0.0,0,0
4,0,42,0.0,0.0,,,0.0,0.0,0,0
4,0,39,0.0,0.0,,,0.0,0.0,0,0
4,0,36,0.0,0.0,,,0.0,0.0,0,0
4,0,33,0.0,0.0,,,0.0,0.0,0,0
4,0,30,0.0,0.0,,,0.0,0.0,0,0
