row,col,delta_tup1,delta_tup0
0,0,21.2630315858298,-24.276052278125842
0,1,30.1006268083107,-35.31222666505897
0,2,22.397206283393963,-24.001027117762934
0,3,31.40586726080911,-33.66081589374666
0,4,23.2955465667656,-27.379808545277694
0,5,21.71941877428403,-22.80535494229076
0,6,26.796077096089576,-189.17694335501702
0,7,25.773917821411246,-28.063850545535672
1,0,30.355250428718975,-31.995779885508544
1,1,29.14219879113329,-31.721465337435358
1,2,28.61281836581974,-30.800059924364348
1,3,26.68540353335421,-30.406314675496382
1,4,30.31036346885248,-194.30508103384062
1,5,22.198925887365924,-26.708960726950103
1,6,23.8372113567724,-25.99412142158177
1,7,27.121477082622086,-29.605291432696298
2,0,32.53049178057016,-194.61467693311755
2,1,23.76407147448957,-29.159414734855538
2,2,31.076159149477895,-31.37790488828339
2,3,28.612079585375014,-31.87053352125828
2,4,27.410492038593702,-30.175274888645525
2,5,29.228471130949394,-30.8837177596821
2,6,29.138279587785668,-37.04333438649636
2,7,31.09569554715594,-31.61962015053051
3,0,24.39999241487314,-28.532978290657205
3,1,29.26149529478839,-37.719579977633416
3,2,30.4725367329779,-34.19035313368006
3,3,30.983347699214633,-33.035612262827804
3,4,29.262410499900945,-192.98468043824798
3,5,30.839378829970826,-33.88125820273053
3,6,39.05693841580285,-38.69919830107342
3,7,24.819702437307207,-28.371459615171744
4,0,42.29710752545967,-202.8080177439697
4,1,25.01575416962615,-191.70568473174455
4,2,24.913304929854014,-28.26292986622653
4,3,34.17943734207144,-201.3664631086036
4,4,24.96203418795678,-189.7162577486813
4,5,30.45906942153045,-68.90880229289337
4,6,26.758321314365446,-29.918450401289274
4,7,30.627652715233715,-34.58071556811032
5,0,32.15311942623991,-46.131093653655675
5,1,32.300435751402745,-32.98045690977086
5,2,24.11682341023753,-26.807398462131914
5,3,30.07228081710018,-30.9325874954054
5,4,30.26671379441276,-36.099318166631775
5,5,31.4045238769882,-32.21045906418259
5,6,29.201054029952424,-30.08097608559685
5,7,29.61404256127021,-35.649808413056576
6,0,29.93861757520972,-34.35959711202341
6,1,24.082376847466094,-25.98947239029999
6,2,27.821909064150873,-32.80639706946796
6,3,26.678524379353945,-27.286522534128636
6,4,40.565766766314496,-197.86874853678137
6,5,30.254344023802552,-31.778583781246
6,6,24.088828401319155,-25.794245372397725
6,7,36.06076942517315,-199.2948799984776
7,0,24.1751911997427,-190.6448430068678
