row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	72	5.0	0.0	14.613	0.615	1.0	1.0
0	0	69	4.968	0.18	15.258	0.631	1.0	1.0
0	0	66	4.871	0.341	15.613	0.667	1.0	1.0
0	0	63	4.355	0.486	16.323	0.653	1.0	1.0
0	0	60	4.194	0.402	16.645	0.608	1.0	1.0
0	0	57	4.0	0.365	17.387	0.715	1.0	1.0
0	0	54	3.548	0.568	18.194	0.833	1.0	1.0
0	0	51	3.161	0.374	19.258	1.125	1.0	1.0
0	0	48	2.935	0.25	20.194	1.276	1.0	1.0
0	0	45	2.839	0.374	22.387	2.348	1.0	1.0
0	0	42	2.419	0.564	24.774	3.956	1.0	1.0
0	0	39	1.935	0.629	28.433	5.643	0.968	0.968
0	0	36	0.733	0.907	35.357	5.719	0.419	0.452
0	0	33	0.0	0.0	nan	nan	0.0	0.0
0	0	30	0.0	0.0	nan	nan	0.0	0.0
0	0	27	0.0	0.0	nan	nan	0.0	0.0
0	0	24	0.0	0.0	nan	nan	0.0	0.0
1	0	72	3.226	0.56	17.161	0.638	1.0	1.0
1	0	69	2.871	0.428	17.516	0.962	1.0	1.0
1	0	66	2.419	0.502	18.194	0.749	1.0	1.0
1	0	63	2.161	0.374	19.065	0.772	1.0	1.0
1	0	60	2.0	0.0	19.935	0.929	1.0	1.0
1	0	57	1.935	0.25	21.0	1.0	1.0	1.0
1	0	54	1.645	0.486	23.0	1.807	1.0	1.0
1	0	51	1.29	0.529	25.033	2.356	0.968	0.968
1	0	48	0.933	0.64	26.25	2.642	0.742	0.774
1	0	45	0.097	0.301	30.0	2.646	0.097	0.097
1	0	42	0.0	0.0	nan	nan	0.0	0.0
1	0	39	0.0	0.0	nan	nan	0.0	0.0
1	0	36	0.0	0.0	nan	nan	0.0	0.0
1	0	33	0.0	0.0	nan	nan	0.0	0.0
1	0	30	0.0	0.0	nan	nan	0.0	0.0
1	0	27	0.0	0.0	nan	nan	0.0	0.0
1	0	24	0.0	0.0	nan	nan	0.0	0.0
2	0	72	5.645	0.486	13.516	0.677	1.0	1.0
2	0	69	5.129	0.341	13.968	0.407	1.0	1.0
2	0	66	5.065	0.25	14.419	0.502	1.0	1.0
2	0	63	5.0	0.0	14.871	0.67	1.0	1.0
2	0	60	5.0	0.0	15.161	0.638	1.0	1.0
2	0	57	4.871	0.341	15.613	0.761	1.0	1.0
2	0	54	4.581	0.502	16.258	0.575	1.0	1.0
2	0	51	4.387	0.495	16.613	0.667	1.0	1.0
2	0	48	4.0	0.577	17.484	0.962	1.0	1.0
2	0	45	3.258	0.445	18.774	0.717	1.0	1.0
2	0	42	3.0	0.0	20.065	1.124	1.0	1.0
2	0	39	3.032	0.18	22.355	2.199	1.0	1.0
2	0	36	2.871	0.341	23.581	2.566	1.0	1.0
2	0	33	2.467	0.571	29.71	4.907	0.968	1.0
2	0	30	0.586	0.907	37.25	10.515	0.323	0.387
2	0	27	0.0	0.0	nan	nan	0.0	0.0
2	0	24	0.0	0.0	nan	nan	0.0	0.0
3	0	72	4.0	0.258	16.258	0.729	1.0	1.0
3	0	69	3.903	0.301	16.774	0.617	1.0	1.0
3	0	66	3.548	0.506	17.194	0.873	1.0	1.0
3	0	63	3.032	0.706	18.032	0.795	1.0	1.0
3	0	60	2.452	0.624	18.742	0.815	1.0	1.0
3	0	57	2.032	0.18	19.806	1.424	1.0	1.0
3	0	54	2.0	0.0	21.0	1.033	1.0	1.0
3	0	51	1.903	0.301	23.129	2.262	1.0	1.0
3	0	48	1.613	0.495	24.645	2.106	1.0	1.0
3	0	45	1.407	0.572	28.533	4.637	0.839	0.968
3	0	42	0.484	0.508	30.133	2.295	0.484	0.484
3	0	39	0.0	0.0	nan	nan	0.0	0.0
3	0	36	0.0	0.0	nan	nan	0.0	0.0
3	0	33	0.0	0.0	nan	nan	0.0	0.0
3	0	30	0.0	0.0	nan	nan	0.0	0.0
3	0	27	0.0	0.0	nan	nan	0.0	0.0
3	0	24	0.0	0.0	nan	nan	0.0	0.0
4	0	72	4.0	0.0	14.613	0.667	1.0	1.0
4	0	69	4.0	0.0	15.032	0.482	1.0	1.0
4	0	66	3.935	0.25	15.387	0.761	1.0	1.0
4	0	63	3.839	0.374	15.968	0.657	1.0	1.0
4	0	60	3.742	0.445	16.194	0.654	1.0	1.0
4	0	57	3.387	0.615	16.903	0.87	1.0	1.0
4	0	54	3.0	0.683	17.548	0.768	1.0	1.0
4	0	51	2.484	0.57	18.419	1.025	1.0	1.0
4	0	48	2.097	0.301	19.71	1.677	1.0	1.0
4	0	45	2.0	0.258	20.806	1.99	1.0	1.0
4	0	42	1.71	0.461	23.0	2.503	1.0	1.0
4	0	39	1.387	0.558	25.333	3.188	0.968	0.968
4	0	36	0.889	0.641	28.625	4.352	0.645	0.774
4	0	33	0.065	0.25	31.0	2.828	0.065	0.065
4	0	30	0.0	0.0	nan	nan	0.0	0.0
4	0	27	0.0	0.0	nan	nan	0.0	0.0
4	0	24	0.0	0.0	nan	nan	0.0	0.0
5	0	72	4.871	0.341	15.226	0.617	1.0	1.0
5	0	69	4.71	0.461	15.774	0.56	1.0	1.0
5	0	66	4.258	0.445	16.161	0.638	1.0	1.0
5	0	63	4.032	0.18	16.548	0.768	1.0	1.0
5	0	60	3.935	0.442	17.323	1.013	1.0	1.0
5	0	57	3.774	0.425	17.871	0.846	1.0	1.0
5	0	54	3.194	0.402	18.968	0.912	1.0	1.0
5	0	51	3.0	0.447	19.968	1.602	1.0	1.0
5	0	48	2.677	0.475	20.871	0.991	1.0	1.0
5	0	45	2.516	0.508	23.065	1.672	1.0	1.0
5	0	42	2.129	0.341	25.323	2.482	1.0	1.0
5	0	39	1.867	0.507	29.968	5.276	0.968	1.0
5	0	36	1.0	0.788	35.955	6.004	0.677	0.71
5	0	33	0.0	0.0	nan	nan	0.0	0.0
5	0	30	0.0	0.0	nan	nan	0.0	0.0
5	0	27	0.0	0.0	nan	nan	0.0	0.0
5	0	24	0.0	0.0	nan	nan	0.0	0.0
6	0	72	4.548	0.506	15.645	0.486	1.0	1.0
6	0	69	4.226	0.425	16.258	0.682	1.0	1.0
6	0	66	4.0	0.258	16.645	0.486	1.0	1.0
6	0	63	3.903	0.473	17.419	1.259	1.0	1.0
6	0	60	3.839	0.374	17.484	0.89	1.0	1.0
6	0	57	3.484	0.508	18.323	1.013	1.0	1.0
6	0	54	2.968	0.315	19.065	1.181	1.0	1.0
6	0	51	2.935	0.359	20.484	1.338	1.0	1.0
6	0	48	2.645	0.486	21.613	1.453	1.0	1.0
6	0	45	2.161	0.374	24.419	1.84	1.0	1.0
6	0	42	2.0	0.0	26.645	2.751	1.0	1.0
6	0	39	1.71	0.461	31.419	3.519	1.0	1.0
6	0	36	0.393	0.737	36.8	4.264	0.226	0.323
6	0	33	0.1	0.403	36.333	7.638	0.065	0.097
6	0	30	0.0	0.0	nan	nan	0.0	0.0
6	0	27	0.0	0.0	nan	nan	0.0	0.0
6	0	24	0.0	0.0	nan	nan	0.0	0.0
7	0	72	4.968	0.18	13.935	0.512	1.0	1.0
7	0	69	4.839	0.374	14.226	0.497	1.0	1.0
7	0	66	4.839	0.374	14.452	0.624	1.0	1.0
7	0	63	4.484	0.508	15.032	0.407	1.0	1.0
7	0	60	4.226	0.425	15.452	0.624	1.0	1.0
7	0	57	4.065	0.25	15.903	0.539	1.0	1.0
7	0	54	3.935	0.25	16.452	0.675	1.0	1.0
7	0	51	3.774	0.497	17.194	1.078	1.0	1.0
7	0	48	3.387	0.667	18.194	1.046	1.0	1.0
7	0	45	2.71	0.693	19.129	1.176	1.0	1.0
7	0	42	2.129	0.341	20.903	1.469	1.0	1.0
7	0	39	2.065	0.25	22.839	1.594	1.0	1.0
7	0	36	1.903	0.301	25.548	3.749	1.0	1.0
7	0	33	1.419	0.765	29.615	4.346	0.839	0.839
7	0	30	0.464	0.793	35.273	2.37	0.258	0.355
