row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	107	4.065	0.25	18.806	0.543	1.0	1.0
0	0	104	3.968	0.18	19.129	0.499	1.0	1.0
0	0	101	3.935	0.25	19.355	0.486	1.0	1.0
0	0	98	3.613	0.495	19.742	0.514	1.0	1.0
0	0	95	3.194	0.402	20.419	0.564	1.0	1.0
0	0	92	3.0	0.0	20.871	0.562	1.0	1.0
0	0	89	3.0	0.0	21.452	0.506	1.0	1.0
0	0	86	3.032	0.18	22.194	0.703	1.0	1.0
0	0	83	3.0	0.0	22.968	0.875	1.0	1.0
0	0	80	2.613	0.495	23.806	1.046	1.0	1.0
0	0	77	2.194	0.402	24.903	0.978	1.0	1.0
0	0	74	2.0	0.0	26.097	1.904	1.0	1.0
0	0	71	2.032	0.18	28.226	1.726	1.0	1.0
0	0	68	2.0	0.0	30.355	2.274	1.0	1.0
0	0	65	1.233	0.679	35.222	3.274	0.839	0.871
0	0	62	0.233	0.504	36.429	3.69	0.194	0.226
0	0	59	0.0	0.0	nan	nan	0.0	0.0
0	0	56	0.0	0.0	nan	nan	0.0	0.0
0	0	53	0.0	0.0	nan	nan	0.0	0.0
0	0	50	0.0	0.0	nan	nan	0.0	0.0
0	0	47	0.0	0.0	nan	nan	0.0	0.0
0	0	44	0.0	0.0	nan	nan	0.0	0.0
1	0	107	2.129	0.341	23.065	0.964	1.0	1.0
1	0	104	2.032	0.18	23.613	0.761	1.0	1.0
1	0	101	2.0	0.0	24.0	0.894	1.0	1.0
1	0	98	2.0	0.0	24.71	0.938	1.0	1.0
1	0	95	1.903	0.301	26.0	1.265	1.0	1.0
1	0	92	1.677	0.475	27.806	1.778	1.0	1.0
1	0	89	1.448	0.572	29.0	2.841	0.903	0.968
1	0	86	0.769	0.765	31.0	3.418	0.484	0.645
1	0	83	0.321	0.476	32.833	3.271	0.29	0.387
1	0	80	0.0	0.0	nan	nan	0.0	0.0
1	0	77	0.0	0.0	nan	nan	0.0	0.0
1	0	74	0.0	0.0	nan	nan	0.0	0.0
1	0	71	0.0	0.0	nan	nan	0.0	0.0
1	0	68	0.0	0.0	nan	nan	0.0	0.0
1	0	65	0.0	0.0	nan	nan	0.0	0.0
1	0	62	0.0	0.0	nan	nan	0.0	0.0
1	0	59	0.0	0.0	nan	nan	0.0	0.0
1	0	56	0.0	0.0	nan	nan	0.0	0.0
1	0	53	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	47	0.0	0.0	nan	nan	0.0	0.0
1	0	44	0.0	0.0	nan	nan	0.0	0.0
2	0	107	3.839	0.374	21.677	0.475	1.0	1.0
2	0	104	3.484	0.508	22.097	0.539	1.0	1.0
2	0	101	3.129	0.341	22.903	0.597	1.0	1.0
2	0	98	3.032	0.18	23.194	0.749	1.0	1.0
2	0	95	2.968	0.18	23.806	1.046	1.0	1.0
2	0	92	3.0	0.0	24.774	0.762	1.0	1.0
2	0	89	2.903	0.301	25.871	0.991	1.0	1.0
2	0	86	2.516	0.508	26.774	1.117	1.0	1.0
2	0	83	2.129	0.341	28.032	1.197	1.0	1.0
2	0	80	2.032	0.18	29.29	1.811	1.0	1.0
2	0	77	1.9	0.305	32.226	2.591	0.968	1.0
2	0	74	1.115	0.711	35.731	3.639	0.677	0.839
2	0	71	0.357	0.559	36.917	1.929	0.29	0.387
2	0	68	0.0	0.0	nan	nan	0.0	0.0
2	0	65	0.0	0.0	nan	nan	0.0	0.0
2	0	62	0.0	0.0	nan	nan	0.0	0.0
2	0	59	0.0	0.0	nan	nan	0.0	0.0
2	0	56	0.0	0.0	nan	nan	0.0	0.0
2	0	53	0.0	0.0	nan	nan	0.0	0.0
2	0	50	0.0	0.0	nan	nan	0.0	0.0
2	0	47	0.0	0.0	nan	nan	0.0	0.0
2	0	44	0.0	0.0	nan	nan	0.0	0.0
3	0	107	2.968	0.18	20.419	0.502	1.0	1.0
3	0	104	2.968	0.18	21.032	0.482	1.0	1.0
3	0	101	2.742	0.445	21.258	0.682	1.0	1.0
3	0	98	2.516	0.508	21.935	0.629	1.0	1.0
3	0	95	2.161	0.374	22.516	0.626	1.0	1.0
3	0	92	2.065	0.25	23.097	0.831	1.0	1.0
3	0	89	2.0	0.0	24.29	1.039	1.0	1.0
3	0	86	2.0	0.0	24.903	1.375	1.0	1.0
3	0	83	1.903	0.301	25.903	1.136	1.0	1.0
3	0	80	1.613	0.495	27.806	1.352	1.0	1.0
3	0	77	1.267	0.583	29.207	2.366	0.903	0.935
