row,col,tdac_code,tup,mu,sigma
0,0,0,1,46.69,1.08
0,0,8,1,50.97,0.72
0,0,16,1,57.4,1.33
0,0,24,1,63.2,1.59
0,0,31,1,67.95,1.06
0,0,0,0,48.14,0.67
0,0,8,0,43.3,0.54
0,0,16,0,36.18,1.43
0,0,24,0,29.09,2.16
0,0,31,0,23.86,2.37
0,1,0,1,62.39,2.1
0,1,8,1,69.95,2.11
0,1,16,1,77.4,1.24
0,1,24,1,85.6,2.42
0,1,31,1,92.49,1.69
0,1,0,0,65.21,1.69
0,1,8,0,56.11,2.02
0,1,16,0,47.4,1.3
0,1,24,0,38.2,2.28
0,1,31,0,29.9,1.5
0,2,0,1,50.46,1.82
0,2,8,1,56.53,2.22
0,2,16,1,62.4,1.23
0,2,24,1,67.71,0.64
0,2,31,1,72.86,1.91
0,2,0,0,52.05,1.06
0,2,8,0,46.76,1.2
0,2,16,0,39.82,2.3
0,2,24,0,34.13,1.85
0,2,31,0,28.04,1.38
0,3,0,1,60.81,1.2
0,3,8,1,67.61,1.07
0,3,16,1,75.1,1.39
0,3,24,1,84.4,1.23
0,3,31,1,92.22,1.74
0,3,0,0,62.86,0.69
0,3,8,0,54.5,1.15
0,3,16,0,46.5,0.81
0,3,24,0,38.1,1.75
0,3,31,0,29.2,1.59
0,4,0,1,48.1,1.46
0,4,8,1,53.64,1.65
0,4,16,1,59.5,1.51
0,4,24,1,66.1,1.46
0,4,31,1,71.4,1.33
0,4,0,0,48.69,1.25
0,4,8,0,42.84,2.12
0,4,16,0,36.04,1.38
0,4,24,0,28.0,1.33
0,4,31,0,21.31,1.25
0,5,0,1,46.5,1.34
0,5,8,1,51.6,1.3
0,5,16,1,57.57,0.77
0,5,24,1,63.7,1.72
0,5,31,1,68.22,1.74
0,5,0,0,48.9,1.39
0,5,8,0,43.0,1.54
0,5,16,0,36.78,1.2
0,5,24,0,30.19,1.2
0,5,31,0,26.1,1.68
0,6,0,1,40.6,1.38
0,6,8,1,46.8,1.59
0,6,16,1,53.19,1.82
0,6,24,1,61.13,1.16
0,6,31,1,67.4,1.23
0,6,0,0,41.97,0.71
0,6,8,0,35.5,1.34
0,6,16,0,28.4,1.23
0,6,24,0,19.97,0.71
0,6,31,0,-147.21,36.62
0,7,0,1,63.3,1.73
0,7,8,1,69.04,1.82
0,7,16,1,76.07,1.42
0,7,24,1,83.29,2.05
0,7,31,1,89.07,2.45
0,7,0,0,65.93,1.42
0,7,8,0,59.9,1.42
0,7,16,0,51.59,1.63
0,7,24,0,44.33,1.89
0,7,31,0,37.87,1.16
1,0,0,1,61.55,2.25
1,0,8,1,67.28,1.13
1,0,16,1,76.98,1.81
1,0,24,1,84.42,3.02
1,0,31,1,91.9,1.48
1,0,0,0,62.3,1.26
1,0,8,0,55.41,1.63
1,0,16,0,46.9,1.47
1,0,24,0,37.64,1.39
1,0,31,0,30.31,2.33
1,1,0,1,50.96,2.0
1,1,8,1,57.48,1.62
1,1,16,1,63.98,1.62
1,1,24,1,72.2,1.59
1,1,31,1,80.11,1.64
1,1,0,0,51.51,1.4
1,1,8,0,45.39,2.08
1,1,16,0,37.5,1.73
1,1,24,0,28.59,1.47
1,1,31,0,19.79,2.29
1,2,0,1,62.15,2.0
1,2,8,1,69.02,1.98
1,2,16,1,75.88,1.93
1,2,24,1,84.5,1.33
1,2,31,1,90.77,2.61
1,2,0,0,64.4,1.63
1,2,8,0,57.8,1.59
1,2,16,0,49.9,1.68
1,2,24,0,40.88,2.27
1,2,31,0,33.6,1.38
1,3,0,1,46.31,1.25
1,3,8,1,52.82,1.93
1,3,16,1,60.12,1.86
1,3,24,1,66.19,1.87
1,3,31,1,73.0,1.32
1,3,0,0,48.11,1.66
1,3,8,0,41.3,1.87
1,3,16,0,33.01,2.31
1,3,24,0,25.2,1.47
1,3,31,0,17.7,1.72
1,4,0,1,46.59,0.63
1,4,8,1,53.19,1.5
1,4,16,1,61.77,1.8
1,4,24,1,70.45,1.81
1,4,31,1,76.9,1.47
1,4,0,0,47.1,1.39
1,4,8,0,40.82,1.59
1,4,16,0,32.62,2.05
1,4,24,0,23.64,1.98
1,4,31,0,-147.21,36.62
1,5,0,1,63.6,1.62
1,5,8,1,67.76,0.95
1,5,16,1,74.2,1.39
1,5,24,1,80.64,1.98
1,5,31,1,85.8,1.59
1,5,0,0,65.0,1.32
1,5,8,0,58.76,1.2
1,5,16,0,51.5,1.34
1,5,24,0,44.51,2.02
1,5,31,0,38.3,1.72
1,6,0,1,47.8,1.45
1,6,8,1,54.02,1.98
1,6,16,1,59.6,1.41
1,6,24,1,66.61,2.32
1,6,31,1,71.64,0.97
1,6,0,0,48.64,1.98
1,6,8,0,42.61,1.07
1,6,16,0,35.93,1.98
1,6,24,0,29.4,1.38
1,6,31,0,22.64,2.0
1,7,0,1,48.39,1.07
1,7,8,1,53.94,1.62
1,7,16,1,60.48,1.15
1,7,24,1,68.69,1.25
1,7,31,1,75.51,0.59
1,7,0,0,49.5,1.52
1,7,8,0,42.4,1.41
1,7,16,0,34.7,1.52
1,7,24,0,26.69,1.25
1,7,31,0,19.9,1.61
2,0,0,1,46.75,0.67
2,0,8,1,53.96,1.38
2,0,16,1,61.7,1.51
2,0,24,1,71.72,2.14
2,0,31,1,79.28,2.19
2,0,0,0,47.41,1.57
2,0,8,0,40.0,1.32
2,0,16,0,30.19,0.67
2,0,24,0,21.1,1.46
2,0,31,0,-147.21,36.62
2,1,0,1,54.9,1.46
2,1,8,1,60.07,1.42
2,1,16,1,66.3,1.55
2,1,24,1,74.18,1.43
2,1,31,1,78.66,1.82
2,1,0,0,56.82,1.43
2,1,8,0,50.5,1.34
2,1,16,0,42.18,1.59
2,1,24,0,36.0,1.33
2,1,31,0,27.66,2.24
2,2,0,1,61.06,2.23
2,2,8,1,67.91,1.27
2,2,16,1,77.1,1.47
2,2,24,1,86.06,1.62
2,2,31,1,92.13,1.82
2,2,0,0,62.21,2.27
2,2,8,0,54.09,1.93
2,2,16,0,46.4,1.41
2,2,24,0,37.86,1.53
2,2,31,0,30.83,2.34
2,3,0,1,63.09,1.26
2,3,8,1,69.08,0.69
2,3,16,1,77.81,1.62
2,3,24,1,85.7,1.54
2,3,31,1,91.7,1.5
2,3,0,0,65.56,0.95
2,3,8,0,59.48,1.7
2,3,16,0,49.4,1.23
2,3,24,0,41.18,1.43
2,3,31,0,33.69,1.08
2,4,0,1,64.52,1.62
2,4,8,1,70.15,2.51
2,4,16,1,76.43,1.85
2,4,24,1,84.8,1.39
2,4,31,1,91.93,1.96
2,4,0,0,65.28,2.14
2,4,8,0,58.3,1.55
2,4,16,0,50.81,0.66
2,4,24,0,42.71,1.52
2,4,31,0,35.1,1.46
2,5,0,1,62.5,1.34
2,5,8,1,68.59,2.39
2,5,16,1,76.41,1.58
2,5,24,1,84.4,1.41
2,5,31,1,91.73,2.11
2,5,0,0,64.4,1.87
2,5,8,0,57.4,1.23
2,5,16,0,49.49,2.01
2,5,24,0,40.71,0.63
2,5,31,0,33.52,1.62
2,6,0,1,49.2,2.5
2,6,8,1,56.3,1.6
2,6,16,1,63.72,2.75
2,6,24,1,71.52,2.01
2,6,31,1,78.34,2.92
2,6,0,0,50.41,2.19
2,6,8,0,42.5,1.51
2,6,16,0,33.85,2.08
2,6,24,0,25.81,0.67
2,6,31,0,13.37,4.04
2,7,0,1,65.7,1.51
2,7,8,1,72.6,1.3
2,7,16,1,80.61,2.32
2,7,24,1,89.48,1.62
2,7,31,1,96.79,2.4
2,7,0,0,68.0,1.33
2,7,8,0,59.95,1.1
2,7,16,0,52.03,2.58
2,7,24,0,44.72,2.14
2,7,31,0,36.38,2.07
3,0,0,1,55.59,1.47
3,0,8,1,60.36,1.65
3,0,16,1,66.93,1.42
3,0,24,1,74.2,1.95
3,0,31,1,79.99,2.33
3,0,0,0,57.03,0.7
3,0,8,0,50.74,2.8
3,0,16,0,42.07,1.42
3,0,24,0,35.55,1.81
3,0,31,0,28.5,2.62
3,1,0,1,52.22,1.21
3,1,8,1,58.95,1.06
3,1,16,1,66.42,0.58
3,1,24,1,74.59,1.57
3,1,31,1,81.48,1.62
3,1,0,0,53.64,0.64
3,1,8,0,45.86,1.01
3,1,16,0,36.45,0.6
3,1,24,0,28.66,1.24
3,1,31,0,15.92,3.4
3,2,0,1,53.03,0.69
3,2,8,1,60.48,1.62
3,2,16,1,68.28,1.13
3,2,24,1,76.1,1.4
3,2,31,1,83.5,1.34
3,2,0,0,55.6,1.42
3,2,8,0,47.81,1.5
3,2,16,0,38.85,2.0
3,2,24,0,30.39,1.07
3,2,31,0,21.41,3.05
3,3,0,1,52.82,1.59
3,3,8,1,60.26,1.4
3,3,16,1,68.6,1.62
3,3,24,1,76.81,1.83
3,3,31,1,83.8,1.95
3,3,0,0,55.4,1.62
3,3,8,0,48.19,1.2
3,3,16,0,39.87,1.16
3,3,24,0,30.1,1.46
3,3,31,0,22.36,1.65
3,4,0,1,44.04,1.82
3,4,8,1,51.67,2.46
3,4,16,1,58.71,0.55
3,4,24,1,66.4,1.84
3,4,31,1,73.3,2.24
3,4,0,0,45.78,1.2
3,4,8,0,38.99,1.76
3,4,16,0,31.84,2.44
3,4,24,0,23.74,2.0
3,4,31,0,-147.21,36.62
3,5,0,1,64.71,1.41
3,5,8,1,70.7,2.24
3,5,16,1,78.85,2.01
