row,col,tdac_code,tup,mu,sigma
0,0,0,0,48.14,0.67
0,1,0,0,65.21,1.69
0,2,0,0,52.05,1.06
0,3,0,0,62.86,0.69
0,4,0,0,48.69,1.25
0,5,0,0,48.9,1.39
0,6,0,0,41.97,0.71
0,7,0,0,65.93,1.42
1,0,0,0,62.3,1.26
1,1,0,0,51.51,1.4
1,2,0,0,64.4,1.63
1,3,0,0,48.11,1.66
1,4,0,0,47.1,1.39
1,5,0,0,65.0,1.32
1,6,0,0,48.64,1.98
1,7,0,0,49.5,1.52
2,0,0,0,47.41,1.57
2,1,0,0,56.82,1.43
2,2,0,0,62.21,2.27
2,3,0,0,65.56,0.95
2,4,0,0,65.28,2.14
2,5,0,0,64.4,1.87
2,6,0,0,50.41,2.19
2,7,0,0,68.0,1.33
3,0,0,0,57.03,0.7
3,1,0,0,53.64,0.64
3,2,0,0,55.6,1.42
3,3,0,0,55.4,1.62
3,4,0,0,45.78,1.2
3,5,0,0,66.07,1.42
3,6,0,0,66.52,1.47
3,7,0,0,63.36,0.97
4,0,0,0,55.6,1.84
4,1,0,0,44.5,1.34
4,2,0,0,49.6,1.41
4,3,0,0,54.16,1.76
4,4,0,0,42.51,1.4
4,5,0,0,51.43,1.85
4,6,0,0,50.52,1.62
4,7,0,0,60.77,1.8
5,0,0,0,51.3,1.87
5,1,0,0,70.0,1.54
5,2,0,0,59.0,1.33
5,3,0,0,66.94,2.23
5,4,0,0,50.1,1.39
5,5,0,0,61.2,1.59
5,6,0,0,57.46,2.42
5,7,0,0,65.85,2.0
6,0,0,0,52.3,1.51
6,1,0,0,56.1,1.39
6,2,0,0,51.24,1.67
6,3,0,0,49.4,1.62
6,4,0,0,50.66,2.22
6,5,0,0,60.78,1.2
6,6,0,0,48.29,1.41
6,7,0,0,52.09,1.26
7,0,0,0,43.44,2.47
7,1,0,0,48.23,2.22
7,2,0,0,58.5,1.97
7,3,0,0,53.8,2.05
7,4,0,0,48.69,1.25
7,5,0,0,62.01,1.76
7,6,0,0,52.76,0.95
7,7,0,0,59.81,0.67
8,0,0,0,49.1,1.68
8,1,0,0,53.0,1.56
8,2,0,0,57.62,1.42
8,3,0,0,60.51,1.4
8,4,0,0,43.2,1.39
8,5,0,0,60.24,1.68
8,6,0,0,55.91,1.71
8,7,0,0,47.3,1.51
9,0,0,0,51.18,1.43
9,1,0,0,63.32,2.29
9,2,0,0,46.8,1.83
9,3,0,0,40.1,1.46
9,4,0,0,54.54,1.22
9,5,0,0,59.56,0.95
9,6,0,0,59.94,1.99
9,7,0,0,54.8,1.45
10,0,0,0,53.11,2.28
10,1,0,0,51.39,0.61
10,2,0,0,49.3,1.5
10,3,0,0,44.22,1.2
10,4,0,0,63.06,2.16
10,5,0,0,44.71,1.68
10,6,0,0,51.79,1.69
10,7,0,0,63.98,1.81
11,0,0,0,50.21,1.23
11,1,0,0,47.54,0.61
11,2,0,0,63.85,2.08
11,3,0,0,49.8,1.39
11,4,0,0,60.4,1.38
11,5,0,0,60.98,1.81
11,6,0,0,52.5,1.51
11,7,0,0,53.48,2.01
12,0,0,0,48.59,1.57
12,1,0,0,65.71,1.42
12,2,0,0,50.1,1.4
12,3,0,0,67.3,2.71
12,4,0,0,57.03,1.8
12,5,0,0,46.72,1.13
12,6,0,0,51.31,2.34
12,7,0,0,58.7,1.31
13,0,0,0,62.64,1.39
13,1,0,0,56.69,1.08
13,2,0,0,59.75,2.15
13,3,0,0,68.22,1.74
13,4,0,0,52.77,2.35
13,5,0,0,74.3,2.35
13,6,0,0,54.25,2.06
13,7,0,0,65.85,1.3
14,0,0,0,56.72,1.99
14,1,0,0,61.3,1.31
14,2,0,0,63.97,2.03
14,3,0,0,48.19,0.66
14,4,0,0,51.07,1.42
14,5,0,0,61.5,1.97
14,6,0,0,45.95,1.1
14,7,0,0,53.75,1.6
15,0,0,0,64.4,1.41
15,1,0,0,59.5,1.34
15,2,0,0,49.6,1.23
15,3,0,0,65.52,1.62
15,4,0,0,53.88,1.93
15,5,0,0,48.3,1.54
15,6,0,0,70.6,1.24
15,7,0,0,45.78,1.74
16,0,0,0,46.7,1.5
16,1,0,0,54.32,2.29
16,2,0,0,49.4,1.23
16,3,0,0,55.1,1.46
16,4,0,0,50.76,1.67
16,5,0,0,77.04,2.0
16,6,0,0,39.02,2.14
16,7,0,0,50.57,1.85
17,0,0,0,48.3,1.54
17,1,0,0,47.13,1.85
17,2,0,0,55.59,2.13
17,3,0,0,60.36,1.76
17,4,0,0,54.03,0.71
17,5,0,0,39.29,1.41
17,6,0,0,65.65,1.91
17,7,0,0,55.3,1.31
18,0,0,0,52.5,1.51
18,1,0,0,67.8,1.39
18,2,0,0,59.8,1.95
18,3,0,0,70.09,1.93
18,4,0,0,47.65,0.63
18,5,0,0,60.04,1.82
18,6,0,0,56.1,1.41
