voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
80	2.6	0.966	21.111	1.269	0.9	0.9
75	2.5	0.527	23.0	1.414	1.0	1.0
70	2.0	0.0	25.2	1.549	1.0	1.0
65	1.7	0.483	29.2	5.978	1.0	1.0
60	0.556	0.882	36.5	6.137	0.3	0.4
55	0.0	0.0	nan	nan	0.0	0.0
50	0.0	0.0	nan	nan	0.0	0.0
45	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
35	0.0	0.0	nan	nan	0.0	0.0
30	0.0	0.0	nan	nan	0.0	0.0
25	0.0	0.0	nan	nan	0.0	0.0
20	0.0	0.0	nan	nan	0.0	0.0
15	0.0	0.0	nan	nan	0.0	0.0
10	0.0	0.0	nan	nan	0.0	0.0
