row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
3	3	100	3.29	0.461	11.161	0.374	1.0	1.0
3	3	97	3.032	0.18	11.548	0.506	1.0	1.0
3	3	94	3.0	0.0	11.903	0.301	1.0	1.0
3	3	91	3.0	0.0	12.032	0.315	1.0	1.0
3	3	88	2.968	0.18	12.097	0.301	1.0	1.0
3	3	85	2.935	0.25	12.516	0.508	1.0	1.0
3	3	82	2.839	0.374	12.903	0.396	1.0	1.0
3	3	79	2.065	0.25	13.355	0.551	1.0	1.0
3	3	76	2.097	0.301	13.903	0.597	1.0	1.0
3	3	73	2.0	0.0	14.387	0.495	1.0	1.0
3	3	70	2.0	0.0	14.968	0.752	1.0	1.0
3	3	67	1.968	0.18	16.0	0.966	1.0	1.0
3	3	64	1.903	0.301	17.0	0.966	1.0	1.0
3	3	61	1.45	0.51	19.226	2.186	0.645	1.0
3	3	58	0.2	0.5	20.6	2.271	0.129	0.323
3	3	55	0.0	0.0	nan	nan	0.0	0.0
3	3	52	0.0	0.0	nan	nan	0.0	0.0
3	3	49	0.0	0.0	nan	nan	0.0	0.0
3	3	46	0.0	0.0	nan	nan	0.0	0.0
3	3	43	0.0	0.0	nan	nan	0.0	0.0
3	3	40	0.0	0.0	nan	nan	0.0	0.0
3	3	37	0.0	0.0	nan	nan	0.0	0.0
3	3	34	0.0	0.0	nan	nan	0.0	0.0
3	3	31	0.0	0.0	nan	nan	0.0	0.0
3	3	28	0.0	0.0	nan	nan	0.0	0.0
3	4	100	3.258	0.445	11.258	0.445	1.0	1.0
3	4	97	3.161	0.374	11.548	0.506	1.0	1.0
3	4	94	3.0	0.0	11.806	0.402	1.0	1.0
3	4	91	3.0	0.0	11.968	0.18	1.0	1.0
3	4	88	3.0	0.0	12.194	0.402	1.0	1.0
3	4	85	2.839	0.374	12.516	0.57	1.0	1.0
3	4	82	2.613	0.495	12.968	0.482	1.0	1.0
3	4	79	2.129	0.341	13.323	0.653	1.0	1.0
