row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	100	5.0	0.0	14.452	0.568	1.0	1.0
0	0	97	5.032	0.18	14.742	0.445	1.0	1.0
0	0	94	5.0	0.0	14.968	0.18	1.0	1.0
0	0	91	5.0	0.0	15.161	0.523	1.0	1.0
0	0	88	4.806	0.402	15.742	0.514	1.0	1.0
0	0	85	4.516	0.508	16.097	0.473	1.0	1.0
0	0	82	4.226	0.425	16.161	0.583	1.0	1.0
0	0	79	4.032	0.18	17.032	0.407	1.0	1.0
0	0	76	3.968	0.18	17.065	0.629	1.0	1.0
0	0	73	3.774	0.425	17.742	0.815	1.0	1.0
0	0	70	3.452	0.506	18.484	0.677	1.0	1.0
0	0	67	2.968	0.407	19.613	1.086	1.0	1.0
0	0	64	2.581	0.502	21.032	1.683	1.0	1.0
0	0	61	2.129	0.341	22.355	1.355	1.0	1.0
0	0	58	2.032	0.18	24.742	2.033	1.0	1.0
0	0	55	1.968	0.18	27.613	3.19	1.0	1.0
0	0	52	1.533	0.629	32.31	4.31	0.903	0.935
0	0	49	0.538	0.706	39.0	4.05	0.355	0.516
0	0	46	0.0	0.0	nan	nan	0.0	0.0
0	0	43	0.0	0.0	nan	nan	0.0	0.0
0	0	40	0.0	0.0	nan	nan	0.0	0.0
0	0	37	0.0	0.0	nan	nan	0.0	0.0
0	0	34	0.0	0.0	nan	nan	0.0	0.0
0	0	31	0.0	0.0	nan	nan	0.0	0.0
0	0	28	0.0	0.0	nan	nan	0.0	0.0
1	0	100	3.968	0.18	16.613	0.495	1.0	1.0
1	0	97	3.774	0.425	16.71	0.461	1.0	1.0
1	0	94	3.387	0.558	17.161	0.454	1.0	1.0
1	0	91	3.0	0.516	17.839	0.583	1.0	1.0
1	0	88	2.581	0.502	18.065	0.814	1.0	1.0
1	0	85	2.097	0.301	19.032	0.657	1.0	1.0
1	0	82	2.032	0.18	19.677	0.791	1.0	1.0
1	0	79	1.935	0.25	20.677	0.909	1.0	1.0
1	0	76	1.839	0.374	21.839	1.068	1.0	1.0
1	0	73	1.387	0.495	23.097	1.165	1.0	1.0
1	0	70	1.355	0.486	24.548	1.41	1.0	1.0
1	0	67	0.893	0.416	27.37	3.764	0.774	0.871
1	0	64	0.267	0.45	30.222	3.193	0.258	0.29
1	0	61	0.032	0.18	30.0	0.0	0.032	0.032
1	0	58	0.0	0.0	nan	nan	0.0	0.0
1	0	55	0.0	0.0	nan	nan	0.0	0.0
1	0	52	0.0	0.0	nan	nan	0.0	0.0
1	0	49	0.0	0.0	nan	nan	0.0	0.0
1	0	46	0.0	0.0	nan	nan	0.0	0.0
1	0	43	0.0	0.0	nan	nan	0.0	0.0
1	0	40	0.0	0.0	nan	nan	0.0	0.0
1	0	37	0.0	0.0	nan	nan	0.0	0.0
1	0	34	0.0	0.0	nan	nan	0.0	0.0
1	0	31	0.0	0.0	nan	nan	0.0	0.0
1	0	28	0.0	0.0	nan	nan	0.0	0.0
2	0	100	5.258	0.445	14.194	0.477	1.0	1.0
2	0	97	5.097	0.301	14.548	0.506	1.0	1.0
2	0	94	5.0	0.0	14.903	0.301	1.0	1.0
2	0	91	5.0	0.0	15.161	0.374	1.0	1.0
2	0	88	4.935	0.25	15.387	0.495	1.0	1.0
2	0	85	4.839	0.374	15.645	0.551	1.0	1.0
2	0	82	4.613	0.495	16.161	0.454	1.0	1.0
2	0	79	4.161	0.374	16.839	0.688	1.0	1.0
2	0	76	4.0	0.0	17.129	0.499	1.0	1.0
2	0	73	3.903	0.301	17.548	0.675	1.0	1.0
2	0	70	3.419	0.564	18.548	1.028	1.0	1.0
2	0	67	3.032	0.315	19.71	1.101	1.0	1.0
2	0	64	2.71	0.588	20.968	1.472	1.0	1.0
2	0	61	2.29	0.461	22.065	1.459	1.0	1.0
2	0	58	2.129	0.341	23.355	1.582	1.0	1.0
2	0	55	1.935	0.359	26.6	2.143	0.968	0.968
2	0	52	1.724	0.455	32.484	4.986	0.935	1.0
2	0	49	0.448	0.736	36.455	6.283	0.29	0.355
2	0	46	0.0	0.0	nan	nan	0.0	0.0
2	0	43	0.0	0.0	nan	nan	0.0	0.0
2	0	40	0.0	0.0	nan	nan	0.0	0.0
2	0	37	0.0	0.0	nan	nan	0.0	0.0
2	0	34	0.0	0.0	nan	nan	0.0	0.0
2	0	31	0.0	0.0	nan	nan	0.0	0.0
2	0	28	0.0	0.0	nan	nan	0.0	0.0
3	0	100	4.0	0.0	15.806	0.402	1.0	1.0
3	0	97	4.0	0.0	16.032	0.407	1.0	1.0
3	0	94	4.0	0.0	16.323	0.475	1.0	1.0
3	0	91	3.935	0.25	16.806	0.543	1.0	1.0
3	0	88	3.516	0.508	17.387	0.667	1.0	1.0
3	0	85	3.323	0.541	17.581	0.62	1.0	1.0
3	0	82	2.548	0.675	18.129	0.763	1.0	1.0
3	0	79	2.161	0.374	18.968	0.752	1.0	1.0
3	0	76	2.032	0.18	19.806	0.792	1.0	1.0
3	0	73	2.0	0.0	20.774	1.023	1.0	1.0
3	0	70	1.968	0.315	21.968	1.251	1.0	1.0
3	0	67	1.677	0.475	23.387	1.52	1.0	1.0
3	0	64	1.323	0.541	25.333	2.233	0.968	0.968
3	0	61	1.032	0.407	28.448	2.971	0.935	0.935
3	0	58	0.433	0.626	30.5	3.06	0.355	0.387
3	0	55	0.032	0.18	31.0	0.0	0.032	0.032
3	0	52	0.0	0.0	nan	nan	0.0	0.0
3	0	49	0.0	0.0	nan	nan	0.0	0.0
3	0	46	0.0	0.0	nan	nan	0.0	0.0
3	0	43	0.0	0.0	nan	nan	0.0	0.0
3	0	40	0.0	0.0	nan	nan	0.0	0.0
3	0	37	0.0	0.0	nan	nan	0.0	0.0
3	0	34	0.0	0.0	nan	nan	0.0	0.0
3	0	31	0.0	0.0	nan	nan	0.0	0.0
3	0	28	0.0	0.0	nan	nan	0.0	0.0
