row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	78	3.097	0.301	14.032	0.315	1.0	1.0
0	0	76	3.0	0.0	14.194	0.477	1.0	1.0
0	0	74	3.0	0.0	14.839	0.583	1.0	1.0
0	0	72	3.0	0.0	15.161	0.454	1.0	1.0
0	0	70	3.0	0.0	15.548	0.506	1.0	1.0
0	0	68	2.903	0.301	16.194	0.749	1.0	1.0
0	0	66	2.742	0.445	17.097	0.831	1.0	1.0
0	0	64	2.258	0.773	17.839	0.934	1.0	1.0
0	0	62	1.323	0.475	19.129	1.432	1.0	1.0
0	0	60	1.129	0.428	20.548	1.748	1.0	1.0
0	0	58	0.967	0.32	24.034	4.075	0.903	0.935
0	0	56	0.677	0.475	26.81	3.265	0.677	0.677
0	0	54	0.097	0.301	31.667	3.215	0.097	0.097
0	0	52	0.0	0.0	nan	nan	0.0	0.0
0	0	50	0.0	0.0	nan	nan	0.0	0.0
0	0	48	0.0	0.0	nan	nan	0.0	0.0
0	0	46	0.0	0.0	nan	nan	0.0	0.0
1	0	78	2.194	0.402	14.194	0.543	1.0	1.0
1	0	76	2.0	0.0	14.387	0.495	1.0	1.0
1	0	74	2.0	0.0	14.806	0.477	1.0	1.0
1	0	72	2.0	0.0	15.129	0.499	1.0	1.0
1	0	70	2.0	0.0	16.065	0.772	1.0	1.0
1	0	68	2.0	0.0	16.516	0.677	1.0	1.0
1	0	66	1.903	0.301	17.226	0.845	1.0	1.0
1	0	64	1.5	0.509	18.323	1.107	0.968	1.0
1	0	62	1.091	0.526	20.034	1.991	0.645	0.935
1	0	60	0.55	0.51	20.818	2.174	0.355	0.71
1	0	58	0.138	0.351	21.5	1.378	0.129	0.194
1	0	56	0.032	0.18	26.0	0.0	0.032	0.032
1	0	54	0.0	0.0	nan	nan	0.0	0.0
1	0	52	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	48	0.0	0.0	nan	nan	0.0	0.0
1	0	46	0.0	0.0	nan	nan	0.0	0.0
2	0	78	3.0	0.0	16.355	0.661	1.0	1.0
2	0	76	2.968	0.18	16.871	0.763	1.0	1.0
2	0	74	2.968	0.18	17.0	0.816	1.0	1.0
2	0	72	2.516	0.508	18.097	1.076	1.0	1.0
2	0	70	2.032	0.657	19.129	1.176	1.0	1.0
2	0	68	1.742	0.514	19.613	1.054	1.0	1.0
2	0	66	1.323	0.475	21.226	1.91	1.0	1.0
