row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	78	3.742	0.445	16.968	0.706	1.0	1.0
0	0	76	3.452	0.624	17.355	0.608	1.0	1.0
0	0	74	2.742	0.682	18.097	0.79	1.0	1.0
0	0	72	2.387	0.495	18.677	0.702	1.0	1.0
0	0	70	2.065	0.25	19.71	1.101	1.0	1.0
0	0	68	2.0	0.0	21.032	1.538	1.0	1.0
0	0	66	2.0	0.0	22.226	1.707	1.0	1.0
0	0	64	2.0	0.0	24.129	2.391	1.0	1.0
0	0	62	1.933	0.254	26.581	2.826	0.968	1.0
0	0	60	1.667	0.555	30.767	4.15	0.839	0.968
0	0	58	0.864	0.834	33.409	3.763	0.419	0.71
0	0	56	0.069	0.258	36.25	2.63	0.065	0.129
0	0	54	0.0	0.0	nan	nan	0.0	0.0
0	0	52	0.0	0.0	nan	nan	0.0	0.0
0	0	50	0.0	0.0	nan	nan	0.0	0.0
0	0	48	0.0	0.0	nan	nan	0.0	0.0
0	0	46	0.0	0.0	nan	nan	0.0	0.0
1	0	78	2.581	0.672	17.065	0.854	1.0	1.0
1	0	76	2.484	0.626	17.742	0.965	1.0	1.0
1	0	74	2.129	0.67	18.29	1.006	1.0	1.0
1	0	72	1.548	0.624	18.839	0.969	1.0	1.0
1	0	70	1.226	0.425	19.387	1.145	1.0	1.0
1	0	68	1.065	0.25	20.387	1.308	1.0	1.0
1	0	66	1.032	0.18	22.226	1.564	1.0	1.0
1	0	64	0.903	0.301	23.143	1.84	0.903	0.903
1	0	62	0.552	0.506	24.111	2.471	0.516	0.581
1	0	60	0.258	0.445	25.125	1.885	0.258	0.258
1	0	58	0.032	0.18	27.0	0.0	0.032	0.032
1	0	56	0.0	0.0	nan	nan	0.0	0.0
1	0	54	0.0	0.0	nan	nan	0.0	0.0
1	0	52	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	48	0.0	0.0	nan	nan	0.0	0.0
1	0	46	0.0	0.0	nan	nan	0.0	0.0
2	0	78	2.613	0.667	19.065	0.964	1.0	1.0
2	0	76	2.355	0.551	19.323	1.013	1.0	1.0
2	0	74	2.0	0.0	20.484	1.262	1.0	1.0
2	0	72	2.032	0.18	22.032	1.888	1.0	1.0
2	0	70	2.0	0.0	22.581	1.566	1.0	1.0
2	0	68	2.0	0.0	24.71	1.936	1.0	1.0
2	0	66	1.774	0.56	26.828	2.421	0.935	0.935
2	0	64	1.667	0.547	29.667	4.536	0.935	0.968
2	0	62	0.667	0.816	34.722	4.897	0.355	0.581
2	0	60	0.111	0.32	37.571	3.867	0.097	0.226
2	0	58	0.0	0.0	nan	nan	0.0	0.0
2	0	56	0.0	0.0	nan	nan	0.0	0.0
2	0	54	0.0	0.0	nan	nan	0.0	0.0
2	0	52	0.0	0.0	nan	nan	0.0	0.0
2	0	50	0.0	0.0	nan	nan	0.0	0.0
2	0	48	0.0	0.0	nan	nan	0.0	0.0
2	0	46	0.0	0.0	nan	nan	0.0	0.0
3	0	78	2.935	0.25	17.032	0.706	1.0	1.0
3	0	76	2.613	0.495	17.742	0.682	1.0	1.0
3	0	74	2.387	0.667	18.097	0.908	1.0	1.0
3	0	72	1.968	0.657	18.806	0.91	1.0	1.0
3	0	70	1.452	0.568	19.806	1.537	1.0	1.0
3	0	68	1.097	0.301	20.71	1.465	1.0	1.0
3	0	66	1.065	0.25	22.355	1.854	1.0	1.0
3	0	64	1.0	0.0	23.742	3.044	1.0	1.0
3	0	62	0.839	0.374	24.538	1.794	0.839	0.839
3	0	60	0.414	0.501	28.071	4.233	0.387	0.452
3	0	58	0.194	0.402	27.333	3.204	0.194	0.194
3	0	56	0.0	0.0	nan	nan	0.0	0.0
3	0	54	0.0	0.0	nan	nan	0.0	0.0
3	0	52	0.0	0.0	nan	nan	0.0	0.0
3	0	50	0.0	0.0	nan	nan	0.0	0.0
3	0	48	0.0	0.0	nan	nan	0.0	0.0
3	0	46	0.0	0.0	nan	nan	0.0	0.0
4	0	78	2.935	0.25	16.355	0.551	1.0	1.0
4	0	76	2.742	0.514	16.806	0.749	1.0	1.0
4	0	74	2.613	0.615	17.29	0.783	1.0	1.0
4	0	72	2.129	0.619	17.806	0.946	1.0	1.0
4	0	70	1.774	0.669	18.161	0.969	1.0	1.0
4	0	68	1.129	0.341	19.548	1.338	1.0	1.0
4	0	66	1.065	0.25	20.516	1.749	1.0	1.0
4	0	64	1.0	0.0	21.806	1.579	1.0	1.0
4	0	62	0.968	0.18	24.1	3.284	0.968	0.968
4	0	60	0.581	0.502	25.444	2.684	0.581	0.581
4	0	58	0.167	0.379	25.333	1.633	0.161	0.194
4	0	56	0.0	0.0	nan	nan	0.0	0.0
4	0	54	0.0	0.0	nan	nan	0.0	0.0
4	0	52	0.0	0.0	nan	nan	0.0	0.0
4	0	50	0.0	0.0	nan	nan	0.0	0.0
4	0	48	0.0	0.0	nan	nan	0.0	0.0
4	0	46	0.0	0.0	nan	nan	0.0	0.0
5	0	78	2.29	0.529	18.903	0.7	1.0	1.0
5	0	76	2.065	0.25	19.645	1.38	1.0	1.0
5	0	74	2.0	0.0	20.903	1.3	1.0	1.0
5	0	72	2.0	0.0	20.935	1.063	1.0	1.0
5	0	70	2.0	0.0	22.774	1.707	1.0	1.0
5	0	68	1.903	0.301	24.226	1.875	1.0	1.0
5	0	66	1.759	0.435	27.355	3.773	0.935	1.0
5	0	64	1.483	0.574	29.033	2.942	0.903	0.968
5	0	62	0.786	0.738	31.6	2.998	0.548	0.645
5	0	60	0.308	0.618	33.455	4.298	0.194	0.355
5	0	58	0.0	0.0	nan	nan	0.0	0.0
5	0	56	0.0	0.0	nan	nan	0.0	0.0
5	0	54	0.0	0.0	nan	nan	0.0	0.0
5	0	52	0.0	0.0	nan	nan	0.0	0.0
5	0	50	0.0	0.0	nan	nan	0.0	0.0
5	0	48	0.0	0.0	nan	nan	0.0	0.0
5	0	46	0.0	0.0	nan	nan	0.0	0.0
6	0	78	2.387	0.558	18.742	0.93	1.0	1.0
6	0	76	2.226	0.425	19.29	1.071	1.0	1.0
6	0	74	2.032	0.18	19.71	0.938	1.0	1.0
6	0	72	2.0	0.0	20.645	1.199	1.0	1.0
6	0	70	2.0	0.0	22.161	1.186	1.0	1.0
6	0	68	2.0	0.0	23.452	1.546	1.0	1.0
6	0	66	1.935	0.25	23.742	1.807	1.0	1.0
6	0	64	1.581	0.502	26.516	2.264	1.0	1.0
6	0	62	1.267	0.45	28.742	2.543	0.968	1.0
6	0	60	1.0	0.59	31.148	4.016	0.645	0.871
6	0	58	0.357	0.559	32.083	3.088	0.29	0.387
6	0	56	0.0	0.0	nan	nan	0.0	0.0
6	0	54	0.0	0.0	nan	nan	0.0	0.0
6	0	52	0.0	0.0	nan	nan	0.0	0.0
6	0	50	0.0	0.0	nan	nan	0.0	0.0
6	0	48	0.0	0.0	nan	nan	0.0	0.0
6	0	46	0.0	0.0	nan	nan	0.0	0.0
7	0	78	3.0	0.258	16.935	0.574	1.0	1.0
7	0	76	2.806	0.402	17.677	0.653	1.0	1.0
7	0	74	2.419	0.564	18.355	0.915	1.0	1.0
7	0	72	2.258	0.514	18.806	1.302	1.0	1.0
7	0	70	2.097	0.539	19.419	1.089	1.0	1.0
7	0	68	1.677	0.475	20.226	1.431	1.0	1.0
7	0	66	1.533	0.507	21.742	1.949	0.968	1.0
7	0	64	1.194	0.402	22.839	1.917	1.0	1.0
7	0	62	1.097	0.396	24.767	2.208	0.968	0.968
7	0	60	0.867	0.346	26.222	3.117	0.839	0.871
7	0	58	0.3	0.466	26.3	1.494	0.29	0.323
7	0	56	0.065	0.25	29.0	4.243	0.065	0.065
7	0	54	0.0	0.0	nan	nan	0.0	0.0
7	0	52	0.0	0.0	nan	nan	0.0	0.0
7	0	50	0.0	0.0	nan	nan	0.0	0.0
7	0	48	0.0	0.0	nan	nan	0.0	0.0
7	0	46	0.0	0.0	nan	nan	0.0	0.0
8	0	78	2.935	0.442	17.935	0.772	1.0	1.0
8	0	76	2.355	0.486	18.581	0.848	1.0	1.0
8	0	74	2.065	0.25	19.355	0.839	1.0	1.0
8	0	72	2.032	0.18	19.935	1.093	1.0	1.0
8	0	70	2.0	0.0	21.097	1.193	1.0	1.0
8	0	68	1.903	0.301	22.387	1.927	1.0	1.0
8	0	66	1.839	0.374	23.871	1.821	1.0	1.0
8	0	64	1.677	0.475	24.548	1.71	1.0	1.0
8	0	62	1.379	0.728	27.556	3.745	0.806	0.871
8	0	60	1.045	0.486	31.724	4.558	0.645	0.935
8	0	58	0.185	0.396	33.0	3.775	0.161	0.29
8	0	56	0.0	0.0	nan	nan	0.0	0.0
8	0	54	0.0	0.0	nan	nan	0.0	0.0
8	0	52	0.0	0.0	nan	nan	0.0	0.0
8	0	50	0.0	0.0	nan	nan	0.0	0.0
8	0	48	0.0	0.0	nan	nan	0.0	0.0
8	0	46	0.0	0.0	nan	nan	0.0	0.0
9	0	78	3.194	0.477	18.935	0.929	1.0	1.0
9	0	76	3.032	0.482	19.323	1.137	1.0	1.0
9	0	74	2.484	0.508	20.258	1.182	1.0	1.0
9	0	72	2.129	0.341	21.871	1.258	1.0	1.0
9	0	70	2.032	0.18	22.677	1.558	1.0	1.0
9	0	68	2.032	0.18	24.065	1.153	1.0	1.0
9	0	66	2.0	0.0	26.581	2.248	1.0	1.0
9	0	64	2.0	0.0	27.645	2.787	1.0	1.0
9	0	62	1.586	0.628	31.172	3.626	0.871	0.935
9	0	60	0.429	0.742	35.455	4.204	0.258	0.355
9	0	58	0.0	0.0	36.0	1.732	0.0	0.097
9	0	56	0.0	0.0	nan	nan	0.0	0.0
9	0	54	0.0	0.0	nan	nan	0.0	0.0
9	0	52	0.0	0.0	nan	nan	0.0	0.0
9	0	50	0.0	0.0	nan	nan	0.0	0.0
9	0	48	0.0	0.0	nan	nan	0.0	0.0
9	0	46	0.0	0.0	nan	nan	0.0	0.0
10	0	78	2.774	0.497	17.71	0.783	1.0	1.0
10	0	76	2.581	0.502	18.065	1.031	1.0	1.0
10	0	74	2.161	0.454	19.129	1.118	1.0	1.0
10	0	72	2.0	0.0	19.871	1.36	1.0	1.0
10	0	70	1.968	0.18	21.29	1.677	1.0	1.0
10	0	68	1.903	0.301	22.645	3.199	1.0	1.0
10	0	66	1.645	0.486	24.484	2.204	1.0	1.0
10	0	64	1.483	0.574	26.8	3.242	0.903	0.968
10	0	62	0.724	0.455	29.435	3.998	0.677	0.742
10	0	60	0.077	0.272	34.714	3.402	0.065	0.226
10	0	58	0.0	0.0	nan	nan	0.0	0.0
10	0	56	0.0	0.0	nan	nan	0.0	0.0
10	0	54	0.0	0.0	nan	nan	0.0	0.0
10	0	52	0.0	0.0	nan	nan	0.0	0.0
10	0	50	0.0	0.0	nan	nan	0.0	0.0
10	0	48	0.0	0.0	nan	nan	0.0	0.0
10	0	46	0.0	0.0	nan	nan	0.0	0.0
11	0	78	2.935	0.25	16.71	0.693	1.0	1.0
11	0	76	2.903	0.473	17.29	0.902	1.0	1.0
11	0	74	2.613	0.558	17.903	0.7	1.0	1.0
11	0	72	2.194	0.792	18.452	0.995	1.0	1.0
11	0	70	1.871	0.428	19.742	1.612	1.0	1.0
11	0	68	1.484	0.508	20.548	1.859	1.0	1.0
11	0	66	1.323	0.475	21.871	1.803	1.0	1.0
11	0	64	1.161	0.374	23.097	2.196	1.0	1.0
11	0	62	0.731	0.533	25.435	3.727	0.581	0.742
11	0	60	0.5	0.509	27.941	4.16	0.452	0.548
11	0	58	0.161	0.374	26.8	2.049	0.161	0.161
11	0	56	0.0	0.0	nan	nan	0.0	0.0
11	0	54	0.0	0.0	nan	nan	0.0	0.0
11	0	52	0.0	0.0	nan	nan	0.0	0.0
11	0	50	0.0	0.0	nan	nan	0.0	0.0
11	0	48	0.0	0.0	nan	nan	0.0	0.0
11	0	46	0.0	0.0	nan	nan	0.0	0.0
12	0	78	2.806	0.543	19.161	0.638	1.0	1.0
12	0	76	2.29	0.461	20.323	1.166	1.0	1.0
12	0	74	2.065	0.25	21.097	1.221	1.0	1.0
12	0	72	2.0	0.0	22.516	1.48	1.0	1.0
12	0	70	2.032	0.18	23.452	1.434	1.0	1.0
12	0	68	2.0	0.0	25.419	1.876	1.0	1.0
