voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	4.032	2.008	10.84	0.374	0.806	0.806
100	5.032	0.18	10.935	0.25	1.0	1.0
97	5.0	0.0	11.0	0.0	1.0	1.0
94	4.806	0.402	11.0	0.0	1.0	1.0
91	4.097	0.301	11.065	0.25	1.0	1.0
88	4.097	0.301	11.29	0.461	1.0	1.0
85	4.0	0.0	11.452	0.506	1.0	1.0
82	4.0	0.0	11.871	0.341	1.0	1.0
79	4.0	0.0	12.032	0.407	1.0	1.0
76	4.0	0.0	12.258	0.445	1.0	1.0
73	3.71	0.461	12.452	0.568	1.0	1.0
70	3.29	0.461	12.968	0.315	1.0	1.0
67	3.032	0.18	13.355	0.486	1.0	1.0
64	3.032	0.18	14.161	0.523	1.0	1.0
61	3.0	0.0	14.774	0.669	1.0	1.0
58	2.968	0.18	15.871	0.922	1.0	1.0
55	2.548	0.568	17.677	2.039	1.0	1.0
52	1.645	0.709	19.419	1.893	1.0	1.0
49	1.097	0.301	23.032	3.894	1.0	1.0
46	0.259	0.447	29.455	4.034	0.226	0.355
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
