voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	10.958	0.204	0.774	0.774
100	5.0	0.0	10.935	0.25	1.0	1.0
97	4.871	0.341	11.032	0.18	1.0	1.0
94	4.806	0.402	11.0	0.0	1.0	1.0
91	4.484	0.508	11.032	0.18	1.0	1.0
88	4.129	0.341	11.129	0.341	1.0	1.0
85	4.0	0.0	11.387	0.495	1.0	1.0
82	4.0	0.0	11.71	0.461	1.0	1.0
79	4.0	0.0	11.968	0.315	1.0	1.0
76	3.935	0.359	12.097	0.301	1.0	1.0
73	3.839	0.374	12.452	0.506	1.0	1.0
70	3.355	0.486	12.935	0.442	1.0	1.0
67	3.097	0.301	13.323	0.475	1.0	1.0
64	3.0	0.0	13.968	0.407	1.0	1.0
61	2.968	0.18	14.71	0.643	1.0	1.0
58	3.0	0.0	15.613	0.761	1.0	1.0
55	2.774	0.425	17.194	1.195	1.0	1.0
52	1.839	0.779	18.871	1.522	1.0	1.0
49	1.032	0.18	23.323	3.429	1.0	1.0
46	0.194	0.402	28.0	3.033	0.194	0.194
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
