voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.903	2.15	10.833	0.381	0.774	0.774
100	5.0	0.0	10.935	0.25	1.0	1.0
97	4.935	0.25	11.0	0.258	1.0	1.0
94	4.806	0.402	11.0	0.0	1.0	1.0
91	4.419	0.502	10.968	0.18	1.0	1.0
88	4.194	0.402	11.065	0.25	1.0	1.0
85	4.0	0.0	11.516	0.508	1.0	1.0
82	4.0	0.0	11.871	0.341	1.0	1.0
79	4.0	0.0	11.935	0.25	1.0	1.0
76	3.968	0.18	12.194	0.477	1.0	1.0
73	3.581	0.502	12.484	0.508	1.0	1.0
70	3.29	0.461	13.0	0.447	1.0	1.0
67	3.032	0.18	13.226	0.497	1.0	1.0
64	3.0	0.0	14.032	0.706	1.0	1.0
61	3.0	0.0	14.774	0.99	1.0	1.0
58	3.0	0.0	15.774	0.845	1.0	1.0
55	2.742	0.575	17.323	1.796	1.0	1.0
52	1.516	0.769	20.097	2.357	1.0	1.0
49	1.161	0.523	22.867	3.148	0.968	0.968
46	0.233	0.43	26.875	4.518	0.226	0.258
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
