row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	52	4.742	1.064	14.903	0.944	1.0	1.0
0	0	49	4.645	1.226	15.29	0.864	1.0	1.0
0	0	46	4.645	1.018	15.742	0.965	1.0	1.0
0	0	43	4.097	1.446	16.548	0.85	1.0	1.0
0	0	40	4.355	0.915	17.29	1.27	1.0	1.0
0	0	37	3.355	1.082	18.613	0.882	1.0	1.0
0	0	34	3.129	0.885	20.097	2.103	1.0	1.0
0	0	31	2.839	0.86	22.194	2.845	1.0	1.0
0	0	28	2.677	0.909	26.6	6.055	0.968	0.968
0	0	25	1.536	1.232	31.524	8.412	0.645	0.677
0	0	22	0.452	0.85	33.714	9.069	0.29	0.226
0	0	19	0.0	0.0	nan	nan	0.0	0.0
0	0	16	0.065	0.25	nan	nan	0.065	0.0
0	0	13	0.065	0.25	nan	nan	0.065	0.0
0	0	10	0.032	0.18	nan	nan	0.032	0.0
1	0	52	3.581	0.62	17.161	0.779	1.0	1.0
1	0	49	3.355	0.798	17.323	1.249	1.0	1.0
1	0	46	2.871	0.67	18.226	1.175	1.0	1.0
1	0	43	2.387	0.615	19.452	1.63	1.0	1.0
1	0	40	2.129	0.341	20.226	2.186	1.0	1.0
1	0	37	1.867	0.346	23.645	3.826	0.968	1.0
1	0	34	1.677	0.702	24.643	2.896	0.903	0.903
1	0	31	0.935	0.814	29.15	4.511	0.645	0.645
1	0	28	0.161	0.454	31.0	2.0	0.129	0.129
1	0	25	0.033	0.183	38.0	5.657	0.032	0.065
1	0	22	0.0	0.0	nan	nan	0.0	0.0
1	0	19	0.0	0.0	nan	nan	0.0	0.0
1	0	16	0.0	0.0	nan	nan	0.0	0.0
1	0	13	0.0	0.0	nan	nan	0.0	0.0
1	0	10	0.0	0.0	nan	nan	0.0	0.0
2	0	52	1.742	3.949	11.71	0.783	1.0	1.0
2	0	49	1.129	0.499	11.71	0.824	1.0	1.0
2	0	46	1.097	0.301	12.161	0.898	1.0	1.0
2	0	43	1.032	0.18	12.484	0.89	1.0	1.0
2	0	40	1.032	0.18	13.0	2.449	1.0	1.0
2	0	37	1.194	0.543	13.419	0.992	1.0	1.0
2	0	34	1.065	0.25	14.581	1.089	1.0	1.0
2	0	31	1.065	0.25	14.774	1.087	1.0	1.0
2	0	28	1.032	0.18	15.452	1.546	1.0	1.0
2	0	25	1.032	0.18	16.226	1.606	1.0	1.0
2	0	22	1.065	0.25	17.871	1.384	1.0	1.0
2	0	19	1.065	0.25	19.548	3.385	1.0	1.0
2	0	16	1.032	0.18	21.742	5.865	1.0	1.0
2	0	13	1.065	0.359	28.484	9.215	1.0	1.0
2	0	10	1.065	0.25	35.677	16.065	1.0	1.0
3	0	52	4.0	0.258	15.871	0.806	1.0	1.0
3	0	49	3.742	0.445	16.645	0.839	1.0	1.0
3	0	46	3.419	0.807	17.387	1.022	1.0	1.0
3	0	43	2.871	0.67	18.226	1.146	1.0	1.0
3	0	40	2.516	0.677	19.194	1.167	1.0	1.0
