row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	87	4.903	0.301	16.419	0.502	1.0	1.0
0	0	84	4.452	0.506	16.871	0.428	1.0	1.0
0	0	81	4.097	0.396	17.323	0.541	1.0	1.0
0	0	78	3.774	0.425	17.903	0.539	1.0	1.0
0	0	75	3.323	0.475	18.548	0.624	1.0	1.0
0	0	72	3.097	0.396	19.355	0.798	1.0	1.0
0	0	69	3.0	0.0	20.226	0.762	1.0	1.0
0	0	66	2.677	0.475	21.387	1.116	1.0	1.0
0	0	63	2.29	0.461	22.806	1.25	1.0	1.0
0	0	60	2.0	0.0	24.613	1.687	1.0	1.0
0	0	57	1.968	0.18	27.258	4.074	1.0	1.0
0	0	54	1.806	0.402	30.452	3.811	1.0	1.0
0	0	51	0.567	0.626	37.25	4.266	0.484	0.516
0	0	48	0.0	0.0	nan	nan	0.0	0.0
0	0	45	0.0	0.0	nan	nan	0.0	0.0
0	0	42	0.0	0.0	nan	nan	0.0	0.0
0	0	39	0.0	0.0	nan	nan	0.0	0.0
0	0	36	0.0	0.0	nan	nan	0.0	0.0
0	0	33	0.0	0.0	nan	nan	0.0	0.0
0	0	30	0.0	0.0	nan	nan	0.0	0.0
1	0	87	2.032	0.18	19.839	0.779	1.0	1.0
1	0	84	2.0	0.0	20.71	1.243	1.0	1.0
1	0	81	2.0	0.0	21.323	0.945	1.0	1.0
1	0	78	1.613	0.495	22.742	1.21	1.0	1.0
1	0	75	1.29	0.461	23.774	1.309	1.0	1.0
1	0	72	1.033	0.32	26.633	3.316	0.935	0.968
1	0	69	1.0	0.378	27.966	3.322	0.871	0.935
1	0	66	0.129	0.341	30.5	3.512	0.129	0.129
1	0	63	0.0	0.0	nan	nan	0.0	0.0
1	0	60	0.0	0.0	nan	nan	0.0	0.0
1	0	57	0.0	0.0	nan	nan	0.0	0.0
1	0	54	0.0	0.0	nan	nan	0.0	0.0
1	0	51	0.0	0.0	nan	nan	0.0	0.0
1	0	48	0.0	0.0	nan	nan	0.0	0.0
1	0	45	0.0	0.0	nan	nan	0.0	0.0
1	0	42	0.0	0.0	nan	nan	0.0	0.0
1	0	39	0.0	0.0	nan	nan	0.0	0.0
1	0	36	0.0	0.0	nan	nan	0.0	0.0
1	0	33	0.0	0.0	nan	nan	0.0	0.0
1	0	30	0.0	0.0	nan	nan	0.0	0.0
2	0	87	4.355	0.486	16.903	0.473	1.0	1.0
2	0	84	4.032	0.315	17.226	0.669	1.0	1.0
2	0	81	3.742	0.445	18.032	0.482	1.0	1.0
2	0	78	3.323	0.475	18.581	0.72	1.0	1.0
2	0	75	3.032	0.18	19.613	1.086	1.0	1.0
