voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	10.75	0.442	0.774	0.774
100	5.0	0.0	10.903	0.301	1.0	1.0
97	5.032	0.18	11.0	0.0	1.0	1.0
94	4.839	0.374	11.0	0.0	1.0	1.0
91	4.194	0.402	11.0	0.0	1.0	1.0
88	4.129	0.341	11.097	0.301	1.0	1.0
85	4.0	0.0	11.452	0.506	1.0	1.0
82	4.0	0.0	11.871	0.341	1.0	1.0
79	4.0	0.0	11.871	0.341	1.0	1.0
76	3.968	0.18	12.065	0.359	1.0	1.0
73	3.742	0.445	12.581	0.502	1.0	1.0
70	3.194	0.402	12.935	0.25	1.0	1.0
67	3.0	0.0	13.387	0.667	1.0	1.0
64	2.968	0.18	14.0	0.447	1.0	1.0
61	3.0	0.258	14.677	0.599	1.0	1.0
58	3.0	0.0	15.581	0.72	1.0	1.0
55	2.548	0.723	17.484	0.996	1.0	1.0
52	1.548	0.675	20.0	1.966	1.0	1.0
49	0.967	0.32	23.759	3.795	0.903	0.935
46	0.345	0.484	28.833	5.219	0.323	0.387
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
