voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.839	2.115	12.042	0.204	0.774	0.774
100	4.548	0.506	12.452	0.506	1.0	1.0
97	4.161	0.374	12.677	0.541	1.0	1.0
94	4.0	0.0	12.935	0.629	1.0	1.0
91	4.0	0.0	13.097	0.396	1.0	1.0
88	4.0	0.0	13.71	0.461	1.0	1.0
85	3.935	0.25	13.935	0.359	1.0	1.0
82	3.71	0.461	14.355	0.486	1.0	1.0
79	3.484	0.508	14.935	0.68	1.0	1.0
76	3.194	0.402	15.516	0.724	1.0	1.0
73	3.0	0.0	16.258	0.631	1.0	1.0
70	2.839	0.374	17.323	0.945	1.0	1.0
67	2.355	0.486	18.194	0.946	1.0	1.0
64	1.968	0.407	19.871	1.522	1.0	1.0
61	1.452	0.506	22.677	2.651	1.0	1.0
58	0.966	0.186	28.067	3.823	0.903	0.968
55	0.1	0.305	33.5	1.0	0.097	0.129
52	0.0	0.0	nan	nan	0.0	0.0
49	0.0	0.0	nan	nan	0.0	0.0
46	0.0	0.0	nan	nan	0.0	0.0
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
