voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.903	2.15	11.042	0.204	0.774	0.774
100	5.0	0.0	11.097	0.301	1.0	1.0
97	5.0	0.0	11.355	0.486	1.0	1.0
94	4.935	0.25	11.613	0.495	1.0	1.0
91	4.613	0.495	11.871	0.341	1.0	1.0
88	4.097	0.301	12.129	0.341	1.0	1.0
85	4.0	0.0	12.355	0.551	1.0	1.0
82	4.0	0.0	12.839	0.374	1.0	1.0
79	4.0	0.0	13.097	0.473	1.0	1.0
76	3.903	0.301	13.613	0.495	1.0	1.0
73	3.774	0.425	13.968	0.407	1.0	1.0
70	3.387	0.495	14.677	0.599	1.0	1.0
67	3.129	0.341	15.452	0.85	1.0	1.0
64	2.968	0.18	16.323	0.702	1.0	1.0
61	2.677	0.475	17.419	1.025	1.0	1.0
58	2.194	0.402	19.097	1.35	1.0	1.0
55	1.903	0.396	21.774	2.446	1.0	1.0
52	1.129	0.499	26.276	3.058	0.935	0.935
49	0.462	0.508	30.235	4.829	0.387	0.548
46	0.0	0.0	nan	nan	0.0	0.0
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
