voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	5.387	2.963	9.0	0.0	0.774	0.774
100	6.742	0.445	9.032	0.18	1.0	1.0
97	6.484	0.508	9.097	0.301	1.0	1.0
94	6.29	0.461	9.419	0.502	1.0	1.0
91	6.161	0.374	9.452	0.506	1.0	1.0
88	6.0	0.0	9.677	0.475	1.0	1.0
85	5.968	0.18	9.871	0.341	1.0	1.0
82	5.903	0.301	10.0	0.0	1.0	1.0
79	5.613	0.495	10.0	0.0	1.0	1.0
76	5.419	0.502	10.097	0.301	1.0	1.0
73	5.194	0.402	10.226	0.425	1.0	1.0
70	5.0	0.258	10.484	0.508	1.0	1.0
67	5.0	0.0	10.903	0.301	1.0	1.0
64	5.0	0.0	11.032	0.407	1.0	1.0
61	4.871	0.341	11.387	0.558	1.0	1.0
58	4.581	0.502	11.871	0.428	1.0	1.0
55	4.161	0.374	12.29	0.529	1.0	1.0
52	4.032	0.18	12.839	0.523	1.0	1.0
49	4.0	0.0	13.548	0.506	1.0	1.0
46	4.0	0.0	14.0	0.632	1.0	1.0
43	4.0	0.0	15.0	0.775	1.0	1.0
40	3.677	0.541	16.581	1.409	1.0	1.0
37	2.968	0.657	18.355	1.762	1.0	1.0
34	2.452	0.568	20.387	2.246	1.0	1.0
31	1.839	0.583	26.655	5.334	0.935	0.935
28	0.233	0.626	33.6	4.98	0.129	0.161
