col	row	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
3	3	100	5.0	0.0	11.613	0.495	1.0	1.0
3	3	97	5.0	0.0	11.742	0.445	1.0	1.0
3	3	94	5.0	0.0	11.935	0.25	1.0	1.0
3	3	91	4.935	0.25	12.0	0.0	1.0	1.0
3	3	88	4.645	0.486	12.0	0.0	1.0	1.0
3	3	85	4.29	0.461	12.581	0.502	1.0	1.0
3	3	82	4.032	0.18	12.742	0.445	1.0	1.0
3	3	79	4.0	0.0	13.097	0.301	1.0	1.0
3	3	76	4.032	0.18	13.355	0.486	1.0	1.0
3	3	73	3.968	0.18	13.677	0.599	1.0	1.0
3	3	70	3.742	0.445	14.355	0.486	1.0	1.0
3	3	67	3.484	0.508	15.032	0.657	1.0	1.0
3	3	64	3.226	0.425	15.548	0.723	1.0	1.0
3	3	61	2.968	0.315	16.29	1.039	1.0	1.0
3	3	58	2.677	0.475	17.742	1.094	1.0	1.0
3	3	55	2.097	0.396	19.258	1.505	1.0	1.0
3	3	52	1.767	0.43	23.581	4.581	0.968	1.0
3	3	49	1.517	0.574	27.9	5.384	0.903	0.968
3	3	46	0.367	0.615	31.2	6.374	0.29	0.323
3	3	43	0.0	0.0	nan	nan	0.0	0.0
3	3	40	0.0	0.0	nan	nan	0.0	0.0
3	3	37	0.0	0.0	nan	nan	0.0	0.0
3	3	34	0.0	0.0	nan	nan	0.0	0.0
3	3	31	0.0	0.0	nan	nan	0.0	0.0
3	3	28	0.0	0.0	nan	nan	0.0	0.0
3	4	100	5.0	0.0	11.452	0.506	1.0	1.0
3	4	97	5.0	0.0	11.839	0.374	1.0	1.0
3	4	94	5.0	0.0	11.871	0.428	1.0	1.0
3	4	91	4.935	0.25	12.032	0.18	1.0	1.0
3	4	88	4.613	0.495	12.258	0.445	1.0	1.0
3	4	85	4.161	0.374	12.355	0.486	1.0	1.0
3	4	82	4.065	0.25	12.742	0.445	1.0	1.0
3	4	79	4.0	0.0	13.065	0.442	1.0	1.0
3	4	76	4.0	0.0	13.29	0.461	1.0	1.0
3	4	73	4.0	0.0	13.742	0.514	1.0	1.0
3	4	70	3.806	0.402	14.323	0.475	1.0	1.0
3	4	67	3.323	0.475	14.935	0.359	1.0	1.0
3	4	64	3.29	0.461	15.548	0.624	1.0	1.0
3	4	61	2.968	0.315	16.387	0.882	1.0	1.0
3	4	58	2.806	0.477	17.677	0.653	1.0	1.0
3	4	55	2.258	0.445	19.065	1.413	1.0	1.0
3	4	52	1.903	0.396	22.065	2.932	1.0	1.0
3	4	49	1.433	0.626	25.379	3.31	0.903	0.935
3	4	46	0.483	0.574	32.4	3.521	0.419	0.484
3	4	43	0.0	0.0	nan	nan	0.0	0.0
3	4	40	0.0	0.0	nan	nan	0.0	0.0
3	4	37	0.0	0.0	nan	nan	0.0	0.0
3	4	34	0.0	0.0	nan	nan	0.0	0.0
3	4	31	0.0	0.0	nan	nan	0.0	0.0
3	4	28	0.0	0.0	nan	nan	0.0	0.0
3	5	100	5.065	0.25	11.516	0.508	1.0	1.0
3	5	97	5.0	0.0	11.774	0.425	1.0	1.0
3	5	94	5.0	0.0	11.935	0.25	1.0	1.0
3	5	91	4.903	0.301	12.032	0.18	1.0	1.0
3	5	88	4.613	0.495	12.065	0.25	1.0	1.0
3	5	85	4.29	0.461	12.516	0.508	1.0	1.0
3	5	82	4.032	0.18	12.903	0.301	1.0	1.0
3	5	79	4.0	0.0	13.065	0.25	1.0	1.0
3	5	76	4.0	0.0	13.419	0.502	1.0	1.0
3	5	73	4.0	0.0	13.839	0.638	1.0	1.0
3	5	70	3.968	0.18	14.355	0.551	1.0	1.0
3	5	67	3.452	0.506	15.258	0.773	1.0	1.0
3	5	64	3.097	0.301	15.645	0.608	1.0	1.0
3	5	61	3.032	0.18	16.194	0.792	1.0	1.0
3	5	58	2.839	0.374	17.323	0.909	1.0	1.0
3	5	55	2.258	0.514	19.323	1.681	1.0	1.0
3	5	52	1.903	0.396	21.871	2.141	1.0	1.0
3	5	49	1.357	0.559	26.833	4.997	0.871	0.968
3	5	46	0.069	0.258	34.0	5.831	0.065	0.129
