dac_th	t_up	pixel_x	pixel_y	cap50	cap25	cap_csa_load	efficiency_tot_mu	efficiency_tot_sigma	efficiency_tot_status	efficiency_toa_mu	efficiency_toa_sigma	efficiency_toa_status
0	0	5	5	1	0	0	46.44827540177943	0.596043620738592	Success	46.239115407522014	0.6430321215525159	Success
1	0	5	5	1	0	0	46.06756899044789	1.4197269661585337	Success	45.602335491303634	0.8659259130770881	Success
2	0	5	5	1	0	0	47.0893328845171	1.2618488058992336	Success	46.99557488161787	1.3235458541585212	Success
4	0	5	5	1	0	0	46.503735579158686	0.5835338088731588	Success	46.503735579158686	0.5835338088731588	Success
8	0	5	5	1	0	0	46.34300506029276	0.6198311107414256	Success	46.239115407522014	0.6430321215525159	Success
12	0	5	5	1	0	0	46.361648474019	1.654869775523606	Success	46.14849326001211	1.302678894103885	Success
16	0	5	5	1	0	0	46.18046509696294	1.4298340044842728	Success	45.40912977063658	1.5693062158417053	Success
20	0	5	5	1	0	0	44.60662498698279	2.0832980670449985	Success	42.65533604175218	1.2376616135322906	Success
24	0	5	5	1	0	0	40.5908702783155	1.5693064234928291	Success	39.64066536409069	0.9674731495925932	Success
28	0	5	5	1	0	0	36.22120050293955	1.198952104268014	Success	35.50000000000575	1.7324839990678222	Success
31	0	5	5	1	0	0	32.603756768966036	1.2354903936714285	Success	31.450679064296306	0.5992396158839078	Success
