row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	420	15.484	0.508	10.0	0.0	1.0	1.0
0	0	380	14.968	0.18	10.0	0.0	1.0	1.0
0	0	340	14.0	0.0	10.0	0.0	1.0	1.0
0	0	300	13.0	0.258	10.0	0.0	1.0	1.0
0	0	260	11.774	0.425	10.0	0.0	1.0	1.0
0	0	220	10.0	0.0	10.0	0.0	1.0	1.0
0	0	180	8.161	0.374	10.097	0.301	1.0	1.0
0	0	140	6.355	0.486	11.0	0.0	1.0	1.0
0	0	100	4.323	0.475	12.065	0.25	1.0	1.0
0	0	77	3.0	0.0	14.355	0.486	1.0	1.0
0	0	74	3.0	0.0	14.839	0.374	1.0	1.0
0	0	71	3.0	0.0	15.355	0.486	1.0	1.0
0	0	68	2.935	0.25	16.097	0.396	1.0	1.0
0	0	65	2.613	0.495	16.968	0.547	1.0	1.0
0	0	62	1.387	0.495	18.548	0.888	1.0	1.0
0	0	59	1.0	0.0	21.097	1.814	1.0	1.0
0	0	56	1.0	0.0	25.484	2.393	1.0	1.0
0	0	53	0.107	0.315	32.833	3.545	0.097	0.194
0	0	50	0.0	0.0	nan	nan	0.0	0.0
0	0	47	0.0	0.0	nan	nan	0.0	0.0
0	0	44	0.0	0.0	nan	nan	0.0	0.0
1	0	420	13.032	0.18	10.0	0.0	1.0	1.0
1	0	380	12.129	0.341	10.0	0.0	1.0	1.0
1	0	340	11.613	0.495	10.0	0.0	1.0	1.0
1	0	300	10.871	0.341	10.0	0.0	1.0	1.0
1	0	260	9.419	0.502	10.0	0.0	1.0	1.0
1	0	220	8.065	0.25	10.0	0.0	1.0	1.0
1	0	180	6.968	0.18	10.226	0.425	1.0	1.0
1	0	140	5.0	0.0	11.0	0.0	1.0	1.0
1	0	100	3.355	0.486	12.032	0.18	1.0	1.0
1	0	77	2.0	0.0	14.484	0.508	1.0	1.0
1	0	74	2.0	0.0	14.903	0.473	1.0	1.0
1	0	71	2.0	0.0	15.645	0.486	1.0	1.0
1	0	68	2.0	0.0	16.323	0.599	1.0	1.0
1	0	65	1.774	0.425	17.581	0.886	1.0	1.0
1	0	62	1.241	0.511	19.167	1.315	0.903	0.968
1	0	59	0.207	0.412	21.375	2.504	0.194	0.258
1	0	56	0.0	0.0	nan	nan	0.0	0.0
1	0	53	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	47	0.0	0.0	nan	nan	0.0	0.0
1	0	44	0.0	0.0	nan	nan	0.0	0.0
2	0	420	15.032	0.18	11.387	0.495	1.0	1.0
2	0	380	14.355	0.486	11.323	0.475	1.0	1.0
2	0	340	13.71	0.461	11.387	0.495	1.0	1.0
2	0	300	12.742	0.445	11.581	0.502	1.0	1.0
2	0	260	11.161	0.374	11.613	0.495	1.0	1.0
2	0	220	10.0	0.0	11.806	0.402	1.0	1.0
2	0	180	8.032	0.18	11.968	0.18	1.0	1.0
2	0	140	6.032	0.18	12.581	0.502	1.0	1.0
2	0	100	4.032	0.18	14.065	0.359	1.0	1.0
2	0	77	3.0	0.0	16.839	0.523	1.0	1.0
2	0	74	2.903	0.301	17.484	0.851	1.0	1.0
2	0	71	2.355	0.551	18.419	0.765	1.0	1.0
2	0	68	1.903	0.597	19.387	1.256	1.0	1.0
2	0	65	1.065	0.25	21.129	1.284	1.0	1.0
2	0	62	1.0	0.0	23.968	1.197	1.0	1.0
2	0	59	0.75	0.441	27.333	3.667	0.677	0.774
2	0	56	0.0	0.0	nan	nan	0.0	0.0
2	0	53	0.0	0.0	nan	nan	0.0	0.0
2	0	50	0.0	0.0	nan	nan	0.0	0.0
2	0	47	0.0	0.0	nan	nan	0.0	0.0
2	0	44	0.0	0.0	nan	nan	0.0	0.0
3	0	420	14.0	0.0	10.0	0.0	1.0	1.0
3	0	380	13.226	0.425	10.0	0.0	1.0	1.0
3	0	340	12.806	0.402	10.0	0.0	1.0	1.0
3	0	300	11.548	0.506	10.0	0.0	1.0	1.0
3	0	260	10.161	0.374	10.0	0.0	1.0	1.0
3	0	220	9.0	0.0	10.0	0.0	1.0	1.0
3	0	180	7.097	0.301	10.258	0.445	1.0	1.0
3	0	140	5.71	0.461	11.0	0.0	1.0	1.0
3	0	100	4.0	0.0	12.032	0.18	1.0	1.0
3	0	77	2.613	0.495	14.387	0.495	1.0	1.0
3	0	74	2.097	0.301	14.935	0.359	1.0	1.0
3	0	71	2.0	0.0	15.516	0.57	1.0	1.0
3	0	68	2.0	0.0	16.258	0.514	1.0	1.0
3	0	65	1.903	0.301	17.548	0.85	1.0	1.0
3	0	62	1.194	0.402	18.935	0.998	1.0	1.0
3	0	59	0.852	0.362	21.333	2.019	0.742	0.871
3	0	56	0.192	0.402	24.2	2.53	0.161	0.323
3	0	53	0.0	0.0	nan	nan	0.0	0.0
3	0	50	0.0	0.0	nan	nan	0.0	0.0
3	0	47	0.0	0.0	nan	nan	0.0	0.0
3	0	44	0.0	0.0	nan	nan	0.0	0.0
4	0	420	12.968	0.18	10.0	0.0	1.0	1.0
4	0	380	12.323	0.475	10.0	0.0	1.0	1.0
4	0	340	11.903	0.301	10.0	0.0	1.0	1.0
4	0	300	10.968	0.18	10.0	0.0	1.0	1.0
4	0	260	9.839	0.374	10.0	0.0	1.0	1.0
4	0	220	8.258	0.445	10.0	0.0	1.0	1.0
4	0	180	7.0	0.0	10.0	0.0	1.0	1.0
4	0	140	5.032	0.18	11.0	0.0	1.0	1.0
4	0	100	3.581	0.502	12.032	0.18	1.0	1.0
4	0	77	2.161	0.374	14.161	0.374	1.0	1.0
4	0	74	2.032	0.18	14.742	0.445	1.0	1.0
4	0	71	2.0	0.0	15.258	0.445	1.0	1.0
4	0	68	2.0	0.0	16.0	0.447	1.0	1.0
4	0	65	1.968	0.18	16.774	0.669	1.0	1.0
4	0	62	1.586	0.501	18.387	1.358	0.935	1.0
4	0	59	0.733	0.594	21.038	2.441	0.323	0.839
4	0	56	0.0	0.0	21.0	4.243	0.0	0.065
4	0	53	0.0	0.0	nan	nan	0.0	0.0
4	0	50	0.0	0.0	nan	nan	0.0	0.0
4	0	47	0.0	0.0	nan	nan	0.0	0.0
4	0	44	0.0	0.0	nan	nan	0.0	0.0
5	0	420	14.0	0.0	10.0	0.0	1.0	1.0
5	0	380	13.0	0.0	10.0	0.0	1.0	1.0
5	0	340	12.355	0.486	10.032	0.18	1.0	1.0
5	0	300	11.613	0.495	10.0	0.0	1.0	1.0
5	0	260	10.194	0.402	10.065	0.25	1.0	1.0
5	0	220	9.0	0.0	10.935	0.25	1.0	1.0
5	0	180	7.419	0.502	11.0	0.0	1.0	1.0
