row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	454	19.161	0.374	10.0	0.0	1.0	1.0
0	0	448	19.0	0.0	10.0	0.0	1.0	1.0
0	0	442	18.968	0.18	10.0	0.0	1.0	1.0
0	0	436	18.806	0.402	10.0	0.0	1.0	1.0
0	0	430	18.419	0.502	10.0	0.0	1.0	1.0
0	0	424	18.387	0.495	10.0	0.0	1.0	1.0
0	0	418	18.258	0.445	10.0	0.0	1.0	1.0
0	0	412	18.0	0.258	10.032	0.18	1.0	1.0
0	0	406	18.0	0.0	10.0	0.0	1.0	1.0
0	0	400	17.935	0.25	10.032	0.18	1.0	1.0
0	0	394	17.484	0.508	10.065	0.25	1.0	1.0
0	0	388	17.097	0.301	10.032	0.18	1.0	1.0
0	0	382	17.032	0.18	10.065	0.25	1.0	1.0
0	0	376	17.0	0.0	10.161	0.374	1.0	1.0
0	0	370	16.903	0.301	10.387	0.495	1.0	1.0
0	0	364	16.645	0.486	10.387	0.495	1.0	1.0
0	0	358	16.29	0.461	10.484	0.508	1.0	1.0
0	0	352	16.032	0.18	10.613	0.495	1.0	1.0
0	0	346	15.935	0.25	10.871	0.341	1.0	1.0
0	0	340	15.903	0.301	10.839	0.374	1.0	1.0
0	0	334	15.355	0.486	10.839	0.374	1.0	1.0
0	0	328	15.097	0.301	10.968	0.18	1.0	1.0
0	0	322	15.0	0.0	10.935	0.25	1.0	1.0
0	0	316	14.935	0.25	10.968	0.18	1.0	1.0
0	0	310	14.484	0.508	10.935	0.25	1.0	1.0
0	0	304	14.258	0.445	11.0	0.0	1.0	1.0
0	0	298	14.129	0.341	11.0	0.0	1.0	1.0
0	0	292	14.0	0.0	11.0	0.0	1.0	1.0
0	0	286	13.774	0.425	11.0	0.0	1.0	1.0
0	0	280	13.484	0.508	11.0	0.0	1.0	1.0
0	0	274	13.032	0.18	11.0	0.0	1.0	1.0
0	0	268	13.0	0.0	11.0	0.0	1.0	1.0
0	0	262	12.806	0.402	11.0	0.0	1.0	1.0
0	0	256	12.323	0.475	11.0	0.0	1.0	1.0
0	0	250	12.097	0.301	11.0	0.0	1.0	1.0
0	0	244	12.0	0.0	11.032	0.18	1.0	1.0
0	0	238	11.871	0.341	11.032	0.18	1.0	1.0
0	0	232	11.323	0.475	11.097	0.301	1.0	1.0
0	0	226	11.0	0.0	11.226	0.425	1.0	1.0
0	0	220	10.968	0.18	11.516	0.508	1.0	1.0
0	0	214	10.581	0.502	11.806	0.402	1.0	1.0
0	0	208	10.097	0.301	11.968	0.18	1.0	1.0
0	0	202	10.0	0.0	12.0	0.0	1.0	1.0
0	0	196	9.935	0.25	12.0	0.0	1.0	1.0
0	0	190	9.484	0.508	12.032	0.18	1.0	1.0
0	0	184	9.129	0.341	12.0	0.0	1.0	1.0
0	0	178	9.0	0.0	12.065	0.25	1.0	1.0
0	0	172	8.774	0.425	12.29	0.461	1.0	1.0
0	0	166	8.0	0.0	12.774	0.425	1.0	1.0
0	0	160	8.0	0.0	12.968	0.18	1.0	1.0
0	0	154	7.903	0.301	13.0	0.0	1.0	1.0
0	0	148	7.161	0.374	13.0	0.0	1.0	1.0
0	0	142	7.0	0.0	13.194	0.402	1.0	1.0
0	0	136	6.935	0.25	13.903	0.301	1.0	1.0
0	0	130	6.323	0.475	14.0	0.0	1.0	1.0
0	0	124	6.032	0.18	14.226	0.425	1.0	1.0
0	0	118	6.0	0.0	14.839	0.374	1.0	1.0
0	0	112	5.613	0.495	15.032	0.18	1.0	1.0
0	0	106	5.0	0.0	15.484	0.508	1.0	1.0
0	0	100	5.0	0.0	15.935	0.25	1.0	1.0
0	0	77	2.839	0.374	20.548	1.179	1.0	1.0
0	0	74	2.645	0.486	21.548	0.888	1.0	1.0
0	0	71	2.161	0.374	22.903	1.274	1.0	1.0
0	0	68	2.032	0.18	24.323	0.979	1.0	1.0
0	0	65	2.0	0.0	26.323	1.326	1.0	1.0
0	0	62	1.935	0.25	30.613	2.667	1.0	1.0
0	0	59	0.885	0.766	36.136	2.765	0.548	0.71
0	0	56	0.0	0.0	nan	nan	0.0	0.0
0	0	53	0.0	0.0	nan	nan	0.0	0.0
0	0	50	0.0	0.0	nan	nan	0.0	0.0
0	0	47	0.0	0.0	nan	nan	0.0	0.0
0	0	44	0.0	0.0	nan	nan	0.0	0.0
1	0	454	16.0	0.0	10.0	0.0	1.0	1.0
1	0	448	16.0	0.0	10.032	0.18	1.0	1.0
1	0	442	16.0	0.0	10.0	0.0	1.0	1.0
1	0	436	15.935	0.25	10.0	0.0	1.0	1.0
1	0	430	15.677	0.475	10.0	0.0	1.0	1.0
1	0	424	15.323	0.475	10.097	0.301	1.0	1.0
1	0	418	15.161	0.374	10.097	0.301	1.0	1.0
1	0	412	15.0	0.0	10.129	0.341	1.0	1.0
1	0	406	15.0	0.0	10.129	0.341	1.0	1.0
1	0	400	15.0	0.0	10.323	0.475	1.0	1.0
1	0	394	14.871	0.341	10.323	0.475	1.0	1.0
1	0	388	14.516	0.508	10.387	0.495	1.0	1.0
1	0	382	14.065	0.25	10.581	0.502	1.0	1.0
1	0	376	14.0	0.0	10.71	0.461	1.0	1.0
1	0	370	14.032	0.18	10.645	0.486	1.0	1.0
1	0	364	13.935	0.25	10.871	0.341	1.0	1.0
1	0	358	13.806	0.402	10.903	0.301	1.0	1.0
1	0	352	13.484	0.508	10.935	0.25	1.0	1.0
1	0	346	13.097	0.301	11.0	0.0	1.0	1.0
1	0	340	13.0	0.0	10.968	0.18	1.0	1.0
1	0	334	13.0	0.0	11.0	0.0	1.0	1.0
1	0	328	12.935	0.25	11.0	0.0	1.0	1.0
1	0	322	12.677	0.475	11.0	0.0	1.0	1.0
1	0	316	12.194	0.402	11.0	0.0	1.0	1.0
1	0	310	12.0	0.0	11.0	0.0	1.0	1.0
1	0	304	12.0	0.0	11.0	0.0	1.0	1.0
1	0	298	11.903	0.301	11.0	0.0	1.0	1.0
1	0	292	11.613	0.495	11.0	0.0	1.0	1.0
1	0	286	11.194	0.402	11.0	0.0	1.0	1.0
1	0	280	11.032	0.18	11.0	0.0	1.0	1.0
1	0	274	11.0	0.0	11.0	0.0	1.0	1.0
1	0	268	10.903	0.301	11.0	0.0	1.0	1.0
1	0	262	10.452	0.506	11.0	0.0	1.0	1.0
1	0	256	10.097	0.301	11.0	0.0	1.0	1.0
