row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	97	4.71	0.461	17.194	0.477	1.0	1.0
0	0	94	4.129	0.428	17.419	0.564	1.0	1.0
0	0	91	3.581	0.502	18.29	0.529	1.0	1.0
0	0	88	3.065	0.25	18.677	0.541	1.0	1.0
0	0	85	3.0	0.0	19.387	0.615	1.0	1.0
0	0	82	3.0	0.0	20.226	0.956	1.0	1.0
0	0	79	2.581	0.502	21.258	1.21	1.0	1.0
0	0	76	2.097	0.301	23.097	1.044	1.0	1.0
0	0	73	2.065	0.25	24.0	1.0	1.0	1.0
0	0	70	2.0	0.0	26.194	1.701	1.0	1.0
0	0	67	2.0	0.0	28.419	2.078	1.0	1.0
0	0	64	1.483	0.574	34.833	4.161	0.903	0.968
0	0	61	0.167	0.514	37.6	3.641	0.065	0.484
0	0	58	0.0	0.0	nan	nan	0.0	0.0
0	0	55	0.0	0.0	nan	nan	0.0	0.0
0	0	52	0.0	0.0	nan	nan	0.0	0.0
0	0	49	0.0	0.0	nan	nan	0.0	0.0
0	0	46	0.0	0.0	nan	nan	0.0	0.0
0	0	43	0.0	0.0	nan	nan	0.0	0.0
0	0	40	0.0	0.0	nan	nan	0.0	0.0
1	0	97	3.419	0.62	17.742	0.514	1.0	1.0
1	0	94	3.032	0.706	18.0	0.516	1.0	1.0
1	0	91	2.194	0.402	18.806	0.601	1.0	1.0
1	0	88	2.032	0.18	19.323	0.702	1.0	1.0
1	0	85	2.032	0.18	19.968	1.048	1.0	1.0
1	0	82	1.935	0.25	20.968	0.836	1.0	1.0
1	0	79	1.968	0.18	21.806	1.167	1.0	1.0
1	0	76	1.548	0.506	23.194	1.223	1.0	1.0
1	0	73	1.29	0.461	25.226	1.927	1.0	1.0
1	0	70	0.793	0.491	28.375	3.062	0.71	0.774
1	0	67	0.286	0.46	30.909	3.986	0.258	0.355
1	0	64	0.0	0.0	nan	nan	0.0	0.0
1	0	61	0.0	0.0	nan	nan	0.0	0.0
1	0	58	0.0	0.0	nan	nan	0.0	0.0
1	0	55	0.0	0.0	nan	nan	0.0	0.0
1	0	52	0.0	0.0	nan	nan	0.0	0.0
1	0	49	0.0	0.0	nan	nan	0.0	0.0
1	0	46	0.0	0.0	nan	nan	0.0	0.0
1	0	43	0.0	0.0	nan	nan	0.0	0.0
1	0	40	0.0	0.0	nan	nan	0.0	0.0
2	0	97	3.065	0.25	20.129	0.499	1.0	1.0
2	0	94	3.0	0.0	20.903	0.651	1.0	1.0
2	0	91	3.0	0.0	21.613	0.667	1.0	1.0
2	0	88	3.0	0.0	21.839	0.735	1.0	1.0
2	0	85	2.968	0.18	23.194	0.703	1.0	1.0
2	0	82	2.387	0.495	24.032	0.875	1.0	1.0
2	0	79	2.161	0.374	24.968	0.795	1.0	1.0
2	0	76	2.0	0.0	26.161	1.485	1.0	1.0
