voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency
800	9.222222222222221	0.44095855184409843	nan	nan	0.9
750	9.5	0.5270462766947299	nan	nan	1.0
700	9.4	0.5163977794943223	nan	nan	1.0
650	9.4	0.5163977794943223	nan	nan	1.0
600	9.0	0.0	nan	nan	1.0
550	9.0	0.0	nan	nan	1.0
500	8.8	0.4216370213557839	nan	nan	1.0
450	8.0	0.0	nan	nan	1.0
400	7.0	0.0	nan	nan	1.0
350	6.0	0.0	nan	nan	1.0
300	4.9	0.31622776601683794	nan	nan	1.0
250	3.0	0.0	nan	nan	1.0
200	nan	nan	nan	nan	0.0
150	nan	nan	nan	nan	0.0
100	nan	nan	nan	nan	0.0
