voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
55	2.969	0.175	17.719	24.486	0.96	0.96
54	2.99	0.1	15.44	0.715	1.0	1.0
53	2.95	0.261	15.91	0.986	1.0	1.0
52	2.91	0.321	16.32	1.23	1.0	1.0
51	2.88	0.409	16.71	0.832	1.0	1.0
50	2.66	0.536	17.04	1.34	1.0	1.0
49	2.41	0.653	17.75	1.029	1.0	1.0
48	2.21	0.686	18.07	1.241	1.0	1.0
47	1.99	0.643	18.7	1.352	1.0	1.0
46	1.43	0.517	19.93	2.185	1.0	1.0
45	1.343	0.498	22.384	23.665	0.99	0.99
44	1.122	0.329	21.18	2.414	0.98	1.0
43	1.032	0.177	25.273	23.594	0.94	0.99
42	1.025	0.157	37.526	51.831	0.8	0.95
41	1.036	0.189	73.974	93.467	0.55	0.77
40	1.0	0.0	113.051	110.516	0.35	0.59
39	1.0	0.0	189.548	104.083	0.16	0.31
38	1.0	0.0	255.0	0.0	0.04	0.09
37	1.0	0.0	255.0	0.0	0.03	0.04
36	1.0	0.0	255.0	0.0	0.01	0.01
35	1.0	0.0	255.0	0.0	0.01	0.03
34	nan	nan	nan	nan	0.0	0.0
33	1.0	0.0	255.0	0.0	0.01	0.01
32	nan	nan	nan	nan	0.0	0.0
31	nan	nan	nan	nan	0.0	0.0
30	nan	nan	nan	nan	0.0	0.0
