row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	97	5.0	0.0	17.097	0.301	1.0	1.0
0	0	94	4.806	0.402	17.419	0.564	1.0	1.0
0	0	91	4.516	0.57	17.581	0.672	1.0	1.0
0	0	88	3.839	0.82	18.226	0.762	1.0	1.0
0	0	85	3.29	0.461	18.484	0.724	1.0	1.0
0	0	82	3.129	0.341	19.161	0.86	1.0	1.0
0	0	79	3.0	0.0	20.065	1.237	1.0	1.0
0	0	76	3.0	0.0	20.71	0.783	1.0	1.0
0	0	73	2.71	0.461	21.839	1.186	1.0	1.0
0	0	70	2.387	0.495	23.161	1.267	1.0	1.0
0	0	67	2.032	0.18	24.194	1.167	1.0	1.0
0	0	64	2.0	0.0	27.581	2.46	1.0	1.0
0	0	61	1.71	0.529	30.567	3.971	0.968	0.968
0	0	58	0.903	0.746	35.286	3.243	0.677	0.677
0	0	55	0.032	0.18	38.0	0.0	0.032	0.032
0	0	52	0.0	0.0	nan	nan	0.0	0.0
0	0	49	0.0	0.0	nan	nan	0.0	0.0
0	0	46	0.0	0.0	nan	nan	0.0	0.0
0	0	43	0.0	0.0	nan	nan	0.0	0.0
0	0	40	0.0	0.0	nan	nan	0.0	0.0
1	0	97	2.0	0.0	22.065	0.629	1.0	1.0
1	0	94	2.0	0.0	22.581	0.72	1.0	1.0
1	0	91	2.0	0.0	23.548	0.723	1.0	1.0
1	0	88	1.968	0.18	24.29	0.739	1.0	1.0
1	0	85	1.839	0.374	25.226	0.99	1.0	1.0
1	0	82	1.516	0.508	26.484	1.546	1.0	1.0
1	0	79	0.862	0.351	29.296	2.599	0.806	0.871
1	0	76	0.214	0.418	32.778	3.232	0.194	0.29
1	0	73	0.032	0.18	33.0	0.0	0.032	0.032
1	0	70	0.0	0.0	nan	nan	0.0	0.0
1	0	67	0.0	0.0	nan	nan	0.0	0.0
1	0	64	0.0	0.0	nan	nan	0.0	0.0
1	0	61	0.0	0.0	nan	nan	0.0	0.0
1	0	58	0.0	0.0	nan	nan	0.0	0.0
1	0	55	0.0	0.0	nan	nan	0.0	0.0
1	0	52	0.0	0.0	nan	nan	0.0	0.0
1	0	49	0.0	0.0	nan	nan	0.0	0.0
1	0	46	0.0	0.0	nan	nan	0.0	0.0
1	0	43	0.0	0.0	nan	nan	0.0	0.0
1	0	40	0.0	0.0	nan	nan	0.0	0.0
2	0	97	3.645	0.486	20.226	0.56	1.0	1.0
2	0	94	3.387	0.495	20.839	0.523	1.0	1.0
2	0	91	3.032	0.18	21.548	0.85	1.0	1.0
2	0	88	3.0	0.0	22.032	0.795	1.0	1.0
2	0	85	3.0	0.0	22.387	0.761	1.0	1.0
2	0	82	3.0	0.0	23.0	0.816	1.0	1.0
2	0	79	2.903	0.301	24.097	0.944	1.0	1.0
2	0	76	2.452	0.506	24.968	0.795	1.0	1.0
2	0	73	2.129	0.341	26.516	0.851	1.0	1.0
2	0	70	2.065	0.25	28.194	1.973	1.0	1.0
2	0	67	1.935	0.25	30.71	2.179	1.0	1.0
2	0	64	1.357	0.621	35.759	4.214	0.839	0.935
2	0	61	0.345	0.614	37.8	3.615	0.258	0.323
2	0	58	0.0	0.0	nan	nan	0.0	0.0
2	0	55	0.0	0.0	nan	nan	0.0	0.0
2	0	52	0.0	0.0	nan	nan	0.0	0.0
2	0	49	0.0	0.0	nan	nan	0.0	0.0
2	0	46	0.0	0.0	nan	nan	0.0	0.0
2	0	43	0.0	0.0	nan	nan	0.0	0.0
2	0	40	0.0	0.0	nan	nan	0.0	0.0
3	0	97	3.194	0.477	18.613	0.667	1.0	1.0
3	0	94	2.742	0.514	19.258	0.631	1.0	1.0
3	0	91	2.452	0.506	19.419	0.765	1.0	1.0
3	0	88	2.065	0.25	20.29	1.006	1.0	1.0
3	0	85	2.0	0.0	21.0	0.894	1.0	1.0
3	0	82	2.032	0.18	21.581	1.259	1.0	1.0
3	0	79	1.968	0.18	23.258	1.316	1.0	1.0
3	0	76	1.871	0.341	23.935	1.124	1.0	1.0
3	0	73	1.581	0.502	25.387	1.43	1.0	1.0
3	0	70	1.233	0.43	28.355	3.158	0.968	1.0
3	0	67	0.586	0.682	30.438	3.265	0.452	0.516
3	0	64	0.032	0.18	30.0	0.0	0.032	0.032
3	0	61	0.0	0.0	nan	nan	0.0	0.0
3	0	58	0.0	0.0	nan	nan	0.0	0.0
3	0	55	0.0	0.0	nan	nan	0.0	0.0
3	0	52	0.0	0.0	nan	nan	0.0	0.0
3	0	49	0.0	0.0	nan	nan	0.0	0.0
3	0	46	0.0	0.0	nan	nan	0.0	0.0
3	0	43	0.0	0.0	nan	nan	0.0	0.0
3	0	40	0.0	0.0	nan	nan	0.0	0.0
4	0	97	2.065	0.25	22.806	0.543	1.0	1.0
4	0	94	2.0	0.0	23.194	0.749	1.0	1.0
4	0	91	2.0	0.0	23.903	0.597	1.0	1.0
4	0	88	2.0	0.0	24.903	0.978	1.0	1.0
4	0	85	1.871	0.341	25.903	0.944	1.0	1.0
4	0	82	1.645	0.486	27.226	1.892	1.0	1.0
4	0	79	1.433	0.504	29.194	1.815	0.968	1.0
4	0	76	0.607	0.567	32.263	2.446	0.516	0.613
4	0	73	0.033	0.183	34.0	1.414	0.032	0.065
4	0	70	0.0	0.0	nan	nan	0.0	0.0
4	0	67	0.0	0.0	nan	nan	0.0	0.0
4	0	64	0.0	0.0	nan	nan	0.0	0.0
4	0	61	0.0	0.0	nan	nan	0.0	0.0
4	0	58	0.0	0.0	nan	nan	0.0	0.0
4	0	55	0.0	0.0	nan	nan	0.0	0.0
4	0	52	0.0	0.0	nan	nan	0.0	0.0
4	0	49	0.0	0.0	nan	nan	0.0	0.0
4	0	46	0.0	0.0	nan	nan	0.0	0.0
4	0	43	0.0	0.0	nan	nan	0.0	0.0
4	0	40	0.0	0.0	nan	nan	0.0	0.0
5	0	97	3.032	0.18	21.774	0.56	1.0	1.0
5	0	94	3.0	0.0	22.097	0.473	1.0	1.0
5	0	91	2.968	0.18	22.774	0.617	1.0	1.0
5	0	88	2.839	0.374	23.645	0.608	1.0	1.0
5	0	85	2.71	0.461	24.129	0.718	1.0	1.0
5	0	82	2.129	0.341	25.226	1.203	1.0	1.0
5	0	79	2.032	0.18	26.161	0.898	1.0	1.0
5	0	76	2.0	0.0	27.742	1.548	1.0	1.0
5	0	73	1.968	0.18	29.742	1.949	1.0	1.0
5	0	70	1.828	0.384	32.194	2.587	0.935	1.0
5	0	67	0.8	0.696	36.25	2.658	0.419	0.774
5	0	64	0.103	0.31	38.6	2.302	0.097	0.161
5	0	61	0.0	0.0	nan	nan	0.0	0.0
5	0	58	0.0	0.0	nan	nan	0.0	0.0
5	0	55	0.0	0.0	nan	nan	0.0	0.0
5	0	52	0.0	0.0	nan	nan	0.0	0.0
5	0	49	0.0	0.0	nan	nan	0.0	0.0
5	0	46	0.0	0.0	nan	nan	0.0	0.0
5	0	43	0.0	0.0	nan	nan	0.0	0.0
5	0	40	0.0	0.0	nan	nan	0.0	0.0
6	0	97	3.0	0.0	21.065	0.442	1.0	1.0
6	0	94	3.0	0.0	21.548	0.768	1.0	1.0
6	0	91	2.968	0.18	22.0	0.73	1.0	1.0
6	0	88	2.903	0.301	22.581	0.672	1.0	1.0
6	0	85	2.645	0.486	23.452	0.81	1.0	1.0
6	0	82	2.129	0.341	24.323	0.832	1.0	1.0
6	0	79	2.0	0.0	25.0	0.966	1.0	1.0
6	0	76	2.0	0.0	26.452	0.925	1.0	1.0
