pixel_index	t_up_tuner	tdac_tuner
0	1	7
1	0	11
2	1	3
3	0	8
4	1	7
5	1	6
6	1	14
7	0	11
8	0	7
9	1	4
10	0	10
11	1	7
12	1	8
13	0	10
14	1	7
15	1	6
16	1	8
17	0	1
18	0	7
19	0	11
20	0	11
21	0	10
22	1	5
23	0	14
24	0	2
25	1	1
26	0	0
27	0	0
28	1	10
29	0	12
30	0	12
31	0	9
32	0	0
33	1	11
34	1	6
35	1	1
36	1	14
37	1	4
38	1	5
39	0	6
40	1	4
41	0	16
42	0	4
43	0	13
44	1	5
45	0	6
46	0	2
47	0	11
48	1	3
49	0	1
50	1	4
51	1	6
52	1	5
53	0	6
54	1	7
55	1	3
56	1	13
57	1	7
58	0	3
59	1	1
60	1	7
61	0	7
62	1	2
63	0	5
64	1	6
65	1	2
66	0	2
67	0	5
68	1	13
69	0	5
70	0	0
71	1	8
72	1	4
73	0	9
74	1	9
75	1	16
76	0	0
77	0	4
78	0	5
79	0	0
80	1	2
81	1	4
82	1	6
83	1	12
84	0	8
85	1	11
86	1	3
87	0	9
88	1	5
89	1	8
90	0	9
91	1	5
92	0	5
93	0	6
94	1	2
95	1	1
96	1	7
97	0	11
98	1	5
99	0	13
100	0	2
101	1	9
102	1	4
103	0	3
104	0	8
105	0	1
106	0	5
107	0	14
108	1	2
109	0	21
110	1	1
111	0	11
112	0	1
113	0	6
114	0	9
115	1	7
116	1	4
117	0	7
118	1	10
119	1	1
120	0	10
121	0	4
122	1	6
123	0	11
124	1	1
125	1	7
126	0	17
127	1	10
128	1	9
129	0	0
130	1	6
131	0	0
132	1	4
133	0	24
134	1	17
135	1	5
136	1	7
137	1	8
138	0	0
139	0	5
140	1	1
141	1	17
142	0	11
143	0	0
144	1	2
145	0	14
146	0	5
147	0	16
148	1	8
149	0	5
150	0	1
151	0	11
152	1	17
153	1	4
154	0	5
155	0	16
156	1	10
157	0	14
158	1	4
159	0	0
160	1	8
161	1	4
162	0	5
163	0	1
164	0	8
165	1	4
166	1	4
167	1	1
168	0	2
169	0	14
170	0	2
171	1	2
172	0	0
173	1	7
174	0	0
175	0	10
176	1	14
177	1	8
178	0	0
179	1	12
180	0	0
181	1	7
182	0	4
183	1	6
184	1	5
185	0	15
186	0	0
187	1	11
188	0	8
189	0	0
190	0	0
191	1	8
192	0	1
193	0	8
194	1	1
195	0	10
196	1	7
197	0	0
198	1	7
199	1	9
200	1	19
201	0	21
202	1	4
203	0	15
204	1	7
205	0	4
206	1	10
207	1	2
208	1	8
209	1	5
210	1	7
211	0	5
212	1	2
213	0	1
214	0	1
215	1	6
216	0	10
217	1	9
218	0	3
219	0	0
220	1	11
221	0	6
222	0	2
223	1	7
224	0	1
225	0	5
226	1	5
227	1	11
228	1	3
229	0	3
230	1	3
231	1	2
232	0	11
233	1	4
234	1	7
235	1	11
236	0	10
237	1	3
238	1	11
239	0	8
240	0	0
241	0	4
242	0	3
243	0	14
244	1	4
245	0	3
246	1	3
247	1	7
248	0	19
249	1	1
250	0	1
251	0	6
252	0	6
253	1	4
254	1	2
255	0	1
