row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	454	20.742	0.445	10.097	0.301	1.0	1.0
0	0	448	20.355	0.486	10.065	0.25	1.0	1.0
0	0	442	20.129	0.341	10.097	0.301	1.0	1.0
0	0	436	20.065	0.25	10.194	0.402	1.0	1.0
0	0	430	19.839	0.374	10.258	0.445	1.0	1.0
0	0	424	19.903	0.301	10.387	0.495	1.0	1.0
0	0	418	19.516	0.508	10.452	0.506	1.0	1.0
0	0	412	19.161	0.374	10.516	0.508	1.0	1.0
0	0	406	19.065	0.25	10.806	0.402	1.0	1.0
0	0	400	19.0	0.258	10.871	0.341	1.0	1.0
0	0	394	18.806	0.402	10.839	0.374	1.0	1.0
0	0	388	18.548	0.506	10.968	0.18	1.0	1.0
0	0	382	18.065	0.25	10.935	0.25	1.0	1.0
0	0	376	18.032	0.315	11.0	0.0	1.0	1.0
0	0	370	17.871	0.341	11.0	0.0	1.0	1.0
0	0	364	17.581	0.502	11.0	0.0	1.0	1.0
0	0	358	17.484	0.508	11.0	0.0	1.0	1.0
0	0	352	17.065	0.25	11.0	0.0	1.0	1.0
0	0	346	17.0	0.0	11.0	0.0	1.0	1.0
0	0	340	17.0	0.0	11.0	0.0	1.0	1.0
0	0	334	16.677	0.475	11.0	0.0	1.0	1.0
0	0	328	16.032	0.18	11.0	0.0	1.0	1.0
0	0	322	16.0	0.0	11.0	0.0	1.0	1.0
0	0	316	15.871	0.341	11.0	0.0	1.0	1.0
0	0	310	15.613	0.495	11.0	0.0	1.0	1.0
0	0	304	15.161	0.374	11.0	0.0	1.0	1.0
0	0	298	15.032	0.18	11.0	0.0	1.0	1.0
0	0	292	14.871	0.341	11.032	0.18	1.0	1.0
0	0	286	14.548	0.506	11.0	0.0	1.0	1.0
0	0	280	14.097	0.301	11.161	0.374	1.0	1.0
0	0	274	14.0	0.0	11.161	0.374	1.0	1.0
0	0	268	13.871	0.341	11.194	0.402	1.0	1.0
0	0	262	13.355	0.486	11.484	0.508	1.0	1.0
0	0	256	13.032	0.18	11.742	0.445	1.0	1.0
0	0	250	13.0	0.258	11.871	0.341	1.0	1.0
0	0	244	12.645	0.486	11.968	0.18	1.0	1.0
0	0	238	12.161	0.374	12.0	0.0	1.0	1.0
0	0	232	12.0	0.0	12.0	0.0	1.0	1.0
0	0	226	12.0	0.0	12.0	0.0	1.0	1.0
0	0	220	11.742	0.445	12.0	0.0	1.0	1.0
0	0	214	11.032	0.18	12.0	0.0	1.0	1.0
0	0	208	11.0	0.0	12.065	0.25	1.0	1.0
0	0	202	10.742	0.445	12.258	0.445	1.0	1.0
0	0	196	10.226	0.425	12.71	0.461	1.0	1.0
0	0	190	10.0	0.0	12.935	0.25	1.0	1.0
0	0	184	9.968	0.18	13.0	0.0	1.0	1.0
0	0	178	9.774	0.425	13.0	0.0	1.0	1.0
0	0	172	9.065	0.25	13.0	0.0	1.0	1.0
0	0	166	9.0	0.0	13.097	0.301	1.0	1.0
0	0	160	8.742	0.445	13.613	0.495	1.0	1.0
0	0	154	8.065	0.25	13.903	0.301	1.0	1.0
0	0	148	8.0	0.0	14.0	0.0	1.0	1.0
0	0	142	7.903	0.301	14.032	0.18	1.0	1.0
0	0	136	7.065	0.25	14.613	0.495	1.0	1.0
0	0	130	7.0	0.0	14.935	0.25	1.0	1.0
0	0	124	6.903	0.301	15.226	0.497	1.0	1.0
0	0	118	6.129	0.341	15.806	0.402	1.0	1.0
0	0	112	6.0	0.0	16.097	0.301	1.0	1.0
0	0	106	5.935	0.25	16.806	0.402	1.0	1.0
0	0	100	5.065	0.359	17.194	0.477	1.0	1.0
0	0	77	3.032	0.18	22.871	1.024	1.0	1.0
0	0	74	3.0	0.0	24.0	0.856	1.0	1.0
0	0	71	2.968	0.18	25.0	1.095	1.0	1.0
0	0	68	2.548	0.506	27.065	1.389	1.0	1.0
