row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	420	16.968	0.18	9.0	0.0	1.0	1.0
0	0	380	16.032	0.18	9.0	0.0	1.0	1.0
0	0	340	15.065	0.25	9.0	0.0	1.0	1.0
0	0	300	14.0	0.0	9.0	0.0	1.0	1.0
0	0	260	12.71	0.461	9.0	0.0	1.0	1.0
0	0	220	11.032	0.18	9.0	0.0	1.0	1.0
0	0	180	9.032	0.18	9.0	0.0	1.0	1.0
0	0	140	7.097	0.301	9.0	0.0	1.0	1.0
0	0	100	5.0	0.0	10.0	0.0	1.0	1.0
0	0	77	4.0	0.0	10.968	0.18	1.0	1.0
0	0	74	4.0	0.0	11.0	0.0	1.0	1.0
0	0	71	3.581	0.502	11.161	0.374	1.0	1.0
0	0	68	3.065	0.25	11.71	0.461	1.0	1.0
0	0	65	3.0	0.0	12.032	0.18	1.0	1.0
0	0	62	3.0	0.0	12.903	0.539	1.0	1.0
0	0	59	3.0	0.0	13.355	0.486	1.0	1.0
0	0	56	2.935	0.25	14.29	0.739	1.0	1.0
0	0	53	2.258	0.445	16.032	0.948	1.0	1.0
0	0	50	1.839	0.374	17.645	0.985	1.0	1.0
0	0	47	1.0	0.0	22.71	3.268	0.968	1.0
0	0	44	0.2	0.407	27.857	3.388	0.194	0.226
1	0	420	13.387	0.495	9.935	0.25	1.0	1.0
1	0	380	13.0	0.0	9.806	0.402	1.0	1.0
1	0	340	12.0	0.0	9.871	0.341	1.0	1.0
1	0	300	11.0	0.0	9.871	0.341	1.0	1.0
1	0	260	9.968	0.18	9.839	0.374	1.0	1.0
1	0	220	8.258	0.445	9.968	0.18	1.0	1.0
1	0	180	6.968	0.18	10.0	0.0	1.0	1.0
1	0	140	5.0	0.0	10.0	0.0	1.0	1.0
1	0	100	3.226	0.425	10.968	0.18	1.0	1.0
1	0	77	2.032	0.18	12.516	0.508	1.0	1.0
1	0	74	2.0	0.0	13.0	0.258	1.0	1.0
1	0	71	2.0	0.0	13.484	0.508	1.0	1.0
1	0	68	1.935	0.25	14.29	0.529	1.0	1.0
1	0	65	1.935	0.25	15.323	0.832	1.0	1.0
1	0	62	1.517	0.509	16.613	1.022	0.935	1.0
1	0	59	0.733	0.458	19.0	1.641	0.355	0.871
1	0	56	0.0	0.0	nan	nan	0.0	0.0
1	0	53	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	47	0.0	0.0	nan	nan	0.0	0.0
1	0	44	0.0	0.0	nan	nan	0.0	0.0
2	0	420	16.839	0.374	9.0	0.0	1.0	1.0
2	0	380	15.968	0.18	9.0	0.0	1.0	1.0
2	0	340	15.0	0.0	9.0	0.0	1.0	1.0
2	0	300	14.0	0.0	9.0	0.0	1.0	1.0
2	0	260	12.968	0.18	9.0	0.0	1.0	1.0
2	0	220	11.097	0.301	9.0	0.0	1.0	1.0
2	0	180	9.226	0.425	9.0	0.0	1.0	1.0
2	0	140	7.258	0.445	9.0	0.0	1.0	1.0
2	0	100	5.0	0.0	9.968	0.18	1.0	1.0
2	0	77	4.0	0.0	10.871	0.341	1.0	1.0
2	0	74	4.0	0.0	10.968	0.18	1.0	1.0
2	0	71	3.871	0.341	11.065	0.25	1.0	1.0
2	0	68	3.323	0.475	11.516	0.508	1.0	1.0
2	0	65	3.161	0.374	11.871	0.341	1.0	1.0
2	0	62	3.0	0.0	12.516	0.508	1.0	1.0
2	0	59	3.0	0.0	13.129	0.428	1.0	1.0
2	0	56	2.968	0.18	14.032	0.752	1.0	1.0
2	0	53	2.71	0.461	15.355	0.709	1.0	1.0
2	0	50	2.065	0.574	17.677	2.104	1.0	1.0
2	0	47	1.065	0.359	21.933	2.924	0.968	0.968
2	0	44	0.536	0.508	28.167	4.63	0.484	0.581
3	0	420	14.935	0.25	9.548	0.506	1.0	1.0
3	0	380	14.0	0.0	9.419	0.502	1.0	1.0
3	0	340	13.0	0.0	9.226	0.425	1.0	1.0
3	0	300	12.0	0.0	9.355	0.486	1.0	1.0
3	0	260	10.968	0.18	9.387	0.495	1.0	1.0
3	0	220	9.194	0.402	9.581	0.502	1.0	1.0
3	0	180	7.839	0.374	9.968	0.18	1.0	1.0
3	0	140	6.0	0.0	10.0	0.0	1.0	1.0
3	0	100	4.0	0.0	10.581	0.502	1.0	1.0
3	0	77	2.935	0.25	12.0	0.258	1.0	1.0
3	0	74	2.452	0.506	12.097	0.396	1.0	1.0
3	0	71	2.161	0.374	12.742	0.445	1.0	1.0
3	0	68	2.0	0.0	13.484	0.508	1.0	1.0
3	0	65	2.0	0.0	13.968	0.407	1.0	1.0
3	0	62	2.0	0.0	15.161	0.735	1.0	1.0
3	0	59	2.0	0.0	15.806	0.792	1.0	1.0
3	0	56	1.577	0.578	18.0	1.486	0.806	0.968
3	0	53	0.667	0.485	21.48	2.519	0.387	0.806
3	0	50	0.0	0.0	nan	nan	0.0	0.0
3	0	47	0.0	0.0	nan	nan	0.0	0.0
3	0	44	0.0	0.0	nan	nan	0.0	0.0
4	0	420	14.0	0.0	9.0	0.0	1.0	1.0
4	0	380	13.097	0.301	9.0	0.0	1.0	1.0
4	0	340	12.387	0.495	9.0	0.0	1.0	1.0
4	0	300	11.581	0.502	9.0	0.0	1.0	1.0
4	0	260	10.065	0.25	9.0	0.0	1.0	1.0
4	0	220	9.0	0.0	9.0	0.0	1.0	1.0
4	0	180	7.129	0.341	9.0	0.0	1.0	1.0
4	0	140	5.71	0.461	9.968	0.18	1.0	1.0
4	0	100	3.968	0.18	10.032	0.18	1.0	1.0
4	0	77	2.742	0.445	11.548	0.506	1.0	1.0
4	0	74	2.387	0.495	12.0	0.0	1.0	1.0
4	0	71	2.065	0.25	12.161	0.374	1.0	1.0
4	0	68	2.0	0.0	12.677	0.475	1.0	1.0
4	0	65	2.0	0.0	13.484	0.508	1.0	1.0
4	0	62	2.0	0.0	13.903	0.473	1.0	1.0
4	0	59	1.967	0.183	15.161	1.241	0.968	1.0
4	0	56	1.69	0.471	16.29	1.16	0.935	1.0
4	0	53	1.04	0.735	18.24	2.107	0.613	0.806
4	0	50	0.033	0.183	19.0	1.414	0.032	0.065
4	0	47	0.0	0.0	nan	nan	0.0	0.0
4	0	44	0.0	0.0	nan	nan	0.0	0.0
5	0	420	15.032	0.18	9.0	0.0	1.0	1.0
5	0	380	14.387	0.495	9.0	0.0	1.0	1.0
5	0	340	13.871	0.341	9.0	0.0	1.0	1.0
5	0	300	12.871	0.341	9.0	0.0	1.0	1.0
5	0	260	11.29	0.461	9.0	0.0	1.0	1.0
5	0	220	10.0	0.0	9.0	0.0	1.0	1.0
5	0	180	8.129	0.341	9.0	0.0	1.0	1.0
5	0	140	6.581	0.502	9.968	0.18	1.0	1.0
5	0	100	4.871	0.341	10.0	0.0	1.0	1.0
5	0	77	3.258	0.445	11.645	0.486	1.0	1.0
5	0	74	3.0	0.0	11.968	0.18	1.0	1.0
5	0	71	3.0	0.0	12.129	0.428	1.0	1.0
5	0	68	3.0	0.0	12.839	0.374	1.0	1.0
5	0	65	3.0	0.0	13.29	0.461	1.0	1.0
5	0	62	2.806	0.402	14.0	0.365	1.0	1.0
5	0	59	2.323	0.475	15.065	0.629	1.0	1.0
5	0	56	1.968	0.18	16.484	0.851	1.0	1.0
5	0	53	1.452	0.506	18.71	1.755	1.0	1.0
5	0	50	1.0	0.365	22.172	2.66	0.935	0.935
5	0	47	0.161	0.374	28.4	3.209	0.161	0.161
5	0	44	0.0	0.0	nan	nan	0.0	0.0
6	0	420	15.0	0.0	9.0	0.0	1.0	1.0
6	0	380	14.71	0.461	9.0	0.0	1.0	1.0
6	0	340	13.871	0.341	9.0	0.0	1.0	1.0
6	0	300	12.903	0.301	9.0	0.0	1.0	1.0
6	0	260	11.419	0.502	9.0	0.0	1.0	1.0
6	0	220	10.0	0.0	9.0	0.0	1.0	1.0
6	0	180	8.194	0.402	9.194	0.402	1.0	1.0
6	0	140	6.581	0.502	10.0	0.0	1.0	1.0
6	0	100	4.71	0.461	10.065	0.25	1.0	1.0
6	0	77	3.065	0.25	11.806	0.402	1.0	1.0
6	0	74	3.0	0.0	12.161	0.374	1.0	1.0
6	0	71	3.0	0.0	12.387	0.495	1.0	1.0
6	0	68	2.968	0.18	13.0	0.365	1.0	1.0
6	0	65	2.968	0.18	13.71	0.461	1.0	1.0
6	0	62	2.613	0.495	14.387	0.558	1.0	1.0
6	0	59	2.032	0.18	15.29	0.588	1.0	1.0
6	0	56	1.935	0.25	17.032	1.538	1.0	1.0
6	0	53	1.355	0.486	18.806	1.108	1.0	1.0
6	0	50	1.0	0.0	22.129	1.708	1.0	1.0
6	0	47	0.333	0.479	25.364	1.502	0.323	0.355
6	0	44	0.0	0.0	nan	nan	0.0	0.0
7	0	420	17.0	0.0	9.0	0.0	1.0	1.0
7	0	380	16.065	0.25	9.0	0.0	1.0	1.0
7	0	340	15.194	0.402	9.0	0.0	1.0	1.0
7	0	300	14.0	0.0	9.0	0.0	1.0	1.0
7	0	260	12.935	0.25	9.0	0.0	1.0	1.0
7	0	220	11.065	0.25	9.0	0.0	1.0	1.0
7	0	180	9.0	0.0	9.0	0.0	1.0	1.0
7	0	140	7.097	0.301	9.0	0.0	1.0	1.0
7	0	100	5.032	0.18	10.0	0.0	1.0	1.0
7	0	77	3.903	0.301	10.355	0.486	1.0	1.0
7	0	74	3.677	0.475	10.581	0.502	1.0	1.0
7	0	71	3.194	0.402	10.935	0.25	1.0	1.0
7	0	68	3.032	0.18	11.032	0.18	1.0	1.0
7	0	65	3.0	0.0	11.516	0.508	1.0	1.0
7	0	62	3.0	0.0	11.968	0.18	1.0	1.0
7	0	59	2.71	0.461	12.323	0.475	1.0	1.0
7	0	56	2.29	0.461	12.968	0.605	1.0	1.0
7	0	53	2.097	0.301	13.935	0.68	1.0	1.0
7	0	50	2.0	0.0	14.935	0.964	1.0	1.0
7	0	47	1.871	0.341	16.742	1.413	1.0	1.0
7	0	44	1.154	0.675	19.296	2.053	0.71	0.871
8	0	420	13.065	0.25	9.355	0.486	1.0	1.0
8	0	380	12.548	0.506	9.194	0.402	1.0	1.0
8	0	340	11.968	0.18	9.355	0.486	1.0	1.0
8	0	300	11.0	0.0	9.161	0.374	1.0	1.0
8	0	260	10.0	0.0	9.258	0.445	1.0	1.0
8	0	220	8.968	0.18	9.581	0.502	1.0	1.0
8	0	180	7.677	0.475	9.71	0.461	1.0	1.0
8	0	140	6.0	0.0	10.0	0.0	1.0	1.0
8	0	100	4.194	0.402	10.065	0.25	1.0	1.0
8	0	77	3.065	0.25	11.161	0.374	1.0	1.0
8	0	74	3.032	0.18	11.581	0.502	1.0	1.0
8	0	71	3.032	0.18	12.0	0.0	1.0	1.0
8	0	68	3.0	0.0	12.194	0.402	1.0	1.0
8	0	65	3.0	0.0	12.774	0.425	1.0	1.0
8	0	62	2.968	0.18	13.387	0.558	1.0	1.0
8	0	59	2.581	0.502	13.935	0.359	1.0	1.0
8	0	56	2.065	0.25	14.839	0.523	1.0	1.0
8	0	53	2.0	0.0	15.935	0.892	1.0	1.0
8	0	50	1.613	0.495	17.903	0.944	1.0	1.0
8	0	47	1.0	0.365	21.724	2.328	0.935	0.935
8	0	44	0.2	0.407	25.0	2.0	0.194	0.226
9	0	420	19.968	0.18	9.0	0.0	1.0	1.0
9	0	380	18.968	0.18	9.0	0.0	1.0	1.0
9	0	340	17.935	0.25	9.0	0.0	1.0	1.0
9	0	300	16.323	0.475	9.0	0.0	1.0	1.0
9	0	260	14.935	0.25	9.0	0.0	1.0	1.0
9	0	220	12.871	0.341	9.0	0.0	1.0	1.0
9	0	180	10.71	0.461	9.0	0.0	1.0	1.0
9	0	140	8.032	0.18	9.065	0.25	1.0	1.0
9	0	100	5.71	0.461	10.0	0.0	1.0	1.0
9	0	77	4.0	0.0	11.613	0.495	1.0	1.0
9	0	74	4.0	0.0	11.935	0.359	1.0	1.0
9	0	71	3.71	0.461	12.258	0.445	1.0	1.0
9	0	68	3.355	0.486	12.871	0.341	1.0	1.0
9	0	65	3.0	0.0	13.516	0.508	1.0	1.0
9	0	62	3.0	0.0	14.452	0.675	1.0	1.0
9	0	59	2.968	0.18	15.419	0.886	1.0	1.0
9	0	56	2.355	0.608	17.226	1.117	1.0	1.0
9	0	53	1.129	0.341	20.323	1.99	1.0	1.0
9	0	50	0.903	0.301	26.071	2.61	0.903	0.903
9	0	47	0.067	0.254	31.333	3.512	0.065	0.097
9	0	44	0.0	0.0	nan	nan	0.0	0.0
10	0	420	14.903	0.301	9.0	0.0	1.0	1.0
10	0	380	14.0	0.0	9.0	0.0	1.0	1.0
10	0	340	13.161	0.374	9.0	0.0	1.0	1.0
10	0	300	12.097	0.301	9.0	0.0	1.0	1.0
10	0	260	11.0	0.0	9.0	0.0	1.0	1.0
10	0	220	9.935	0.25	9.0	0.0	1.0	1.0
10	0	180	8.0	0.0	9.0	0.0	1.0	1.0
10	0	140	6.065	0.25	9.355	0.486	1.0	1.0
10	0	100	4.258	0.445	10.032	0.18	1.0	1.0
10	0	77	3.065	0.25	11.419	0.502	1.0	1.0
10	0	74	3.032	0.18	11.871	0.341	1.0	1.0
10	0	71	3.0	0.0	12.258	0.445	1.0	1.0
10	0	68	2.968	0.18	12.774	0.497	1.0	1.0
10	0	65	2.903	0.301	13.226	0.56	1.0	1.0
10	0	62	2.258	0.445	14.258	0.445	1.0	1.0
10	0	59	2.0	0.0	15.452	0.723	1.0	1.0
10	0	56	1.935	0.25	16.968	1.11	1.0	1.0
10	0	53	1.167	0.379	20.548	2.554	0.968	1.0
10	0	50	0.567	0.504	26.444	2.854	0.548	0.581
10	0	47	0.0	0.0	nan	nan	0.0	0.0
10	0	44	0.0	0.0	nan	nan	0.0	0.0
11	0	420	17.032	0.18	8.903	0.301	1.0	1.0
11	0	380	16.419	0.502	8.806	0.402	1.0	1.0
11	0	340	15.516	0.508	8.742	0.445	1.0	1.0
11	0	300	14.129	0.341	8.613	0.495	1.0	1.0
11	0	260	13.0	0.0	8.806	0.402	1.0	1.0
11	0	220	11.032	0.18	8.935	0.25	1.0	1.0
11	0	180	9.0	0.0	9.0	0.0	1.0	1.0
11	0	140	6.968	0.18	9.0	0.0	1.0	1.0
11	0	100	4.871	0.341	9.742	0.445	1.0	1.0
11	0	77	3.129	0.341	10.742	0.445	1.0	1.0
11	0	74	3.032	0.18	11.0	0.0	1.0	1.0
11	0	71	2.968	0.18	11.097	0.396	1.0	1.0
11	0	68	2.806	0.402	11.645	0.486	1.0	1.0
11	0	65	2.516	0.508	12.097	0.396	1.0	1.0
11	0	62	2.065	0.25	12.548	0.506	1.0	1.0
11	0	59	2.097	0.301	13.774	0.617	1.0	1.0
11	0	56	2.0	0.0	14.419	0.765	1.0	1.0
11	0	53	1.839	0.374	16.129	1.056	1.0	1.0
11	0	50	1.231	0.765	18.192	2.209	0.677	0.839
11	0	47	0.071	0.262	22.0	2.828	0.065	0.161
