row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	420	19.29	0.461	9.0	0.0	1.0	1.0
0	0	380	18.032	0.18	9.0	0.0	1.0	1.0
0	0	340	16.903	0.301	9.0	0.0	1.0	1.0
0	0	300	15.065	0.25	9.0	0.0	1.0	1.0
0	0	260	13.516	0.508	9.0	0.0	1.0	1.0
0	0	220	11.839	0.374	9.839	0.374	1.0	1.0
0	0	180	9.871	0.341	10.0	0.0	1.0	1.0
0	0	140	7.742	0.445	10.129	0.341	1.0	1.0
0	0	100	5.323	0.475	11.871	0.341	1.0	1.0
0	0	77	4.0	0.0	13.742	0.445	1.0	1.0
0	0	74	4.0	0.0	14.0	0.258	1.0	1.0
0	0	71	4.0	0.0	14.484	0.508	1.0	1.0
0	0	68	3.871	0.341	15.129	0.499	1.0	1.0
0	0	65	3.387	0.495	15.839	0.688	1.0	1.0
0	0	62	3.065	0.25	16.419	0.765	1.0	1.0
0	0	59	2.742	0.445	17.774	0.884	1.0	1.0
0	0	56	2.161	0.374	19.387	1.202	1.0	1.0
0	0	53	1.871	0.341	22.355	2.106	1.0	1.0
0	0	50	1.484	0.508	26.065	3.473	1.0	1.0
0	0	47	0.179	0.39	36.125	4.39	0.161	0.258
0	0	44	0.0	0.0	nan	nan	0.0	0.0
1	0	420	15.871	0.341	10.0	0.0	1.0	1.0
1	0	380	14.387	0.495	10.0	0.0	1.0	1.0
1	0	340	13.129	0.341	10.0	0.0	1.0	1.0
1	0	300	11.968	0.18	10.0	0.0	1.0	1.0
1	0	260	10.613	0.495	10.0	0.0	1.0	1.0
1	0	220	9.0	0.0	10.032	0.18	1.0	1.0
1	0	180	7.097	0.301	11.0	0.0	1.0	1.0
1	0	140	5.677	0.475	11.29	0.461	1.0	1.0
1	0	100	3.806	0.402	13.258	0.445	1.0	1.0
1	0	77	2.419	0.502	16.194	0.654	1.0	1.0
1	0	74	1.968	0.482	16.903	0.87	1.0	1.0
1	0	71	1.742	0.445	17.516	0.851	1.0	1.0
1	0	68	1.323	0.475	18.871	1.5	1.0	1.0
1	0	65	1.034	0.186	20.806	2.257	0.935	1.0
