voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	7.839	0.374	11.516	0.508	1.0	1.0
100	7.516	0.508	11.677	0.475	1.0	1.0
97	7.194	0.402	11.742	0.445	1.0	1.0
94	7.097	0.301	12.258	0.575	1.0	1.0
91	6.968	0.18	12.161	0.583	1.0	1.0
88	6.903	0.301	12.355	0.661	1.0	1.0
85	6.903	0.301	12.516	0.508	1.0	1.0
82	6.71	0.461	12.484	0.724	1.0	1.0
79	6.516	0.508	12.968	0.547	1.0	1.0
76	6.129	0.341	13.226	0.617	1.0	1.0
73	6.032	0.18	13.613	0.495	1.0	1.0
70	6.0	0.0	13.839	0.523	1.0	1.0
67	6.0	0.0	14.387	0.558	1.0	1.0
64	5.806	0.402	14.613	0.667	1.0	1.0
61	5.613	0.495	14.935	0.574	1.0	1.0
58	5.29	0.529	15.516	1.061	1.0	1.0
55	5.29	0.461	16.097	0.831	1.0	1.0
52	5.0	0.258	16.806	0.792	1.0	1.0
49	4.839	0.523	17.387	1.116	1.0	1.0
46	4.387	0.558	18.387	0.882	1.0	1.0
43	3.871	0.619	19.935	2.048	1.0	1.0
40	3.581	0.564	20.71	2.085	1.0	1.0
37	3.323	0.475	22.484	1.568	1.0	1.0
34	3.065	0.574	26.258	3.873	1.0	1.0
31	2.871	0.619	28.839	5.067	1.0	1.0
28	1.613	1.174	36.818	6.864	0.71	0.71
