voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
100	5.968	0.18	11.29	0.529	1.0	1.0
97	5.903	0.301	11.484	0.508	1.0	1.0
94	5.839	0.374	11.71	0.461	1.0	1.0
91	5.419	0.502	11.903	0.396	1.0	1.0
88	5.194	0.402	12.097	0.473	1.0	1.0
85	5.032	0.18	12.097	0.301	1.0	1.0
82	5.0	0.0	12.548	0.624	1.0	1.0
79	4.968	0.18	12.935	0.359	1.0	1.0
76	4.645	0.486	13.161	0.454	1.0	1.0
73	4.387	0.495	13.516	0.57	1.0	1.0
70	4.226	0.425	13.935	0.512	1.0	1.0
67	4.097	0.301	14.129	0.67	1.0	1.0
64	4.0	0.0	14.871	0.763	1.0	1.0
61	3.968	0.18	15.774	0.805	1.0	1.0
58	3.806	0.477	16.29	0.824	1.0	1.0
55	3.419	0.502	17.032	1.016	1.0	1.0
52	2.645	0.661	18.419	1.336	1.0	1.0
49	2.194	0.543	19.839	1.344	1.0	1.0
46	1.935	0.25	21.806	2.104	1.0	1.0
43	1.935	0.359	25.29	3.046	1.0	1.0
40	1.667	0.606	29.31	4.045	0.903	0.935
37	0.233	0.626	33.2	4.97	0.129	0.161
34	0.032	0.18	39.0	0.0	0.032	0.032
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
