row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	62	5.0	0.0	14.581	0.672	1.0	1.0
0	0	59	5.0	0.0	15.161	0.735	1.0	1.0
0	0	56	4.903	0.301	15.484	0.57	1.0	1.0
0	0	53	4.774	0.425	16.226	0.805	1.0	1.0
0	0	50	4.226	0.497	16.903	0.831	1.0	1.0
0	0	47	3.968	0.605	17.71	0.783	1.0	1.0
0	0	44	3.452	0.506	18.484	1.122	1.0	1.0
0	0	41	3.161	0.374	19.581	1.148	1.0	1.0
0	0	38	3.0	0.0	22.032	1.703	1.0	1.0
0	0	35	2.806	0.402	24.323	2.271	1.0	1.0
0	0	32	2.29	1.039	27.407	3.4	0.871	0.871
0	0	29	1.097	1.221	32.438	6.86	0.516	0.516
0	0	26	0.065	0.359	38.0	0.0	0.032	0.032
0	0	23	0.0	0.0	nan	nan	0.0	0.0
0	0	20	0.0	0.0	nan	nan	0.0	0.0
1	0	62	3.516	0.508	16.742	0.855	1.0	1.0
1	0	59	3.258	0.631	17.645	1.082	1.0	1.0
1	0	56	2.387	0.495	18.323	0.702	1.0	1.0
1	0	53	2.387	0.558	18.806	0.873	1.0	1.0
1	0	50	2.097	0.301	19.968	1.251	1.0	1.0
1	0	47	1.968	0.315	21.129	1.258	1.0	1.0
1	0	44	1.613	0.558	23.581	2.849	1.0	1.0
1	0	41	1.226	0.617	26.5	2.618	0.903	0.903
1	0	38	0.679	0.67	30.737	3.827	0.516	0.613
1	0	35	0.0	0.0	nan	nan	0.0	0.0
1	0	32	0.0	0.0	nan	nan	0.0	0.0
1	0	29	0.0	0.0	nan	nan	0.0	0.0
1	0	26	0.0	0.0	nan	nan	0.0	0.0
1	0	23	0.0	0.0	nan	nan	0.0	0.0
1	0	20	0.0	0.0	nan	nan	0.0	0.0
2	0	62	5.839	0.898	12.677	0.599	1.0	1.0
2	0	59	5.935	0.359	13.065	0.574	1.0	1.0
2	0	56	5.742	0.514	13.226	0.669	1.0	1.0
2	0	53	5.419	0.502	13.516	0.626	1.0	1.0
2	0	50	5.548	0.506	14.29	0.783	1.0	1.0
2	0	47	5.097	0.301	14.839	0.82	1.0	1.0
2	0	44	5.097	0.301	15.484	0.677	1.0	1.0
2	0	41	5.0	0.258	15.774	1.023	1.0	1.0
2	0	38	4.806	0.792	16.645	1.082	1.0	1.0
2	0	35	4.581	0.564	17.871	0.991	1.0	1.0
2	0	32	4.258	0.682	18.452	1.457	1.0	1.0
2	0	29	3.677	0.599	20.581	1.979	1.0	1.0
2	0	26	3.323	0.653	24.419	3.354	1.0	1.0
2	0	23	2.548	1.028	28.071	4.61	0.903	0.903
2	0	20	0.467	0.973	36.571	5.593	0.194	0.226
3	0	62	3.968	0.18	15.806	0.543	1.0	1.0
3	0	59	3.871	0.341	16.645	0.661	1.0	1.0
3	0	56	3.581	0.564	17.194	0.654	1.0	1.0
3	0	53	3.065	0.68	17.839	0.934	1.0	1.0
3	0	50	2.323	0.541	19.065	0.964	1.0	1.0
3	0	47	2.0	0.0	20.0	1.438	1.0	1.0
3	0	44	1.935	0.25	21.452	1.67	1.0	1.0
3	0	41	1.871	0.341	23.548	1.67	1.0	1.0
3	0	38	1.452	0.675	27.143	3.363	0.903	0.903
3	0	35	0.5	0.793	33.0	4.369	0.29	0.387
3	0	32	0.0	0.0	nan	nan	0.0	0.0
3	0	29	0.0	0.0	nan	nan	0.0	0.0
3	0	26	0.0	0.0	nan	nan	0.0	0.0
3	0	23	0.0	0.0	nan	nan	0.0	0.0
3	0	20	0.0	0.0	nan	nan	0.0	0.0
4	0	62	4.548	0.506	13.581	0.62	1.0	1.0
4	0	59	4.355	0.486	14.097	0.473	1.0	1.0
4	0	56	4.161	0.374	14.323	0.599	1.0	1.0
4	0	53	4.129	0.341	14.903	0.944	1.0	1.0
4	0	50	3.968	0.18	15.387	0.667	1.0	1.0
