row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	77	4.194	0.477	16.452	1.028	1.0	1.0
0	0	74	4.0	0.0	17.0	0.577	1.0	1.0
0	0	71	3.903	0.301	17.484	0.57	1.0	1.0
0	0	68	3.581	0.564	18.161	0.82	1.0	1.0
0	0	65	3.226	0.425	18.742	0.729	1.0	1.0
0	0	62	2.903	0.301	20.226	0.884	1.0	1.0
0	0	59	2.516	0.508	21.419	1.361	1.0	1.0
0	0	56	2.161	0.374	23.161	1.214	1.0	1.0
0	0	53	2.032	0.18	24.935	1.692	1.0	1.0
0	0	50	1.742	0.514	29.267	4.586	0.968	0.968
0	0	47	0.767	0.728	35.579	3.372	0.581	0.613
0	0	44	0.0	0.0	nan	nan	0.0	0.0
0	0	41	0.0	0.0	nan	nan	0.0	0.0
0	0	38	0.0	0.0	nan	nan	0.0	0.0
0	0	35	0.0	0.0	nan	nan	0.0	0.0
0	0	32	0.0	0.0	nan	nan	0.0	0.0
0	0	29	0.0	0.0	nan	nan	0.0	0.0
1	0	77	2.097	0.301	19.677	1.194	1.0	1.0
1	0	74	1.903	0.301	20.806	1.108	1.0	1.0
1	0	71	1.806	0.402	22.645	1.17	1.0	1.0
1	0	68	1.452	0.506	23.645	1.78	1.0	1.0
1	0	65	1.2	0.551	26.172	3.423	0.903	0.935
1	0	62	0.581	0.502	27.667	2.114	0.581	0.581
1	0	59	0.129	0.341	30.5	2.887	0.129	0.129
1	0	56	0.0	0.0	nan	nan	0.0	0.0
1	0	53	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	47	0.0	0.0	nan	nan	0.0	0.0
1	0	44	0.0	0.0	nan	nan	0.0	0.0
1	0	41	0.0	0.0	nan	nan	0.0	0.0
1	0	38	0.0	0.0	nan	nan	0.0	0.0
1	0	35	0.0	0.0	nan	nan	0.0	0.0
1	0	32	0.0	0.0	nan	nan	0.0	0.0
1	0	29	0.0	0.0	nan	nan	0.0	0.0
