row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	117	4.032	0.18	18.903	0.301	1.0	1.0
0	0	114	4.0	0.0	19.258	0.445	1.0	1.0
0	0	111	4.0	0.0	19.806	0.477	1.0	1.0
0	0	108	3.968	0.18	19.935	0.512	1.0	1.0
0	0	105	3.806	0.402	20.258	0.514	1.0	1.0
0	0	102	3.387	0.495	20.677	0.475	1.0	1.0
0	0	99	3.032	0.18	21.323	0.475	1.0	1.0
0	0	96	3.0	0.0	21.903	0.651	1.0	1.0
0	0	93	3.0	0.0	22.29	0.643	1.0	1.0
0	0	90	3.0	0.0	23.323	1.077	1.0	1.0
0	0	87	2.968	0.18	23.871	0.763	1.0	1.0
0	0	84	2.645	0.486	24.871	0.957	1.0	1.0
0	0	81	2.226	0.425	25.871	0.846	1.0	1.0
0	0	78	2.032	0.18	27.774	1.257	1.0	1.0
0	0	75	1.968	0.18	30.032	2.483	1.0	1.0
0	0	72	1.871	0.341	32.161	2.311	1.0	1.0
0	0	69	0.952	0.669	37.038	3.079	0.516	0.839
0	0	66	0.0	0.0	41.0	0.0	0.0	0.032
0	0	63	0.0	0.0	45.0	0.0	0.0	0.032
0	0	60	0.0	0.0	nan	nan	0.0	0.0
0	0	57	0.0	0.0	nan	nan	0.0	0.0
0	0	54	0.0	0.0	nan	nan	0.0	0.0
0	0	51	0.0	0.0	nan	nan	0.0	0.0
0	0	48	0.0	0.0	nan	nan	0.0	0.0
1	0	117	2.484	0.508	23.71	0.643	1.0	1.0
1	0	114	2.129	0.341	24.355	0.551	1.0	1.0
1	0	111	2.032	0.18	24.774	0.497	1.0	1.0
1	0	108	2.0	0.0	25.613	0.667	1.0	1.0
1	0	105	1.968	0.18	26.645	1.142	1.0	1.0
1	0	102	1.935	0.25	27.355	1.17	1.0	1.0
1	0	99	1.806	0.402	28.806	1.47	1.0	1.0
1	0	96	1.567	0.626	30.31	1.755	0.903	0.935
1	0	93	1.056	0.938	33.667	2.914	0.355	0.774
1	0	90	0.097	0.301	33.0	1.732	0.097	0.097
1	0	87	0.0	0.0	nan	nan	0.0	0.0
