row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	97	4.161	0.374	18.548	0.568	1.0	1.0
0	0	94	3.871	0.341	19.419	0.564	1.0	1.0
0	0	91	3.419	0.502	20.032	0.657	1.0	1.0
0	0	88	3.29	0.461	20.968	1.169	1.0	1.0
0	0	85	3.0	0.0	21.613	0.803	1.0	1.0
0	0	82	3.0	0.0	22.645	1.226	1.0	1.0
0	0	79	3.0	0.0	23.71	1.16	1.0	1.0
0	0	76	2.935	0.25	25.032	1.472	1.0	1.0
0	0	73	2.516	0.508	26.548	1.261	1.0	1.0
0	0	70	2.194	0.543	29.097	2.521	1.0	1.0
0	0	67	1.903	0.396	32.871	2.473	1.0	1.0
0	0	64	1.065	0.574	36.444	3.534	0.871	0.871
0	0	61	0.333	0.48	40.385	3.28	0.29	0.419
0	0	58	0.0	0.0	nan	nan	0.0	0.0
0	0	55	0.0	0.0	nan	nan	0.0	0.0
0	0	52	0.0	0.0	nan	nan	0.0	0.0
0	0	49	0.0	0.0	nan	nan	0.0	0.0
0	0	46	0.0	0.0	nan	nan	0.0	0.0
0	0	43	0.0	0.0	nan	nan	0.0	0.0
0	0	40	0.0	0.0	nan	nan	0.0	0.0
1	0	97	3.065	0.25	19.065	0.574	1.0	1.0
1	0	94	2.806	0.402	19.903	0.79	1.0	1.0
1	0	91	2.581	0.502	20.258	1.064	1.0	1.0
1	0	88	2.29	0.461	21.194	0.833	1.0	1.0
1	0	85	2.097	0.301	21.806	1.014	1.0	1.0
1	0	82	2.0	0.0	23.032	1.169	1.0	1.0
1	0	79	1.968	0.18	23.613	1.054	1.0	1.0
1	0	76	1.903	0.301	25.323	1.249	1.0	1.0
1	0	73	1.806	0.402	27.581	2.975	1.0	1.0
1	0	70	1.345	0.721	29.333	3.101	0.806	0.871
1	0	67	0.875	0.797	32.227	3.804	0.484	0.71
1	0	64	0.069	0.371	35.0	1.732	0.032	0.097
1	0	61	0.0	0.0	nan	nan	0.0	0.0
1	0	58	0.0	0.0	nan	nan	0.0	0.0
1	0	55	0.0	0.0	nan	nan	0.0	0.0
1	0	52	0.0	0.0	nan	nan	0.0	0.0
1	0	49	0.0	0.0	nan	nan	0.0	0.0
1	0	46	0.0	0.0	nan	nan	0.0	0.0
1	0	43	0.0	0.0	nan	nan	0.0	0.0
1	0	40	0.0	0.0	nan	nan	0.0	0.0
2	0	97	3.742	0.445	20.871	0.885	1.0	1.0
2	0	94	3.355	0.486	21.645	0.95	1.0	1.0
2	0	91	3.032	0.18	22.097	0.7	1.0	1.0
2	0	88	3.0	0.0	23.161	0.638	1.0	1.0
2	0	85	3.0	0.0	24.161	0.86	1.0	1.0
2	0	82	3.0	0.0	25.065	0.892	1.0	1.0
2	0	79	3.0	0.0	26.065	0.929	1.0	1.0
2	0	76	2.516	0.508	28.129	1.875	1.0	1.0
2	0	73	2.161	0.523	31.161	1.881	1.0	1.0
2	0	70	1.548	0.506	33.935	3.558	1.0	1.0
2	0	67	0.966	0.566	37.423	3.501	0.774	0.839
2	0	64	0.065	0.25	38.0	1.414	0.065	0.065
2	0	61	0.0	0.0	nan	nan	0.0	0.0
2	0	58	0.0	0.0	nan	nan	0.0	0.0
2	0	55	0.0	0.0	nan	nan	0.0	0.0
2	0	52	0.0	0.0	nan	nan	0.0	0.0
2	0	49	0.0	0.0	nan	nan	0.0	0.0
2	0	46	0.0	0.0	nan	nan	0.0	0.0
2	0	43	0.0	0.0	nan	nan	0.0	0.0
2	0	40	0.0	0.0	nan	nan	0.0	0.0
3	0	97	3.194	0.402	18.71	0.693	1.0	1.0
3	0	94	3.0	0.0	19.387	0.715	1.0	1.0
3	0	91	2.968	0.18	20.129	0.562	1.0	1.0
3	0	88	2.581	0.502	20.806	0.792	1.0	1.0
3	0	85	2.452	0.506	21.484	0.89	1.0	1.0
3	0	82	2.065	0.25	22.387	1.022	1.0	1.0
3	0	79	2.0	0.0	23.581	1.119	1.0	1.0
3	0	76	2.0	0.0	24.903	1.326	1.0	1.0
3	0	73	1.935	0.25	26.226	1.892	1.0	1.0
3	0	70	1.742	0.514	28.033	2.251	0.968	0.968
3	0	67	1.414	0.733	31.519	2.424	0.806	0.871
3	0	64	0.214	0.568	33.571	3.207	0.129	0.226
3	0	61	0.0	0.0	nan	nan	0.0	0.0
3	0	58	0.0	0.0	nan	nan	0.0	0.0
3	0	55	0.0	0.0	nan	nan	0.0	0.0
3	0	52	0.0	0.0	nan	nan	0.0	0.0
3	0	49	0.0	0.0	nan	nan	0.0	0.0
3	0	46	0.0	0.0	nan	nan	0.0	0.0
3	0	43	0.0	0.0	nan	nan	0.0	0.0
3	0	40	0.0	0.0	nan	nan	0.0	0.0
4	0	97	3.226	0.425	18.516	0.57	1.0	1.0
4	0	94	3.097	0.396	18.774	0.717	1.0	1.0
4	0	91	2.839	0.374	19.226	0.617	1.0	1.0
4	0	88	2.452	0.568	19.935	0.727	1.0	1.0
4	0	85	2.161	0.374	21.161	0.779	1.0	1.0
4	0	82	2.097	0.301	21.774	1.203	1.0	1.0
4	0	79	2.0	0.0	23.032	1.048	1.0	1.0
4	0	76	2.0	0.0	23.968	0.912	1.0	1.0
4	0	73	1.774	0.425	25.71	1.637	1.0	1.0
4	0	70	1.621	0.494	27.484	2.669	0.935	1.0
4	0	67	1.069	0.753	30.292	3.29	0.71	0.774
4	0	64	0.207	0.491	33.0	3.651	0.161	0.226
4	0	61	0.0	0.0	nan	nan	0.0	0.0
4	0	58	0.0	0.0	nan	nan	0.0	0.0
4	0	55	0.0	0.0	nan	nan	0.0	0.0
4	0	52	0.0	0.0	nan	nan	0.0	0.0
4	0	49	0.0	0.0	nan	nan	0.0	0.0
4	0	46	0.0	0.0	nan	nan	0.0	0.0
4	0	43	0.0	0.0	nan	nan	0.0	0.0
4	0	40	0.0	0.0	nan	nan	0.0	0.0
5	0	97	3.258	0.445	20.613	0.715	1.0	1.0
5	0	94	3.0	0.0	21.387	0.803	1.0	1.0
5	0	91	3.0	0.0	22.452	0.85	1.0	1.0
5	0	88	3.0	0.0	23.161	0.969	1.0	1.0
5	0	85	2.968	0.18	23.935	1.124	1.0	1.0
