row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	420	15.6	0.516	10.0	0.0	1.0	1.0
0	0	380	15.0	0.0	10.0	0.0	1.0	1.0
0	0	340	14.0	0.0	10.0	0.0	1.0	1.0
0	0	300	12.9	0.316	10.0	0.0	1.0	1.0
0	0	260	11.6	0.516	10.0	0.0	1.0	1.0
0	0	220	10.0	0.0	10.0	0.0	1.0	1.0
0	0	180	8.0	0.0	10.0	0.0	1.0	1.0
0	0	140	6.1	0.316	11.0	0.0	1.0	1.0
0	0	100	4.1	0.316	12.0	0.0	1.0	1.0
0	0	77	3.0	0.0	14.2	0.422	1.0	1.0
0	0	74	3.0	0.0	14.9	0.316	1.0	1.0
0	0	71	3.0	0.0	15.8	0.422	1.0	1.0
0	0	68	2.9	0.316	16.5	0.527	1.0	1.0
0	0	65	2.4	0.843	17.6	0.699	1.0	1.0
0	0	62	1.1	0.316	18.9	0.876	1.0	1.0
0	0	59	1.0	0.0	21.6	1.506	1.0	1.0
0	0	56	0.8	0.422	25.375	1.847	0.8	0.8
0	0	53	0.1	0.316	31.0	0.0	0.1	0.1
0	0	50	0.0	0.0	nan	nan	0.0	0.0
0	0	47	0.0	0.0	nan	nan	0.0	0.0
0	0	44	0.0	0.0	nan	nan	0.0	0.0
1	0	420	13.0	0.0	10.0	0.0	1.0	1.0
1	0	380	12.0	0.0	10.0	0.0	1.0	1.0
1	0	340	11.5	0.527	10.0	0.0	1.0	1.0
1	0	300	10.4	0.516	10.0	0.0	1.0	1.0
1	0	260	9.6	0.516	10.0	0.0	1.0	1.0
1	0	220	8.0	0.0	10.0	0.0	1.0	1.0
1	0	180	6.8	0.422	10.1	0.316	1.0	1.0
1	0	140	5.0	0.0	11.0	0.0	1.0	1.0
1	0	100	3.1	0.316	12.1	0.316	1.0	1.0
1	0	77	2.1	0.316	14.3	0.483	1.0	1.0
1	0	74	2.0	0.0	15.2	0.422	1.0	1.0
1	0	71	2.0	0.0	15.7	0.483	1.0	1.0
1	0	68	2.0	0.0	16.2	0.422	1.0	1.0
1	0	65	1.556	0.527	18.1	0.568	0.9	1.0
1	0	62	1.2	0.422	19.2	1.549	1.0	1.0
1	0	59	0.5	0.577	22.25	1.982	0.2	0.8
1	0	56	0.0	0.0	nan	nan	0.0	0.0
1	0	53	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	47	0.0	0.0	nan	nan	0.0	0.0
1	0	44	0.0	0.0	nan	nan	0.0	0.0
2	0	420	15.0	0.0	11.4	0.516	1.0	1.0
2	0	380	14.1	0.316	11.5	0.527	1.0	1.0
2	0	340	13.4	0.516	11.3	0.483	1.0	1.0
2	0	300	12.6	0.516	11.6	0.516	1.0	1.0
2	0	260	11.1	0.316	11.6	0.516	1.0	1.0
2	0	220	10.0	0.0	11.8	0.422	1.0	1.0
2	0	180	8.0	0.0	11.8	0.422	1.0	1.0
2	0	140	6.0	0.0	12.6	0.516	1.0	1.0
2	0	100	4.0	0.0	14.4	0.516	1.0	1.0
2	0	77	3.0	0.0	16.8	0.632	1.0	1.0
2	0	74	2.8	0.422	17.7	0.483	1.0	1.0
2	0	71	2.0	0.471	18.8	0.789	1.0	1.0
2	0	68	1.8	0.422	19.7	0.949	1.0	1.0
2	0	65	1.1	0.316	22.0	1.563	1.0	1.0
2	0	62	1.0	0.0	25.1	1.729	1.0	1.0
2	0	59	0.889	0.333	27.889	4.285	0.8	0.9
2	0	56	0.0	0.0	nan	nan	0.0	0.0
2	0	53	0.0	0.0	nan	nan	0.0	0.0
2	0	50	0.0	0.0	nan	nan	0.0	0.0
2	0	47	0.0	0.0	nan	nan	0.0	0.0
2	0	44	0.0	0.0	nan	nan	0.0	0.0
3	0	420	14.0	0.0	10.0	0.0	1.0	1.0
3	0	380	13.1	0.316	10.0	0.0	1.0	1.0
3	0	340	12.0	0.0	10.0	0.0	1.0	1.0
3	0	300	11.2	0.422	10.0	0.0	1.0	1.0
3	0	260	10.0	0.0	10.0	0.0	1.0	1.0
3	0	220	8.9	0.316	10.0	0.0	1.0	1.0
3	0	180	7.0	0.0	10.1	0.316	1.0	1.0
3	0	140	5.6	0.516	11.0	0.0	1.0	1.0
3	0	100	3.8	0.422	12.0	0.0	1.0	1.0
3	0	77	2.6	0.516	14.4	0.516	1.0	1.0
3	0	74	2.1	0.316	15.0	0.0	1.0	1.0
