row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	78	3.0	0.0	12.161	0.374	1.0	1.0
0	0	76	3.0	0.0	12.484	0.508	1.0	1.0
0	0	74	3.0	0.0	12.903	0.301	1.0	1.0
0	0	72	3.0	0.0	13.226	0.425	1.0	1.0
0	0	70	2.968	0.18	13.548	0.568	1.0	1.0
0	0	68	2.613	0.495	14.226	0.617	1.0	1.0
0	0	66	2.29	0.461	14.839	0.583	1.0	1.0
0	0	64	2.065	0.25	15.323	0.791	1.0	1.0
0	0	62	2.0	0.0	16.226	0.762	1.0	1.0
0	0	60	1.742	0.445	17.548	1.06	1.0	1.0
0	0	58	1.387	0.495	19.258	1.897	1.0	1.0
0	0	56	0.968	0.315	22.379	2.513	0.935	0.935
0	0	54	0.586	0.501	26.211	3.63	0.548	0.613
0	0	52	0.0	0.0	nan	nan	0.0	0.0
0	0	50	0.0	0.0	nan	nan	0.0	0.0
0	0	48	0.0	0.0	nan	nan	0.0	0.0
0	0	46	0.0	0.0	nan	nan	0.0	0.0
1	0	78	2.032	0.18	12.129	0.341	1.0	1.0
1	0	76	2.0	0.0	12.419	0.502	1.0	1.0
1	0	74	2.0	0.0	12.935	0.25	1.0	1.0
1	0	72	2.0	0.0	13.129	0.341	1.0	1.0
1	0	70	2.0	0.0	13.677	0.541	1.0	1.0
1	0	68	2.0	0.0	14.065	0.442	1.0	1.0
1	0	66	1.968	0.18	14.613	0.715	1.0	1.0
1	0	64	1.903	0.301	15.419	0.765	1.0	1.0
1	0	62	1.448	0.506	16.452	1.234	0.935	1.0
1	0	60	1.435	0.507	17.516	1.288	0.742	1.0
1	0	58	0.348	0.573	19.867	3.27	0.226	0.484
1	0	56	0.033	0.183	20.5	4.95	0.032	0.065
1	0	54	0.0	0.0	nan	nan	0.0	0.0
1	0	52	0.0	0.0	nan	nan	0.0	0.0
1	0	50	0.0	0.0	nan	nan	0.0	0.0
1	0	48	0.0	0.0	nan	nan	0.0	0.0
1	0	46	0.0	0.0	nan	nan	0.0	0.0
2	0	78	3.0	0.0	15.161	0.523	1.0	1.0
2	0	76	3.0	0.0	15.419	0.564	1.0	1.0
2	0	74	2.935	0.25	16.161	0.82	1.0	1.0
2	0	72	2.806	0.402	16.742	0.631	1.0	1.0
2	0	70	2.613	0.495	17.097	0.651	1.0	1.0
2	0	68	1.71	0.643	18.032	1.14	1.0	1.0
2	0	66	1.323	0.475	18.774	1.146	1.0	1.0
2	0	64	1.032	0.18	20.355	1.561	1.0	1.0
2	0	62	1.032	0.18	22.194	1.973	1.0	1.0
2	0	60	0.931	0.258	26.0	3.625	0.871	0.935
2	0	58	0.6	0.498	26.632	2.753	0.581	0.613
2	0	56	0.032	0.18	31.0	0.0	0.032	0.032
2	0	54	0.0	0.0	nan	nan	0.0	0.0
2	0	52	0.0	0.0	nan	nan	0.0	0.0
2	0	50	0.0	0.0	nan	nan	0.0	0.0
2	0	48	0.0	0.0	nan	nan	0.0	0.0
2	0	46	0.0	0.0	nan	nan	0.0	0.0
3	0	78	2.323	0.475	12.129	0.341	1.0	1.0
3	0	76	2.065	0.25	12.484	0.57	1.0	1.0
3	0	74	2.032	0.18	12.968	0.18	1.0	1.0
3	0	72	2.0	0.0	13.065	0.442	1.0	1.0
3	0	70	2.0	0.0	13.613	0.495	1.0	1.0
3	0	68	2.0	0.0	14.226	0.669	1.0	1.0
3	0	66	2.0	0.0	14.581	0.62	1.0	1.0
3	0	64	1.935	0.25	15.323	0.541	1.0	1.0
3	0	62	1.8	0.407	16.677	1.045	0.968	1.0
3	0	60	1.667	0.555	17.7	1.418	0.839	0.968
3	0	58	1.2	0.561	19.833	1.802	0.452	0.968
3	0	56	0.045	0.213	21.9	2.601	0.032	0.323
3	0	54	0.0	0.0	25.0	0.0	0.0	0.032
3	0	52	0.0	0.0	nan	nan	0.0	0.0
3	0	50	0.0	0.0	nan	nan	0.0	0.0
3	0	48	0.0	0.0	nan	nan	0.0	0.0
3	0	46	0.0	0.0	nan	nan	0.0	0.0
4	0	78	2.097	0.301	12.032	0.18	1.0	1.0
4	0	76	2.032	0.18	12.29	0.461	1.0	1.0
4	0	74	2.0	0.0	12.548	0.506	1.0	1.0
4	0	72	2.0	0.0	12.935	0.359	1.0	1.0
4	0	70	2.0	0.0	13.097	0.301	1.0	1.0
4	0	68	2.0	0.0	13.71	0.529	1.0	1.0
4	0	66	2.0	0.0	14.032	0.482	1.0	1.0
4	0	64	1.968	0.18	14.452	0.675	1.0	1.0
4	0	62	1.8	0.407	15.742	0.93	0.968	1.0
4	0	60	1.393	0.497	16.968	1.08	0.903	1.0
4	0	58	1.273	0.631	17.793	1.207	0.645	0.935
4	0	56	0.0	0.0	22.1	2.514	0.0	0.323
4	0	54	0.0	0.0	21.0	0.0	0.0	0.032
4	0	52	0.0	0.0	nan	nan	0.0	0.0
4	0	50	0.0	0.0	nan	nan	0.0	0.0
4	0	48	0.0	0.0	nan	nan	0.0	0.0
4	0	46	0.0	0.0	nan	nan	0.0	0.0
5	0	78	3.0	0.0	13.032	0.18	1.0	1.0
5	0	76	2.903	0.301	13.516	0.508	1.0	1.0
5	0	74	2.419	0.502	13.935	0.359	1.0	1.0
5	0	72	2.29	0.461	14.29	0.529	1.0	1.0
5	0	70	2.0	0.0	15.0	0.516	1.0	1.0
5	0	68	2.0	0.0	15.645	0.709	1.0	1.0
5	0	66	1.968	0.18	16.484	0.677	1.0	1.0
5	0	64	1.871	0.341	17.581	1.089	1.0	1.0
5	0	62	1.258	0.445	19.226	1.407	1.0	1.0
5	0	60	1.097	0.301	20.871	1.893	1.0	1.0
5	0	58	0.926	0.385	24.321	2.326	0.774	0.903
5	0	56	0.0	0.0	26.5	0.707	0.0	0.065
5	0	54	0.0	0.0	nan	nan	0.0	0.0
5	0	52	0.0	0.0	nan	nan	0.0	0.0
5	0	50	0.0	0.0	nan	nan	0.0	0.0
5	0	48	0.0	0.0	nan	nan	0.0	0.0
5	0	46	0.0	0.0	nan	nan	0.0	0.0
6	0	78	3.0	0.0	13.0	0.0	1.0	1.0
6	0	76	3.0	0.0	13.129	0.341	1.0	1.0
6	0	74	2.806	0.402	13.581	0.502	1.0	1.0
6	0	72	2.387	0.495	14.0	0.632	1.0	1.0
6	0	70	2.065	0.359	14.71	1.039	1.0	1.0
6	0	68	2.032	0.18	14.903	0.597	1.0	1.0
6	0	66	2.0	0.0	15.645	0.798	1.0	1.0
6	0	64	1.968	0.18	16.419	0.72	1.0	1.0
6	0	62	1.774	0.425	17.581	0.923	1.0	1.0
6	0	60	1.581	0.502	18.226	0.884	1.0	1.0
6	0	58	1.032	0.18	20.581	1.628	1.0	1.0
6	0	56	0.931	0.258	22.793	1.634	0.871	0.935
6	0	54	0.12	0.332	25.222	1.394	0.097	0.29
6	0	52	0.0	0.0	nan	nan	0.0	0.0
6	0	50	0.0	0.0	nan	nan	0.0	0.0
6	0	48	0.0	0.0	nan	nan	0.0	0.0
6	0	46	0.0	0.0	nan	nan	0.0	0.0
7	0	78	2.935	0.25	13.0	0.447	1.0	1.0
7	0	76	2.71	0.461	13.032	0.407	1.0	1.0
7	0	74	2.258	0.445	13.419	0.502	1.0	1.0
7	0	72	2.032	0.18	13.871	0.499	1.0	1.0
7	0	70	2.032	0.18	14.194	0.543	1.0	1.0
7	0	68	2.032	0.18	14.806	0.654	1.0	1.0
7	0	66	2.0	0.0	15.129	0.806	1.0	1.0
7	0	64	1.935	0.25	15.935	0.929	1.0	1.0
7	0	62	1.935	0.25	16.839	0.934	1.0	1.0
7	0	60	1.767	0.43	17.903	2.427	0.968	1.0
7	0	58	1.25	0.737	19.0	1.732	0.645	0.871
7	0	56	0.211	0.535	22.067	2.685	0.097	0.484
7	0	54	0.0	0.0	24.667	1.528	0.0	0.097
7	0	52	0.0	0.0	nan	nan	0.0	0.0
7	0	50	0.0	0.0	nan	nan	0.0	0.0
7	0	48	0.0	0.0	nan	nan	0.0	0.0
7	0	46	0.0	0.0	nan	nan	0.0	0.0
8	0	78	3.0	0.0	12.903	0.301	1.0	1.0
8	0	76	2.903	0.301	13.161	0.374	1.0	1.0
8	0	74	2.516	0.508	13.548	0.506	1.0	1.0
8	0	72	2.323	0.475	13.871	0.341	1.0	1.0
8	0	70	2.0	0.0	14.419	0.502	1.0	1.0
8	0	68	2.0	0.0	14.968	0.605	1.0	1.0
8	0	66	2.0	0.0	15.452	0.624	1.0	1.0
8	0	64	2.0	0.0	16.097	0.597	1.0	1.0
8	0	62	1.839	0.374	17.484	1.208	1.0	1.0
8	0	60	1.419	0.502	19.194	1.759	1.0	1.0
8	0	58	1.065	0.25	20.548	2.127	1.0	1.0
8	0	56	0.759	0.511	23.696	3.225	0.677	0.742
8	0	54	0.172	0.384	25.143	2.854	0.161	0.226
8	0	52	0.0	0.0	nan	nan	0.0	0.0
8	0	50	0.0	0.0	nan	nan	0.0	0.0
8	0	48	0.0	0.0	nan	nan	0.0	0.0
8	0	46	0.0	0.0	nan	nan	0.0	0.0
9	0	78	3.097	0.301	12.968	0.547	1.0	1.0
9	0	76	3.0	0.0	13.355	0.486	1.0	1.0
9	0	74	3.0	0.0	13.742	0.514	1.0	1.0
9	0	72	3.0	0.0	14.226	0.56	1.0	1.0
9	0	70	2.903	0.301	14.774	0.669	1.0	1.0
9	0	68	2.645	0.486	15.677	0.599	1.0	1.0
9	0	66	2.29	0.529	16.484	0.811	1.0	1.0
9	0	64	1.742	0.514	17.774	0.956	1.0	1.0
9	0	62	1.226	0.425	19.323	1.423	1.0	1.0
9	0	60	0.968	0.18	21.6	2.094	0.968	0.968
9	0	58	0.742	0.445	24.565	2.253	0.742	0.742
9	0	56	0.129	0.341	25.25	1.258	0.129	0.129
9	0	54	0.0	0.0	nan	nan	0.0	0.0
9	0	52	0.0	0.0	nan	nan	0.0	0.0
9	0	50	0.0	0.0	nan	nan	0.0	0.0
9	0	48	0.0	0.0	nan	nan	0.0	0.0
9	0	46	0.0	0.0	nan	nan	0.0	0.0
10	0	78	2.968	0.18	12.645	0.486	1.0	1.0
10	0	76	2.774	0.425	13.032	0.315	1.0	1.0
10	0	74	2.516	0.508	13.516	0.57	1.0	1.0
10	0	72	2.161	0.374	13.774	0.425	1.0	1.0
10	0	70	2.0	0.0	14.129	0.562	1.0	1.0
10	0	68	2.0	0.0	15.032	0.657	1.0	1.0
10	0	66	2.0	0.0	15.548	0.568	1.0	1.0
10	0	64	1.968	0.18	16.613	1.054	1.0	1.0
10	0	62	1.645	0.486	18.097	1.446	1.0	1.0
10	0	60	1.067	0.254	20.806	2.151	0.968	1.0
10	0	58	0.923	0.392	23.036	2.887	0.742	0.903
10	0	56	0.214	0.418	24.111	1.691	0.194	0.29
10	0	54	0.0	0.0	nan	nan	0.0	0.0
10	0	52	0.0	0.0	nan	nan	0.0	0.0
10	0	50	0.0	0.0	nan	nan	0.0	0.0
10	0	48	0.0	0.0	nan	nan	0.0	0.0
10	0	46	0.0	0.0	nan	nan	0.0	0.0
11	0	78	2.742	0.445	12.032	0.315	1.0	1.0
11	0	76	2.645	0.486	12.194	0.402	1.0	1.0
11	0	74	2.29	0.461	12.581	0.502	1.0	1.0
11	0	72	2.097	0.301	13.129	0.619	1.0	1.0
11	0	70	2.032	0.18	13.226	0.617	1.0	1.0
11	0	68	2.0	0.0	13.935	0.574	1.0	1.0
11	0	66	1.968	0.18	14.71	0.643	1.0	1.0
11	0	64	2.0	0.0	15.355	0.798	1.0	1.0
11	0	62	1.867	0.346	16.613	1.358	0.968	1.0
11	0	60	1.615	0.571	17.7	1.95	0.806	0.968
11	0	58	0.579	0.607	20.091	2.975	0.323	0.71
11	0	56	0.034	0.186	22.333	2.082	0.032	0.097
11	0	54	0.0	0.0	nan	nan	0.0	0.0
11	0	52	0.0	0.0	nan	nan	0.0	0.0
11	0	50	0.0	0.0	nan	nan	0.0	0.0
11	0	48	0.0	0.0	nan	nan	0.0	0.0
11	0	46	0.0	0.0	nan	nan	0.0	0.0
12	0	78	3.0	0.0	13.935	0.359	1.0	1.0
12	0	76	3.0	0.0	14.129	0.428	1.0	1.0
12	0	74	3.0	0.0	14.71	0.461	1.0	1.0
12	0	72	2.968	0.18	15.032	0.407	1.0	1.0
12	0	70	2.871	0.341	15.581	0.502	1.0	1.0
12	0	68	2.419	0.502	16.484	0.811	1.0	1.0
12	0	66	2.0	0.258	17.258	0.729	1.0	1.0
12	0	64	1.516	0.508	18.29	1.131	1.0	1.0
12	0	62	1.0	0.0	20.387	1.498	1.0	1.0
12	0	60	1.0	0.0	22.355	1.836	1.0	1.0
12	0	58	0.645	0.486	25.1	2.573	0.645	0.645
12	0	56	0.167	0.379	27.167	3.764	0.161	0.194
12	0	54	0.0	0.0	nan	nan	0.0	0.0
12	0	52	0.0	0.0	nan	nan	0.0	0.0
12	0	50	0.0	0.0	nan	nan	0.0	0.0
12	0	48	0.0	0.0	nan	nan	0.0	0.0
12	0	46	0.0	0.0	nan	nan	0.0	0.0
13	0	78	2.194	0.402	11.806	0.402	1.0	1.0
13	0	76	2.065	0.25	11.968	0.18	1.0	1.0
13	0	74	2.032	0.18	12.194	0.402	1.0	1.0
13	0	72	2.0	0.0	12.645	0.551	1.0	1.0
13	0	70	2.0	0.0	12.968	0.315	1.0	1.0
13	0	68	2.0	0.0	13.355	0.486	1.0	1.0
13	0	66	2.0	0.0	14.032	0.605	1.0	1.0
13	0	64	2.0	0.0	14.935	0.814	1.0	1.0
13	0	62	2.0	0.0	15.484	0.769	1.0	1.0
13	0	60	1.968	0.18	16.581	0.992	1.0	1.0
13	0	58	1.519	0.643	18.207	1.84	0.806	0.935
13	0	56	0.52	0.714	21.5	2.852	0.323	0.516
13	0	54	0.0	0.0	24.667	1.155	0.0	0.097
13	0	52	0.0	0.0	nan	nan	0.0	0.0
13	0	50	0.0	0.0	nan	nan	0.0	0.0
13	0	48	0.0	0.0	nan	nan	0.0	0.0
13	0	46	0.0	0.0	nan	nan	0.0	0.0
14	0	78	2.548	0.506	11.548	0.506	1.0	1.0
14	0	76	2.355	0.486	11.903	0.396	1.0	1.0
14	0	74	2.097	0.301	12.097	0.396	1.0	1.0
