row,col,metric,n_points,threshold,dispersion,success
0,0,efficiency_toa,20,61.51172446144007,2.021658054820845,True
0,1,efficiency_toa,20,65.1522527686098,3.2226892751288334,True
0,2,efficiency_toa,20,63.562263010667934,0.9542670500237668,True
0,3,efficiency_toa,20,64.4322536052072,1.8466092859579677,True
0,4,efficiency_toa,20,64.77879949851894,1.1989521145233355,True
0,5,efficiency_toa,20,61.502670472084404,0.5822999793079934,True
0,6,efficiency_toa,20,64.06756891746787,1.41972685580672,True
0,7,efficiency_toa,20,67.76169505242328,1.9386296702506536,True
1,0,efficiency_toa,20,66.1311079117812,1.8127523551077138,True
1,1,efficiency_toa,20,65.70453560103502,1.7163407840924272,True
1,2,efficiency_toa,20,67.3562847823725,1.8985628729691884,True
1,3,efficiency_toa,20,63.96886983108874,1.8015961408706238,True
1,4,efficiency_toa,20,66.04628891497545,1.1047873636476215,True
1,5,efficiency_toa,20,67.19246767725296,0.670276496516193,True
1,6,efficiency_toa,20,64.8457672478913,2.078662391528902,True
1,7,efficiency_toa,20,64.77890906219459,1.1991378408084923,True
2,0,efficiency_toa,20,65.81368923018331,1.1978539885814528,True
2,1,efficiency_toa,20,64.98787597471261,1.7644978911140032,True
2,2,efficiency_toa,20,66.60142238767119,1.7225123674629148,True
2,3,efficiency_toa,20,66.0995339104967,1.385590733714393,True
2,4,efficiency_toa,20,68.09950308545844,1.4723645704200359,True
2,5,efficiency_toa,20,66.13365692982339,1.1519027707317755,True
2,6,efficiency_toa,20,65.20611601773258,2.1408836685852504,True
2,7,efficiency_toa,20,66.20107023884465,1.2536492031397748,True
3,0,efficiency_toa,20,65.20086842025891,1.5973495632294428,True
3,1,efficiency_toa,20,64.98787597471261,1.7644978911140032,True
3,2,efficiency_toa,20,65.00021574525915,1.5370612727405983,True
3,3,efficiency_toa,20,64.02170479800827,1.9918195258577154,True
3,4,efficiency_toa,20,65.51121311819237,2.005091225063569,True
3,5,efficiency_toa,20,66.29128382469683,1.3077775369047508,True
3,6,efficiency_toa,20,64.39960009772483,1.3827167618055847,True
3,7,efficiency_toa,20,67.19246767725296,0.670276496516193,True
4,0,efficiency_toa,20,65.50000000001918,1.966234432743122,True
4,1,efficiency_toa,20,62.60352298765089,1.234577488006246,True
4,2,efficiency_toa,20,64.22306148116803,2.1719900104511893,True
4,3,efficiency_toa,20,64.63584799929113,1.9792262321263645,True
4,4,efficiency_toa,20,62.80166500611053,1.5908375038504312,True
4,5,efficiency_toa,20,65.70878518893848,1.9536383807298492,True
