row	col	t_up_tuner	tdac_tuner
0	0	0	14
0	1	1	20
0	2	0	6
0	3	1	15
0	4	0	12
0	5	0	12
0	6	0	26
0	7	1	21
1	0	1	14
1	1	0	7
1	2	1	18
1	3	0	14
1	4	0	16
1	5	1	19
1	6	0	13
1	7	0	11
2	0	0	15
2	1	1	3
2	2	1	14
2	3	1	20
2	4	1	20
2	5	1	18
2	6	0	9
2	7	1	25
3	0	1	3
3	1	0	3
3	2	1	0
3	3	1	0
3	4	0	18
3	5	1	21
3	6	1	22
3	7	1	16
4	0	1	0
4	1	0	21
4	2	0	11
4	3	0	2
4	4	0	25
4	5	0	7
4	6	0	9
4	7	1	11
5	0	0	7
5	1	1	29
5	2	1	7
5	3	1	23
5	4	0	10
5	5	1	12
5	6	1	4
5	7	1	21
6	0	0	5
6	1	1	1
6	2	0	7
6	3	0	11
6	4	0	9
6	5	1	11
6	6	0	13
6	7	0	6
7	0	0	23
7	1	0	13
7	2	1	6
7	3	0	2
7	4	0	12
7	5	1	13
7	6	0	4
7	7	1	9
8	0	0	12
8	1	0	4
8	2	1	4
8	3	1	10
8	4	0	23
8	5	1	10
8	6	1	1
8	7	0	15
9	0	0	8
9	1	1	16
9	2	0	16
9	3	0	30
9	4	0	1
9	5	1	8
9	6	1	9
9	7	0	0
10	0	0	4
10	1	0	7
10	2	0	11
10	3	0	21
10	4	1	15
10	5	0	20
10	6	0	6
10	7	1	17
11	0	0	9
11	1	0	15
11	2	1	17
11	3	0	10
11	4	1	10
11	5	1	11
11	6	0	5
11	7	0	3
12	0	0	13
12	1	1	21
12	2	0	10
12	3	1	24
12	4	1	3
12	5	0	16
12	6	0	7
12	7	1	7
13	0	1	14
13	1	1	3
13	2	1	9
13	3	1	26
13	4	0	4
13	5	1	38
13	6	0	1
13	7	1	21
14	0	1	3
14	1	1	12
14	2	1	17
14	3	0	13
14	4	0	8
14	5	1	12
14	6	0	18
14	7	0	2
15	0	1	18
15	1	1	8
15	2	0	11
15	3	1	20
15	4	0	2
15	5	0	13
15	6	1	30
15	7	0	18
16	0	0	16
16	1	0	1
16	2	0	11
16	3	0	0
16	4	0	8
16	5	1	43
16	6	0	32
16	7	0	9
17	0	0	13
17	1	0	16
17	2	1	0
17	3	1	10
17	4	0	2
17	5	0	31
17	6	1	20
17	7	1	0
18	0	0	5
18	1	1	25
18	2	1	9
18	3	1	29
18	4	0	15
18	5	1	9
18	6	1	1
18	7	1	20
19	0	0	32
19	1	0	7
19	2	1	9
19	3	1	30
19	4	0	18
19	5	1	26
19	6	0	7
19	7	1	1
20	0	0	15
20	1	0	7
20	2	1	9
20	3	1	3
20	4	1	14
20	5	0	7
20	6	0	7
20	7	0	2
21	0	1	5
21	1	1	25
21	2	1	4
21	3	0	3
21	4	1	1
21	5	0	14
21	6	0	1
21	7	1	19
22	0	0	25
22	1	0	15
22	2	0	1
22	3	0	21
22	4	1	0
22	5	0	12
22	6	1	8
22	7	0	11
23	0	0	10
23	1	1	28
23	2	1	1
23	3	0	19
23	4	1	14
23	5	0	0
23	6	0	1
23	7	0	14
24	0	1	1
24	1	1	14
24	2	0	2
24	3	1	18
24	4	0	13
24	5	0	0
24	6	0	14
24	7	0	16
25	0	0	34
25	1	1	38
25	2	0	8
25	3	1	27
25	4	0	13
25	5	1	7
25	6	0	18
25	7	0	4
26	0	0	15
26	1	0	9
26	2	0	12
26	3	1	9
26	4	0	3
26	5	1	1
26	6	1	2
26	7	0	12
27	0	1	19
27	1	0	16
27	2	1	5
27	3	1	0
27	4	0	19
27	5	1	12
27	6	1	5
27	7	0	13
28	0	1	2
28	1	1	9
28	2	0	9
28	3	0	20
28	4	0	5
28	5	1	6
28	6	0	5
28	7	0	5
29	0	1	20
29	1	0	8
29	2	0	13
29	3	0	20
29	4	1	18
29	5	0	6
29	6	0	21
29	7	1	14
30	0	0	0
30	1	1	8
30	2	1	6
30	3	1	26
30	4	0	7
30	5	1	5
30	6	0	5
30	7	0	13
31	0	1	34
31	1	0	2
31	2	1	3
31	3	1	11
31	4	1	11
31	5	0	7
31	6	0	5
31	7	1	2
