row	col	t_up_tuner	tdac_tuner
0	0	0	7
0	1	1	11
0	2	0	3
0	3	1	8
0	4	0	7
0	5	0	6
0	6	0	14
0	7	1	11
1	0	1	7
1	1	0	4
1	2	1	10
1	3	0	7
1	4	0	8
1	5	1	10
1	6	0	7
1	7	0	6
2	0	0	8
2	1	1	1
2	2	1	7
2	3	1	11
2	4	1	11
2	5	1	10
2	6	0	5
2	7	1	14
3	0	1	2
3	1	0	1
3	2	0	0
3	3	0	0
3	4	0	10
3	5	1	12
3	6	1	12
3	7	1	9
4	0	0	0
4	1	0	11
4	2	0	6
4	3	0	1
4	4	0	14
4	5	0	4
4	6	0	5
4	7	1	6
5	0	0	4
5	1	1	16
5	2	1	4
5	3	1	13
5	4	0	5
5	5	1	6
5	6	1	2
5	7	1	11
6	0	0	3
6	1	1	1
6	2	0	4
6	3	0	6
6	4	0	5
6	5	1	6
6	6	0	7
6	7	0	3
7	0	0	13
7	1	0	7
7	2	1	3
7	3	0	1
7	4	0	7
7	5	1	7
7	6	0	2
7	7	1	5
8	0	0	6
8	1	0	2
8	2	1	2
8	3	1	5
8	4	0	13
8	5	1	5
8	6	0	0
8	7	0	8
9	0	0	4
9	1	1	9
9	2	0	9
9	3	0	16
9	4	0	0
9	5	1	4
9	6	1	5
9	7	0	0
10	0	0	2
10	1	0	4
10	2	0	6
10	3	0	12
10	4	1	8
10	5	0	11
10	6	0	3
10	7	1	9
11	0	0	5
11	1	0	8
11	2	1	9
11	3	0	5
11	4	1	5
11	5	1	6
11	6	0	2
11	7	0	1
12	0	0	7
12	1	1	11
12	2	0	5
12	3	1	13
12	4	1	2
12	5	0	9
12	6	0	4
12	7	1	3
13	0	1	8
13	1	1	1
13	2	1	5
13	3	1	14
13	4	0	2
13	5	1	21
13	6	0	1
13	7	1	11
14	0	1	1
14	1	1	6
14	2	1	9
14	3	0	7
14	4	0	4
14	5	1	7
14	6	0	10
14	7	0	1
15	0	1	10
15	1	1	4
15	2	0	6
15	3	1	11
15	4	0	1
15	5	0	7
15	6	1	17
15	7	0	10
16	0	0	9
16	1	0	0
16	2	0	6
16	3	0	0
16	4	0	4
16	5	1	24
16	6	0	17
16	7	0	5
17	0	0	7
17	1	0	8
17	2	0	0
17	3	1	5
17	4	0	1
17	5	0	17
17	6	1	11
17	7	0	0
18	0	0	2
18	1	1	14
18	2	1	5
18	3	1	16
18	4	0	8
18	5	1	5
18	6	1	1
18	7	1	11
19	0	0	17
19	1	0	4
19	2	1	5
19	3	1	16
19	4	0	10
19	5	1	14
19	6	0	4
19	7	0	0
20	0	0	8
20	1	0	4
20	2	1	5
20	3	1	1
20	4	1	8
20	5	0	4
20	6	0	4
20	7	0	1
21	0	1	2
21	1	1	14
21	2	1	2
21	3	0	2
21	4	0	0
21	5	0	7
21	6	0	0
21	7	1	10
22	0	0	14
22	1	0	8
22	2	0	0
22	3	0	12
22	4	0	0
22	5	0	7
22	6	1	4
22	7	0	6
23	0	0	5
23	1	1	15
23	2	0	0
23	3	0	11
23	4	1	8
23	5	0	0
23	6	0	0
23	7	0	8
24	0	1	1
24	1	1	8
24	2	0	1
24	3	1	10
24	4	0	7
24	5	0	0
24	6	0	7
24	7	0	9
25	0	0	19
25	1	1	21
25	2	0	4
25	3	1	15
25	4	0	7
25	5	1	4
25	6	0	10
25	7	0	2
26	0	0	8
26	1	0	5
26	2	0	7
26	3	1	5
26	4	0	2
26	5	1	1
26	6	1	1
26	7	0	6
27	0	1	10
27	1	0	9
27	2	1	3
27	3	0	0
27	4	0	11
27	5	1	6
27	6	1	2
27	7	0	7
28	0	1	1
28	1	1	5
28	2	0	5
28	3	0	11
28	4	0	3
28	5	1	3
28	6	0	3
28	7	0	2
29	0	1	11
29	1	0	4
29	2	0	7
29	3	0	11
29	4	1	10
29	5	0	3
29	6	0	11
29	7	1	8
30	0	0	0
30	1	1	4
30	2	1	3
30	3	1	14
30	4	0	4
30	5	1	3
30	6	0	3
30	7	0	7
31	0	1	19
31	1	0	1
31	2	1	1
31	3	1	6
31	4	1	6
31	5	0	4
31	6	0	2
31	7	1	1
