voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
50	1.45	0.77	19.522	1.56	0.9	0.9
49	1.31	0.526	20.4	1.55	1.0	1.0
48	1.212	0.435	21.15	2.455	0.99	1.0
47	1.031	0.173	22.91	2.716	0.98	1.0
46	0.935	0.247	24.926	4.192	0.87	0.94
45	0.865	0.375	26.655	4.585	0.76	0.87
44	0.488	0.503	29.912	5.705	0.41	0.57
43	0.172	0.407	29.0	6.619	0.15	0.22
42	0.031	0.174	33.0	6.693	0.03	0.06
41	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
39	0.02	0.141	28.5	6.364	0.02	0.02
38	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
36	0.0	0.0	nan	nan	0.0	0.0
35	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
33	0.0	0.0	nan	nan	0.0	0.0
32	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
30	0.0	0.0	nan	nan	0.0	0.0
