voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
50	1.16	0.631	19.9	2.509	0.9	0.9
49	1.122	0.329	21.41	3.124	0.98	1.0
48	1.101	0.303	20.88	1.695	0.99	1.0
47	1.041	0.247	22.626	3.241	0.96	0.99
46	0.905	0.368	25.778	5.986	0.74	0.9
45	0.753	0.513	26.883	5.705	0.58	0.77
44	0.326	0.471	27.658	6.196	0.3	0.38
43	0.032	0.177	33.778	5.472	0.03	0.09
42	0.0	0.0	39.0	0.0	0.0	0.01
41	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
39	0.0	0.0	nan	nan	0.0	0.0
38	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
36	0.0	0.0	nan	nan	0.0	0.0
35	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
33	0.0	0.0	nan	nan	0.0	0.0
32	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
30	0.0	0.0	nan	nan	0.0	0.0
