voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
83	1.0	0.0	12.29	1.51	1.0	1.0
80	1.032	0.18	12.806	0.601	1.0	1.0
77	1.0	0.0	13.226	0.717	1.0	1.0
74	1.0	0.0	13.71	1.189	1.0	1.0
71	1.0	0.0	13.806	0.749	1.0	1.0
68	1.032	0.18	14.71	0.938	1.0	1.0
65	1.0	0.0	15.097	1.274	1.0	1.0
62	1.0	0.0	15.419	1.544	1.0	1.0
59	1.0	0.0	17.484	2.249	1.0	1.0
56	1.032	0.18	18.581	1.963	1.0	1.0
53	1.0	0.0	20.581	4.342	1.0	1.0
50	1.0	0.0	25.548	5.96	1.0	1.0
47	1.0	0.0	27.677	7.876	1.0	1.0
44	1.065	0.25	30.484	9.277	1.0	1.0
41	1.0	0.0	29.548	11.753	1.0	1.0
38	1.0	0.0	29.613	19.496	1.0	0.935
35	1.032	0.18	30.839	18.443	1.0	0.935
32	1.065	0.25	29.258	19.587	1.0	0.903
29	1.0	0.0	70.207	84.559	0.968	0.935
