voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
83	3.226	1.802	12.625	0.576	0.774	0.774
80	4.097	0.301	12.903	0.396	1.0	1.0
77	4.0	0.0	13.032	0.482	1.0	1.0
74	3.871	0.341	13.645	0.661	1.0	1.0
71	3.806	0.477	14.129	1.258	1.0	1.0
68	3.71	0.461	14.484	0.724	1.0	1.0
65	3.29	0.588	15.097	0.746	1.0	1.0
62	3.129	0.428	15.968	1.11	1.0	1.0
59	2.677	0.599	17.355	1.518	1.0	1.0
56	2.387	0.558	18.871	2.513	1.0	1.0
53	1.935	0.359	21.71	3.671	1.0	1.0
50	1.774	0.497	25.5	3.693	0.968	0.968
47	1.0	0.77	31.652	7.414	0.645	0.742
44	0.0	0.0	40.0	0.0	0.0	0.032
41	0.0	0.0	nan	nan	0.0	0.0
38	0.0	0.0	nan	nan	0.0	0.0
35	0.0	0.0	nan	nan	0.0	0.0
32	0.0	0.0	nan	nan	0.0	0.0
29	0.0	0.0	nan	nan	0.0	0.0
