voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
83	0.767	0.43	16.75	0.944	0.742	0.774
80	0.867	0.352	18.31	1.514	0.419	0.935
77	0.222	0.428	19.765	1.3	0.129	0.548
74	0.043	0.209	20.667	1.871	0.032	0.29
71	0.0	0.0	22.0	0.0	0.0	0.032
68	0.0	0.0	nan	nan	0.0	0.0
65	0.0	0.0	nan	nan	0.0	0.0
62	0.0	0.0	nan	nan	0.0	0.0
59	0.0	0.0	nan	nan	0.0	0.0
56	0.0	0.0	nan	nan	0.0	0.0
53	0.0	0.0	nan	nan	0.0	0.0
50	0.0	0.0	nan	nan	0.0	0.0
47	0.0	0.0	nan	nan	0.0	0.0
44	0.0	0.0	nan	nan	0.0	0.0
41	0.0	0.0	nan	nan	0.0	0.0
38	0.0	0.0	nan	nan	0.0	0.0
35	0.0	0.0	nan	nan	0.0	0.0
32	0.0	0.0	nan	nan	0.0	0.0
29	0.0	0.0	nan	nan	0.0	0.0
