voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	9.375	0.495	0.774	0.774
100	5.0	0.0	9.774	0.425	1.0	1.0
97	4.903	0.301	9.871	0.341	1.0	1.0
94	4.774	0.425	10.0	0.0	1.0	1.0
91	4.484	0.508	9.968	0.18	1.0	1.0
88	4.065	0.25	10.032	0.18	1.0	1.0
85	3.968	0.18	10.0	0.0	1.0	1.0
82	4.0	0.0	10.258	0.445	1.0	1.0
79	3.968	0.18	10.419	0.502	1.0	1.0
76	3.935	0.359	10.774	0.497	1.0	1.0
73	3.516	0.508	10.935	0.442	1.0	1.0
70	3.226	0.425	11.129	0.341	1.0	1.0
67	3.032	0.18	11.419	0.502	1.0	1.0
64	3.0	0.0	11.903	0.539	1.0	1.0
61	3.0	0.0	12.194	0.543	1.0	1.0
58	3.0	0.0	12.677	0.541	1.0	1.0
55	2.774	0.425	13.355	0.755	1.0	1.0
52	2.258	0.445	13.871	0.619	1.0	1.0
49	2.0	0.258	15.194	1.046	1.0	1.0
46	2.0	0.0	16.097	1.165	1.0	1.0
43	1.567	0.568	18.067	1.721	0.935	0.968
40	0.727	0.827	20.6	2.683	0.355	0.645
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
