voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	10.917	0.282	0.774	0.774
100	5.0	0.258	10.935	0.25	1.0	1.0
97	4.968	0.18	11.0	0.0	1.0	1.0
94	4.742	0.445	11.0	0.0	1.0	1.0
91	4.419	0.502	11.0	0.0	1.0	1.0
88	4.097	0.301	11.097	0.301	1.0	1.0
85	4.0	0.258	11.645	0.486	1.0	1.0
82	4.0	0.0	11.871	0.428	1.0	1.0
79	4.0	0.0	12.0	0.0	1.0	1.0
76	3.903	0.301	12.258	0.445	1.0	1.0
73	3.516	0.508	12.452	0.506	1.0	1.0
70	3.258	0.445	12.742	0.445	1.0	1.0
67	3.0	0.0	13.355	0.486	1.0	1.0
64	3.0	0.0	13.839	0.638	1.0	1.0
61	3.0	0.0	14.839	0.735	1.0	1.0
58	3.0	0.0	15.677	0.791	1.0	1.0
55	2.645	0.608	17.387	0.882	1.0	1.0
52	1.645	0.709	19.323	1.739	1.0	1.0
49	1.138	0.351	23.452	4.312	0.935	1.0
46	0.276	0.455	28.1	3.872	0.258	0.323
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
