voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	11.083	0.282	0.774	0.774
100	4.968	0.18	11.355	0.486	1.0	1.0
97	4.968	0.18	11.581	0.502	1.0	1.0
94	4.742	0.445	11.742	0.445	1.0	1.0
91	4.323	0.475	12.065	0.25	1.0	1.0
88	4.097	0.301	12.129	0.499	1.0	1.0
85	4.0	0.0	12.71	0.461	1.0	1.0
82	4.0	0.0	13.097	0.396	1.0	1.0
79	4.0	0.0	13.29	0.529	1.0	1.0
76	3.968	0.18	13.71	0.588	1.0	1.0
73	3.774	0.425	14.355	0.551	1.0	1.0
70	3.194	0.402	15.258	0.682	1.0	1.0
67	3.0	0.0	15.871	0.806	1.0	1.0
64	3.0	0.0	16.452	0.85	1.0	1.0
61	2.516	0.508	17.903	0.651	1.0	1.0
58	2.129	0.428	19.194	1.25	1.0	1.0
55	1.516	0.508	22.613	2.729	1.0	1.0
52	1.207	0.675	26.778	4.136	0.806	0.871
49	0.103	0.31	32.6	2.51	0.097	0.161
46	0.0	0.0	nan	nan	0.0	0.0
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
