voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
73	5.774	0.425	12.742	0.631	1.0	1.0
70	5.581	0.502	12.935	0.68	1.0	1.0
67	5.452	0.506	13.29	0.529	1.0	1.0
64	5.226	0.425	13.581	0.672	1.0	1.0
61	5.032	0.18	14.129	0.885	1.0	1.0
58	4.871	0.341	14.548	0.624	1.0	1.0
55	4.903	0.301	15.194	0.703	1.0	1.0
52	4.839	0.374	15.71	0.902	1.0	1.0
49	4.452	0.568	16.452	1.06	1.0	1.0
46	4.065	0.68	17.387	1.43	1.0	1.0
43	3.742	0.729	18.258	1.413	1.0	1.0
40	3.129	0.499	19.226	2.39	1.0	1.0
37	2.968	0.315	21.903	2.055	1.0	1.0
34	2.903	0.396	23.258	2.463	1.0	1.0
31	2.452	0.81	28.345	4.186	0.935	0.935
28	1.871	0.885	34.357	8.247	0.903	0.903
25	0.129	0.428	43.667	3.512	0.097	0.097
22	0.0	0.0	nan	nan	0.0	0.0
19	0.0	0.0	nan	nan	0.0	0.0
