voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.065	0.25	22.29	0.693	1.0	1.0
100	3.0	0.0	22.677	0.599	1.0	1.0
97	2.935	0.25	23.645	0.95	1.0	1.0
94	2.935	0.25	24.161	1.036	1.0	1.0
91	2.452	0.506	25.387	0.882	1.0	1.0
88	2.226	0.425	26.355	1.279	1.0	1.0
85	2.065	0.25	27.323	1.077	1.0	1.0
82	2.0	0.0	28.968	1.991	1.0	1.0
79	1.833	0.379	31.419	2.802	0.968	1.0
76	1.367	0.765	33.923	2.607	0.806	0.839
73	0.138	0.441	37.2	3.768	0.097	0.161
70	0.0	0.0	nan	nan	0.0	0.0
67	0.0	0.0	nan	nan	0.0	0.0
64	0.0	0.0	nan	nan	0.0	0.0
61	0.0	0.0	nan	nan	0.0	0.0
58	0.0	0.0	nan	nan	0.0	0.0
55	0.0	0.0	nan	nan	0.0	0.0
52	0.0	0.0	nan	nan	0.0	0.0
49	0.0	0.0	nan	nan	0.0	0.0
46	0.0	0.0	nan	nan	0.0	0.0
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
