voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
100	5.968	0.315	11.355	0.551	1.0	1.0
97	5.968	0.315	11.387	0.495	1.0	1.0
94	5.806	0.402	11.613	0.495	1.0	1.0
91	5.516	0.508	11.742	0.445	1.0	1.0
88	5.194	0.402	11.968	0.18	1.0	1.0
85	5.032	0.18	12.194	0.477	1.0	1.0
82	5.065	0.25	12.452	0.624	1.0	1.0
79	4.968	0.18	12.968	0.407	1.0	1.0
76	4.839	0.374	13.258	0.514	1.0	1.0
73	4.484	0.508	13.516	0.626	1.0	1.0
70	4.323	0.475	13.871	0.562	1.0	1.0
67	4.032	0.18	14.323	0.702	1.0	1.0
64	4.0	0.0	15.0	0.73	1.0	1.0
61	4.0	0.0	15.419	0.564	1.0	1.0
58	3.806	0.402	16.065	0.512	1.0	1.0
55	3.484	0.626	17.032	0.983	1.0	1.0
52	2.742	0.729	18.194	1.138	1.0	1.0
49	2.194	0.402	19.968	1.76	1.0	1.0
46	2.032	0.18	22.129	2.32	1.0	1.0
43	1.968	0.18	24.161	2.208	1.0	1.0
40	1.607	0.737	30.259	4.579	0.774	0.871
37	0.207	0.491	32.0	3.873	0.161	0.226
34	0.032	0.18	34.0	0.0	0.032	0.032
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
