row	col	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	4.0	0.0	12.806	0.477	1.0	1.0
0	0	3.968	0.18	13.258	0.445	1.0	1.0
0	0	3.903	0.301	14.0	0.894	1.0	1.0
0	0	3.839	0.374	14.581	0.72	1.0	1.0
0	0	3.323	0.475	15.161	0.638	1.0	1.0
0	0	3.032	0.315	16.097	0.831	1.0	1.0
0	0	2.742	0.445	17.613	1.054	1.0	1.0
0	0	2.387	0.495	19.065	1.365	1.0	1.0
0	0	2.0	0.447	21.032	2.089	1.0	1.0
0	0	1.452	0.506	23.645	2.259	1.0	1.0
0	0	1.154	0.368	29.129	5.858	0.839	1.0
0	0	0.111	0.32	33.857	5.521	0.097	0.226
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	1	4.032	0.18	12.839	0.583	1.0	1.0
0	1	4.0	0.0	13.194	0.543	1.0	1.0
0	1	4.0	0.365	13.71	0.938	1.0	1.0
0	1	3.71	0.461	14.161	0.638	1.0	1.0
0	1	3.29	0.461	14.935	0.772	1.0	1.0
0	1	3.032	0.18	16.0	1.033	1.0	1.0
0	1	2.806	0.477	17.613	1.726	1.0	1.0
0	1	2.355	0.486	18.839	1.186	1.0	1.0
0	1	1.839	0.454	21.161	1.416	1.0	1.0
0	1	1.548	0.568	23.065	2.966	1.0	1.0
0	1	1.043	0.475	31.379	6.056	0.677	0.935
0	1	0.069	0.258	37.0	6.0	0.065	0.129
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
